day,date,watched,opened,count,ratio
3572020,2020-12-22,7955358,18903000,22,0.4208516108554198
3582020,2020-12-23,9079927,19221000,28,0.4723961812600801
3592020,2020-12-24,5306580,25376000,24,0.20911806431273644
3602020,2020-12-25,352995,811000,2,0.4352589395807645
3612020,2020-12-26,0,0,0,0
3622020,2020-12-27,11894239,17514000,24,0.6791274980015988
3632020,2020-12-28,7404971,10071000,9,0.735276635885215
3642020,2020-12-29,8706196,13032000,16,0.6680629220380602
3652020,2020-12-30,13839911,24248000,31,0.5707650527878588
3662020,2020-12-31,10563395,12006000,4,1
12021,2021-01-01,2488673,8985000,7,0.276980856983862
22021,2021-01-02,7065935,11409000,17,0.6193299149794023
32021,2021-01-03,1605598,2480000,2,0.6474185483870968
42021,2021-01-04,0,0,0,0
52021,2021-01-05,5623177,13553000,12,0.4149027521581938
62021,2021-01-06,3000000,3721000,5,1
72021,2021-01-07,790000,840000,1,1
82021,2021-01-08,528338,1050000,1,0.5031790476190476
92021,2021-01-09,1872026,10640000,11,0.17594229323308272
102021,2021-01-10,10692635,20547000,32,0.5203988416800506
112021,2021-01-11,11145041,23170000,35,0.48101169615882605
122021,2021-01-12,10702372,20423000,29,0.5240352543700729
132021,2021-01-13,25731743,34616000,52,0.7433482493644558
142021,2021-01-14,14082958,17211000,20,0.8182533263610482
152021,2021-01-15,8638869,18868000,20,0.4578582255670977
