"Year","Color","Value"
2009,"White",0.08969
2009,"Burgundy",0.01937
2009,"Brown",0.02003
2009,"Black",0.32398
2009,"Red",0.04521
2009,"Purple",0.00447
2009,"Blue",0.09624
2009,"Silver",0.17939
2009,"Gray",0.17104
2009,"Green",0.01288
2009,"Gold",0.01831
2009,"Yellow",0.00442
2010,"Biege",0.01708
2010,"White",0.1179
2010,"Burgundy",0.0187
2010,"Brown",0.03255
2010,"Black",0.32883
2010,"Red",0.03696
2010,"Purple",0.00437
2010,"Blue",0.07738
2010,"Silver",0.16498
2010,"Gray",0.17216
2010,"Green",0.00976
2010,"Gold",0.01611
2010,"Yellow",0.00322
2011,"Biege",0.0166
2011,"White",0.14893
2011,"Burgundy",0.01804
2011,"Brown",0.04662
2011,"Black",0.3265
2011,"Red",0.03244
2011,"Purple",0.00415
2011,"Blue",0.0695
2011,"Silver",0.14949
2011,"Gray",0.16357
2011,"Green",0.00791
2011,"Gold",0.01379
2011,"Yellow",0.00246
2012,"Biege",0.01527
2012,"White",0.18187
2012,"Burgundy",0.01724
2012,"Brown",0.05887
2012,"Black",0.31297
2012,"Red",0.03427
2012,"Purple",0.00436
2012,"Blue",0.06198
2012,"Silver",0.14041
2012,"Gray",0.1495
2012,"Green",0.00731
2012,"Gold",0.01355
2012,"Yellow",0.00238
2013,"Biege",0.01619
2013,"White",0.20863
2013,"Burgundy",0.0177
2013,"Brown",0.06294
2013,"Black",0.29369
2013,"Red",0.03878
2013,"Purple",0.00406
2013,"Blue",0.0631
2013,"Silver",0.13006
2013,"Gray",0.14222
2013,"Green",0.00749
2013,"Gold",0.01235
2013,"Yellow",0.00279
2014,"Biege",0.01697
2014,"White",0.23042
2014,"Burgundy",0.01645
2014,"Brown",0.06052
2014,"Black",0.27314
2014,"Red",0.03951
2014,"Purple",0.00455
2014,"Blue",0.06686
2014,"Silver",0.12862
2014,"Gray",0.14196
2014,"Green",0.00814
2014,"Gold",0.01004
2014,"Yellow",0.00282
2015,"Biege",0.01636
2015,"White",0.23509
2015,"Burgundy",0.01616
2015,"Brown",0.0505
2015,"Black",0.25622
2015,"Red",0.04336
2015,"Purple",0.00456
2015,"Blue",0.07663
2015,"Silver",0.12994
2015,"Gray",0.15245
2015,"Green",0.00734
2015,"Gold",0.00871
2015,"Yellow",0.00269
2016,"Biege",0.01528
2016,"White",0.24154
2016,"Burgundy",0.01776
2016,"Brown",0.04388
2016,"Black",0.23913
2016,"Red",0.04698
2016,"Purple",0.00375
2016,"Blue",0.08819
2016,"Silver",0.12224
2016,"Gray",0.16333
2016,"Green",0.00702
2016,"Gold",0.00814
2016,"Yellow",0.00274
2017,"Biege",0.01657
2017,"White",0.24169
2017,"Burgundy",0.01977
2017,"Brown",0.0426
2017,"Black",0.22261
2017,"Red",0.05349
2017,"Purple",0.00334
2017,"Blue",0.09558
2017,"Silver",0.10567
