"Countries","Girls","Boys"
"Oman",432,391
"Jordan",432,409
"Bahrain",492,471
"Saudi Arabia",403,385
"Romania",487,471
"Egypt",420,404
"Iran, Islamic Rep. of",453,440
"Turkey",501,490
"Kuwait",407,398
"Malaysia",465,456
"Hong Kong SAR",582,575
"Qatar",447,440
"South Africa (9)",393,386
"United Arab Emirates",476,471
"Finland",511,507
"Cyprus",503,499
"Kazakhstan",490,486
"United States",517,514
"Singapore",617,614
"Sweden",504,501
"Chinese Taipei",614,611
"Ireland",524,523
"Norway (9)",503,503
"England",514,516
"Lithuania",519,521
"Japan",593,595
"Australia",515,519
"Morocco",386,391
"Russian Federation",541,546
"Korea, Rep. of",604,609
"Lebanon",427,432
"New Zealand",478,484
"France",478,487
"Georgia",457,465
"Chile",436,445
"Portugal",495,505
"Israel",514,525
"Italy",491,504
"Hungary",510,524
"International Average",491,488
"Abu Dhabi, UAE",441,431
"Gauteng, RSA (9)",423,417
"Ontario, Canada",528,531
"Quebec, Canada",541,546
"Dubai, UAE",532,541
"Western Cape, RSA (9)",436,447
"Moscow City, Russian Fed.",566,584
