"Country","Score"
"Singapore",595
"Korea, Rep. of",588
"Russian Federation",567
"Japan",562
"Chinese Taipei",558
"Finland",555
"Latvia",542
"Norway (5)",539
"United States",539
"Lithuania",538
"Sweden",537
"England",537
"Czech Republic",534
"Australia",533
"Hong Kong SAR",531
"Poland",531
"Hungary",529
"Ireland",528
"Turkey (5)",526
"Croatia",524
"Canada",523
"Denmark",522
"Austria",522
"Bulgaria",521
"Slovak Republic",521
"Northern Ireland",518
"Netherlands",518
"Germany",518
"Serbia",517
"Cyprus",511
"Spain",511
"Italy",510
"Portugal",504
"New Zealand",503
"Belgium (Flemish)",501
"TIMSS Scale Centerpoint",500
"Malta",496
"Kazakhstan",494
"Bahrain",493
"Albania",489
"France",488
"United Arab Emirates",473
"Chile",469
"Armenia",466
"Bosnia and Herzegovina",459
"Georgia",454
"Montenegro",453
"Qatar",449
"Iran, Islamic Rep. of",441
"Oman",435
"Azerbaijan",427
"North Macedonia",426
"Kosovo",413
"Saudi Arabia",402
"Kuwait",392
"Morocco",374
"South Africa (5)",324
"Pakistan",290
"Philippines",249
