"","year","month","day","distance_km","time_h","X","temperature","precipitation","precipitation_type"
"77","2019",2,9,12.67311729024,1.22027777777778,315,3.2,0.1,"rain"
"78","2019",3,13,13.22940313728,1.20861111111111,347,4,0,"rain"
"79","2019",3,2,12.77624405376,1.16805555555556,336,-1,0,"dry"
"80","2019",3,27,8.013728448,0.699166666666667,361,3.6,0,"dry"
"81","2019",3,29,10.70638626816,0.957777777777778,363,7.7,0,"dry"
"82","2019",3,31,21.8228655744,1.98527777777778,365,9.7,0,"dry"
"83","2019",3,6,8.1347511168,0.724722222222222,340,4.4,0.4,"rain"
"84","2019",3,9,18.967728384,1.76333333333333,343,5.3,7.9,"rain"
"85","2019",4,18,17.4303220608,1.65916666666667,383,13.8,0,"dry"
"86","2019",4,23,19.8662251392,1.86944444444444,388,14,0,"dry"
"87","2019",4,28,10.34114564736,0.899722222222222,393,11.5,0.3,"rain"
"88","2019",4,6,13.69820504448,1.25138888888889,371,11.8,0,"dry"
"89","2019",5,1,13.92393163392,1.30027777777778,396,13.5,0,"dry"
"90","2019",5,12,14.94737785728,1.36277777777778,407,15.1,2.7,"rain"
"91","2019",5,14,12.58956014976,1.11,409,7.2,5,"rain"
"92","2019",5,19,21.4554523392,2.02805555555556,414,18.7,1.3,"rain"
"93","2019",5,21,10.89247471488,0.931666666666667,416,18.2,1,"rain"
"94","2019",5,26,18.7578699264,1.68,421,16.3,0,"dry"
"95","2019",5,3,3.34894830336,0.299444444444444,398,10.5,0,"rain"
"96","2019",5,31,23.6922795648,2.33944444444444,426,17.9,0,"dry"
"97","2019",5,8,13.46732855424,1.21305555555556,403,10.4,0,"dry"
"98","2019",6,11,13.7049321024,1.20416666666667,437,27.2,0,"dry"
"99","2019",6,16,19.4345990784,1.82083333333333,442,24.1,0,"dry"
"100","2019",6,23,15.51780983808,1.39222222222222,449,21.1,0,"dry"
"101","2019",6,27,16.2263718144,1.41916666666667,453,24.1,0,"dry"
"102","2019",6,4,10.6453277568,0.937777777777778,430,23.7,0,"dry"
"103","2019",6,8,15.41167360128,1.45444444444444,434,23.5,0,"rain"
"104","2019",7,1,13.44418618752,1.17888888888889,457,26.9,1.6,"rain"
"105","2019",7,11,16.7832048384,1.47638888888889,467,17,0,"dry"
"106","2019",7,15,15.39738262656,1.40611111111111,471,19.6,0,"dry"
"107","2019",7,20,18.6231678336,1.72,476,23.4,0.1,"rain"
"108","2019",7,24,8.09335878912,0.694166666666667,480,21.8,0,"rain"
"109","2019",7,6,16.06400509824,1.41333333333333,462,16.8,2.6,"rain"
"110","2019",8,11,8.11593788544,0.668888888888889,498,23.1,0,"dry"
"111","2019",8,18,8.07251778432,0.691944444444444,505,23.1,0,"dry"
"112","2019",8,21,19.027274112,1.64722222222222,508,18.7,0.2,"rain"
"113","2019",8,24,21.3032083968,1.90833333333333,511,20.7,0,"dry"
"114","2019",8,3,8.22796432128,0.702777777777778,490,18.9,0.2,"rain"
"115","2019",8,31,21.542678784,1.82916666666667,518,23.8,0,"dry"
"116","2019",9,29,8.60342427648,0.783055555555556,547,14.8,3,"rain"
"117","2019",9,8,21.409103232,1.84333333333333,526,16.3,14.8,"rain"
"118","2020",1,14,12.89021779584,1.2275,654,3.6,0,"dry"
"119","2020",1,5,15.48308019456,1.42722222222222,645,0.7,0,"dry"
"120","2020",10,10,5.47521359616,0.525555555555556,924,14.5,3.8,"rain"
"121","2020",10,14,11.17240401024,1.08944444444444,928,7.8,0.8,"rain"
"122","2020",10,15,4.89897188352,0.498333333333333,929,7.8,0,"dry"
"123","2020",10,17,8.35336440576,0.801944444444444,931,6.7,1,"rain"
"124","2020",10,19,11.12948280576,1.08972222222222,933,7.4,0,"dry"
"125","2020",10,21,13.36122450432,1.35055555555556,935,10.3,0,"dry"
"126","2020",10,25,5.66699912064,0.566666666666667,939,9,0,"dry"
"127","2020",10,7,5.25038823936,0.526666666666667,921,12.5,0,"dry"
"128","2020",10,8,8.37056829312,0.815833333333333,922,10.4,0,"dry"
"129","2020",10,9,5.4905989248,0.536944444444444,923,11.6,0,"dry"
"130","2020",2,1,15.48192146688,1.40083333333333,672,9.3,5.4,"rain"
"131","2020",2,16,1.301486148864,0.1125,687,6.2,0,"rain"
"132","2020",2,16,6.68857850496,0.590555555555556,687,6.2,0,"rain"
"133","2020",2,21,13.1740095168,1.2075,692,3.6,3,"rain"
"134","2020",2,26,13.03563811968,1.20694444444444,697,5.4,3.8,"snow"
"135","2020",2,3,15.50110484736,1.42972222222222,674,3.8,1.2,"rain"
"136","2020",3,13,8.8999941888,0.931944444444444,713,5.8,1.2,"rain"
"137","2020",3,16,13.57130827008,1.19,716,4.9,0,"dry"
"138","2020",3,18,15.7467873024,1.45361111111111,718,10.6,0,"dry"
"139","2020",3,24,15.8373933696,1.43027777777778,724,1.4,0,"dry"
"140","2020",3,31,15.28382731392,1.40111111111111,731,1.2,0,"dry"
"141","2020",4,16,15.76032188544,1.475,747,11.6,0,"dry"
"142","2020",4,18,16.1145224064,1.48972222222222,749,7.3,0,"dry"
"143","2020",4,21,15.52337816832,1.42444444444444,752,11.1,0,"dry"
"144","2020",4,26,15.57590715648,1.45472222222222,757,9.1,0,"dry"
"145","2020",4,28,18.8087251968,1.79,759,16.2,0,"dry"
"146","2020",4,3,15.94670001408,1.4325,734,6.7,0,"dry"
"147","2020",4,30,18.7099114752,1.82083333333333,761,11.5,0,"dry"
"148","2020",4,8,15.4999944,1.41194444444444,739,13.3,0,"dry"
"149","2020",5,10,15.579254592,1.55722222222222,771,18,0.9,"rain"
"150","2020",5,7,3.4056133056,0.359444444444444,768,11.2,0,"dry"
"151","2020",6,1,7.96943930112,0.762222222222222,793,15.7,0.1,"rain"
"152","2020",6,10,5.95045287936,0.619722222222222,802,18.4,10.5,"rain"
"153","2020",6,19,5.05657494144,0.510833333333333,811,21.9,1.6,"rain"
"154","2020",6,21,5.4055450944,0.5625,813,20.7,8.4,"rain"
"155","2020",6,23,7.52685360768,0.7625,815,19.3,5.6,"rain"
"156","2020",6,25,4.92459264,0.502777777777778,817,23.7,0,"dry"
"157","2020",6,26,4.78108743552,0.506388888888889,818,22.7,1.6,"rain"
"158","2020",6,30,5.4124652736,0.613055555555556,822,20.2,0,"dry"
"159","2020",7,13,7.94745566208,0.851111111111111,835,16.5,0,"rain"
"160","2020",7,15,13.06695595392,1.30194444444444,837,21.3,0,"dry"
"161","2020",7,17,7.9319737728,0.783888888888889,839,18,0,"dry"
"162","2020",7,23,9.15262900992,0.8775,845,17.1,0,"dry"
"163","2020",7,25,5.00050539648,0.493055555555556,847,22.1,0,"dry"
"164","2020",7,6,5.3480915136,0.538055555555556,828,22.3,0.8,"rain"
"165","2020",7,8,8.134831584,0.811666666666667,830,15.8,0,"dry"
"166","2020",7,9,13.09014660096,1.27583333333333,831,17.3,2.7,"rain"
"167","2020",8,12,5.36703349248,0.524166666666667,865,21.3,0,"dry"
"168","2020",8,17,5.4739422144,0.535277777777778,870,23.1,0.2,"rain"
"169","2020",9,10,3.71220943104,0.370555555555556,894,17.2,0,"dry"
"170","2020",9,16,4.82074167168,0.493611111111111,900,21,0,"dry"
"171","2020",9,18,4.80023862912,0.483888888888889,902,12.4,0,"dry"
"172","2020",9,23,4.96632292992,0.497222222222222,907,18.4,0,"dry"
"173","2020",9,5,2.3322613248,0.249722222222222,889,18.5,24,"rain"
"174","2020",9,7,2.28581565696,0.215,891,14.8,0,"dry"
