"","year","month","day","distance_km","time_h","X","temperature","precipitation","precipitation_type"
"1","2018",10,13,3.15524765952,0.312222222222222,196,13.9,0,"dry"
"2","2018",10,6,5.37615847296,0.496666666666667,189,11.2,0,"dry"
"3","2018",10,9,5.41679440896,0.501944444444444,192,8.9,0,"dry"
"4","2018",11,15,5.497519104,0.561666666666667,229,7.9,0.1,"rain"
"5","2018",11,17,6.67312880256,0.655,231,0.2,0,"dry"
"6","2018",11,19,7.84605089664,0.778611111111111,233,2.4,0.4,"rain"
"7","2018",11,24,10.14781515264,1.00305555555556,238,0.2,0.5,"rain"
"8","2018",11,27,10.99460368512,1.05416666666667,241,-1,0,"dry"
"9","2018",12,30,3.29740101504,0.311666666666667,274,4.5,6.8,"rain"
"10","2018",4,18,5.72530565376,0.5075,18,13.4,0,"dry"
"11","2018",4,21,1.572501287808,0.140555555555556,21,17.4,0,"dry"
"12","2018",4,22,4.7735557056,0.470555555555556,22,13.3,0,"dry"
"13","2018",4,25,4.93204390272,0.498611111111111,25,15.4,0.3,"rain"
"14","2018",4,25,4.3322735808,0.419166666666667,25,15.4,0.3,"rain"
"15","2018",4,27,3.57453005184,0.304722222222222,27,10.1,0,"dry"
"16","2018",4,29,2.97924979968,0.276111111111111,29,19.2,2.1,"rain"
"17","2018",4,29,1.497745649664,0.1375,29,19.2,2.1,"rain"
"18","2018",4,29,2.98739308032,0.254166666666667,29,19.2,2.1,"rain"
"19","2018",4,30,2.50000324992,0.189166666666667,30,21.9,0,"dry"
"20","2018",5,1,5.00000649984,0.495833333333333,31,20.3,0,"dry"
"21","2018",5,12,15.78164569344,1.47472222222222,42,19.8,0,"dry"
"22","2018",5,16,11.49673510656,1.0225,46,16.2,21.9,"rain"
"23","2018",5,19,17.6475835008,1.54055555555556,49,14.8,0,"dry"
"24","2018",5,23,5.02073485056,0.483055555555556,53,18.7,0,"dry"
"25","2018",5,23,5.0373271872,0.466666666666667,53,18.7,0,"dry"
"26","2018",5,31,23.4656839296,2.32138888888889,61,26.2,0,"dry"
"27","2018",5,6,10.13690380032,0.960833333333333,36,15,0,"dry"
"28","2018",5,9,5.49520164864,0.506944444444444,39,20.9,0,"rain"
"29","2018",6,14,16.3689596928,1.50055555555556,75,20.1,0,"dry"
"30","2018",6,17,9.5624001792,0.936388888888889,78,24.3,0,"dry"
"31","2018",6,20,16.1499279744,1.59777777777778,81,23.3,0,"dry"
"32","2018",6,27,9.99999690624,0.777222222222222,88,19.8,0,"rain"
"33","2018",6,7,19.6467106176,1.86527777777778,68,17.6,0,"dry"
"34","2018",7,14,10.77164516736,0.895277777777778,105,18.8,9.3,"rain"
"35","2018",7,19,17.508858048,1.61333333333333,110,23,6.4,"rain"
"36","2018",7,24,21.2496172416,2.04111111111111,115,24.2,0,"dry"
"37","2018",7,29,11.15985112704,1.06638888888889,120,25.3,5.2,"rain"
"38","2018",8,12,16.4967416064,1.5425,134,18.7,0,"dry"
"39","2018",8,15,16.1029351296,1.52055555555556,137,20.7,0,"dry"
"40","2018",8,18,21.2592733056,1.83,140,23,0,"rain"
"41","2018",8,8,10.37497405824,1.025,130,24.9,0,"dry"
"42","2018",9,1,14.9040543168,1.44694444444444,154,19.1,0,"dry"
"43","2018",9,15,5.77358597376,0.544166666666667,168,16.7,0.1,"rain"
"44","2018",9,16,5.42287772928,0.495,169,14.9,0,"dry"
"45","2018",9,9,4.89238966656,0.5025,162,17.7,0.1,"rain"
"46","2019",1,10,14.72870019456,1.55166666666667,285,-6.9,0.1,"snow"
"47","2019",1,13,13.60272266496,1.28666666666667,288,2.1,5.7,"rain"
"48","2019",1,25,5.54172778368,0.568888888888889,300,-6,1.6,"snow"
"49","2019",1,3,6.66104262912,0.671111111111111,278,-2,0,"dry"
"50","2019",1,30,6.45066918144,0.656388888888889,305,-1,0.8,"snow"
"51","2019",1,5,10.25486871552,1.05027777777778,280,0.2,2.8,"snow"
"52","2019",1,7,10.79610719616,1.07583333333333,282,-6.5,0,"dry"
"53","2019",10,2,10.80077429376,0.988888888888889,550,13.4,6,"rain"
"54","2019",10,27,12.43272957696,1.15555555555556,575,12.5,1,"rain"
"55","2019",10,30,13.09915892736,1.19805555555556,578,3.6,0,"dry"
"56","2019",11,16,12.57489902592,1.1925,595,10.7,0,"dry"
"57","2019",11,19,12.7911465792,1.21861111111111,598,7.6,0,"dry"
"58","2019",11,21,12.83022145152,1.19555555555556,600,7.1,0,"rain"
"59","2019",11,26,14.58698136192,1.325,605,1.1,0,"dry"
"60","2019",11,28,14.79210834816,1.36027777777778,607,7.2,0,"dry"
"61","2019",12,1,15.52865681664,1.4575,610,0.5,0,"dry"
"62","2019",12,10,18.4765565952,1.69277777777778,619,3.8,0.6,"rain"
"63","2019",12,17,15.4485758592,1.4525,626,5.7,0,"dry"
"64","2019",12,19,19.7083484928,1.925,628,3.7,0,"dry"
"65","2019",12,25,4.32215080704,0.433333333333333,634,4.5,0,"dry"
"66","2019",12,26,15.6367081728,1.56944444444444,635,4,0.5,"rain"
"67","2019",12,29,18.5835779712,1.87222222222222,638,-1.4,0,"dry"
"68","2019",12,3,15.53398374528,1.44055555555556,612,0.4,0,"dry"
"69","2019",12,30,16.4296319616,1.62027777777778,639,2.5,0,"dry"
"70","2019",12,8,15.60812622336,1.39611111111111,617,6.9,0.6,"rain"
"71","2019",2,14,12.67258620672,1.19527777777778,320,5.3,0,"dry"
"72","2019",2,18,19.0113416064,1.86916666666667,324,7.3,0,"dry"
"73","2019",2,23,13.20294552192,1.245,329,-3.1,0,"dry"
"74","2019",2,27,12.94147540224,1.2475,333,4.7,0,"dry"
"75","2019",2,3,10.02381519744,1.03194444444444,309,4.4,7.8,"snow"
"76","2019",2,6,8.99887228416,0.909722222222222,312,1.5,0,"dry"
