Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Nov. 18, 2020","Oct. 15, 2020",Run,409,4.898971883520001,1794,6.103331543784299,3.150016404199475,9.83069391744,19.047551846399998,,4843,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978431055
"Nov. 18, 2020","Oct. 14, 2020",Run,923,11.172404010240001,3922,5.850725513004056,2.0358916428060128,10.255142304,29.471111999999998,,10640,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978431199
"Nov. 18, 2020","Oct. 13, 2020",Class Workout,301,0,2184,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978431298
"Nov. 18, 2020","Oct. 10, 2020",Run,450,5.475213596160001,1892,5.759290742066332,2.9938782510140776,10.41795963648,20.0408389632,,5142,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978431526
"Nov. 18, 2020","Oct. 9, 2020",Run,454,5.4905989248000004,1933,5.867608168297144,3.1705962180863754,10.22562693504,18.9239542272,,5242,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978431646
"Nov. 18, 2020","Oct. 8, 2020",Run,691,8.37056829312,2937,5.847867205519764,2.606223405312972,10.260147363839998,23.021826854399997,,7968,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978431760
"Nov. 18, 2020","Oct. 7, 2020",Run,437,5.25038823936,1896,6.018613795434661,2.799550624353774,9.969081408,21.431955916799996,,5127,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978431862
"Nov. 18, 2020","Sept. 23, 2020",Run,413,4.9663229299200005,1790,6.007118428378271,2.672343513878947,9.988152134399998,22.4522800128,,4841,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978431967
"Nov. 18, 2020","Sept. 18, 2020",Run,400,4.800238629120001,1742,6.048315338423606,3.0898552453670565,9.92012516352,19.418344704,,4707,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978432075
"Nov. 18, 2020","Sept. 16, 2020",Run,403,4.8207416716800005,1777,6.1436026107532005,2.9452932374930403,9.766255783679998,20.3715591552,,4793,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978432294
"Nov. 18, 2020","Sept. 10, 2020",Run,309,3.7122094310400002,1334,5.989241579177603,2.942043466157639,10.01797327872,20.3939290368,,3609,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978432468
"Nov. 18, 2020","Sept. 7, 2020",Run,187,2.28581565696,774,5.64351064781675,2.8293205181738643,10.63168051968,21.2064868224,,2109,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978432663
