com.samsung.shealth.tracker.pedometer_day_summary,6123001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
3512,3f10c0ac-853a-4964-a594-59a82a916b5f.binning_data.json,1843087,6000,23,2020-12-19 23:00:02.393,com.sec.android.app.shealth,2020-12-19 23:00:02.393,,1.4776453,2723.43,132.45,3489,1sk9YxjqgP,com.sec.android.app.shealth,0,3f10c0ac-853a-4964-a594-59a82a916b5f.achievement.json,3f10c0ac-853a-4964-a594-59a82a916b5f,1608336000000,
3512,4ad73297-73c6-4784-b38e-8302fa77f846.binning_data.json,1843087,6000,23,2020-12-19 22:13:40.445,com.sec.android.app.shealth,2020-12-19 09:04:40.652,4ad73297-73c6-4784-b38e-8302fa77f846.source_info.json,1.4776453,2723.43,132.45,3489,VfS0qUERdZ,com.sec.android.app.shealth,0,4ad73297-73c6-4784-b38e-8302fa77f846.achievement.json,4ad73297-73c6-4784-b38e-8302fa77f846,1608336000000,
3181,7778050d-ad06-4c20-a0bc-77ecbc4bf467.binning_data.json,1639459,6000,31,2020-12-22 23:00:01.244,com.sec.android.app.shealth,2020-12-22 23:00:01.244,,1.4865385,2437.12,121.39,3150,1sk9YxjqgP,com.sec.android.app.shealth,0,7778050d-ad06-4c20-a0bc-77ecbc4bf467.achievement.json,7778050d-ad06-4c20-a0bc-77ecbc4bf467,1608595200000,
3181,4ae678ae-3512-4a46-b814-50e4dab5317d.binning_data.json,1639459,6000,31,2020-12-22 21:48:34.413,com.sec.android.app.shealth,2020-12-21 23:30:33.012,4ae678ae-3512-4a46-b814-50e4dab5317d.source_info.json,1.4865385,2437.12,121.39,3150,VfS0qUERdZ,com.sec.android.app.shealth,0,4ae678ae-3512-4a46-b814-50e4dab5317d.achievement.json,4ae678ae-3512-4a46-b814-50e4dab5317d,1608595200000,
2782,b3acd2e0-53b6-40da-b6a9-729d33fa102a.binning_data.json,1399850,6000,24,2020-12-25 23:03:06.861,com.sec.android.app.shealth,2020-12-25 23:00:32.857,,1.557045,2179.6301,103.6,2758,1sk9YxjqgP,com.sec.android.app.shealth,0,b3acd2e0-53b6-40da-b6a9-729d33fa102a.achievement.json,b3acd2e0-53b6-40da-b6a9-729d33fa102a,1608854400000,
2547,afece155-c4c4-4e5e-be5a-9ac430ecac68.binning_data.json,1266852,6000,75,2020-12-28 23:02:26.116,com.sec.android.app.shealth,2020-12-28 23:02:26.116,,1.5713434,1990.66,94.67,2472,1sk9YxjqgP,com.sec.android.app.shealth,0,afece155-c4c4-4e5e-be5a-9ac430ecac68.achievement.json,afece155-c4c4-4e5e-be5a-9ac430ecac68,1609113600000,
2782,4152e0fc-35fa-4086-9186-3e9b985f8eef.binning_data.json,1399850,6000,24,2020-12-26 23:00:04.432,com.sec.android.app.shealth,2020-12-24 23:43:48.879,4152e0fc-35fa-4086-9186-3e9b985f8eef.source_info.json,1.557045,2179.6301,103.6,2758,VfS0qUERdZ,com.sec.android.app.shealth,0,4152e0fc-35fa-4086-9186-3e9b985f8eef.achievement.json,4152e0fc-35fa-4086-9186-3e9b985f8eef,1608854400000,
2547,0a510a91-2d8f-4857-a5ca-42d16a2419ef.binning_data.json,1266852,6000,75,2020-12-28 19:55:31.945,com.sec.android.app.shealth,2020-12-27 23:04:17.476,0a510a91-2d8f-4857-a5ca-42d16a2419ef.source_info.json,1.5713434,1990.66,94.67,2472,VfS0qUERdZ,com.sec.android.app.shealth,0,0a510a91-2d8f-4857-a5ca-42d16a2419ef.achievement.json,0a510a91-2d8f-4857-a5ca-42d16a2419ef,1609113600000,
7173,0fd39090-22df-4286-a609-f1983c694346.binning_data.json,3230588,6000,2260,2020-12-31 23:00:01.971,com.sec.android.app.shealth,2020-12-31 23:00:01.971,,1.9921327,6435.76,357.9,4913,1sk9YxjqgP,com.sec.android.app.shealth,2797,0fd39090-22df-4286-a609-f1983c694346.achievement.json,0fd39090-22df-4286-a609-f1983c694346,1609372800000,
7173,1c441031-4678-4863-9622-7a25bbcfc5b8.binning_data.json,3230588,6000,2260,2020-12-31 23:00:02.861,com.sec.android.app.shealth,2020-12-30 23:35:05.756,1c441031-4678-4863-9622-7a25bbcfc5b8.source_info.json,1.9921327,6435.76,357.9,4913,VfS0qUERdZ,com.sec.android.app.shealth,0,1c441031-4678-4863-9622-7a25bbcfc5b8.achievement.json,1c441031-4678-4863-9622-7a25bbcfc5b8,1609372800000,
