com.samsung.shealth.tracker.pedometer_day_summary,6123001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
3638,9449a000-7a53-4230-aa29-0d78b44aa80d.binning_data.json,2259950,6000,0,2020-12-22 13:02:11.313,com.sec.android.app.shealth,2020-12-22 12:06:26.508,9449a000-7a53-4230-aa29-0d78b44aa80d.source_info.json,1.1921641,2694.2314,129.56047,3638,VfS0qUERdZ,com.sec.android.app.shealth,0,9449a000-7a53-4230-aa29-0d78b44aa80d.achievement.json,9449a000-7a53-4230-aa29-0d78b44aa80d,1608595200000,
8813,bcde9740-cac9-4fbe-bb3b-1d0c88c9570e.binning_data.json,5908049,6000,4,2020-12-30 23:00:21.490,com.sec.android.app.shealth,2020-12-30 23:00:21.490,,1.0829318,6398.0146,319.0404,8809,1HYa19KYyA,com.sec.android.app.shealth,0,bcde9740-cac9-4fbe-bb3b-1d0c88c9570e.achievement.json,bcde9740-cac9-4fbe-bb3b-1d0c88c9570e,1609286400000,
2651,5d742bdb-7078-416d-a2ae-94e60ee9b4d1.binning_data.json,1219204,6000,865,2020-12-31 23:00:17.412,com.sec.android.app.shealth,2020-12-31 23:00:17.412,,1.9263846,2348.6567,129.42609,1786,1HYa19KYyA,com.sec.android.app.shealth,0,5d742bdb-7078-416d-a2ae-94e60ee9b4d1.achievement.json,5d742bdb-7078-416d-a2ae-94e60ee9b4d1,1609372800000,
11261,d4b1a5c9-f0ce-4e92-9090-2e9725c7e3c8.binning_data.json,7062808,6000,0,2020-12-25 12:34:49.095,com.sec.android.app.shealth,2020-12-24 23:37:13.509,d4b1a5c9-f0ce-4e92-9090-2e9725c7e3c8.source_info.json,1.1752638,8300.663,402.2439,11261,VfS0qUERdZ,com.sec.android.app.shealth,0,d4b1a5c9-f0ce-4e92-9090-2e9725c7e3c8.achievement.json,d4b1a5c9-f0ce-4e92-9090-2e9725c7e3c8,1608854400000,
2430,a4da97ba-e9bc-4898-9ad2-a391bb59ec63.binning_data.json,1103097,6000,1016,2021-01-02 23:00:01.560,com.sec.android.app.shealth,2021-01-02 23:00:01.560,,1.9949961,2200.6753,128.14095,1414,1HYa19KYyA,com.sec.android.app.shealth,0,a4da97ba-e9bc-4898-9ad2-a391bb59ec63.achievement.json,a4da97ba-e9bc-4898-9ad2-a391bb59ec63,1609545600000,
10139,ace28c59-ddb4-4a0d-8bb4-778535c05fe1.binning_data.json,5830556,6000,827,2021-01-03 23:00:01.337,com.sec.android.app.shealth,2021-01-03 23:00:01.337,,1.3538132,7893.484,394.03247,9312,1HYa19KYyA,com.sec.android.app.shealth,0,ace28c59-ddb4-4a0d-8bb4-778535c05fe1.achievement.json,ace28c59-ddb4-4a0d-8bb4-778535c05fe1,1609632000000,
2430,0f5a6c84-56b5-4260-854c-de758c1dc894.binning_data.json,1103097,6000,1016,2021-01-02 20:21:20.604,com.sec.android.app.shealth,2021-01-02 08:15:58.562,0f5a6c84-56b5-4260-854c-de758c1dc894.source_info.json,1.9949961,2200.6753,128.14095,1414,VfS0qUERdZ,com.sec.android.app.shealth,0,0f5a6c84-56b5-4260-854c-de758c1dc894.achievement.json,0f5a6c84-56b5-4260-854c-de758c1dc894,1609545600000,
5718,b8f11200-1ad0-4284-80ea-eb3ed65427d6.binning_data.json,3706528,6000,0,2020-12-28 11:36:39.351,com.sec.android.app.shealth,2020-12-28 09:21:55.455,b8f11200-1ad0-4284-80ea-eb3ed65427d6.source_info.json,1.13307,4199.756,204.86496,5718,VfS0qUERdZ,com.sec.android.app.shealth,0,b8f11200-1ad0-4284-80ea-eb3ed65427d6.achievement.json,b8f11200-1ad0-4284-80ea-eb3ed65427d6,1609113600000,
2623,abff263e-2984-469c-b1bb-e3afadb32010.binning_data.json,1194263,6000,786,2021-01-05 23:00:03.674,com.sec.android.app.shealth,2021-01-05 23:00:03.674,,1.9267821,2301.085,125.20595,1837,1HYa19KYyA,com.sec.android.app.shealth,0,abff263e-2984-469c-b1bb-e3afadb32010.achievement.json,abff263e-2984-469c-b1bb-e3afadb32010,1609804800000,
15013,7e932144-be25-4326-82e4-82c55fe33321.binning_data.json,8699117,6000,490,2021-01-06 23:00:02.158,com.sec.android.app.shealth,2021-01-06 23:00:02.158,,1.3151212,11440.394,553.1441,14523,1HYa19KYyA,com.sec.android.app.shealth,0,7e932144-be25-4326-82e4-82c55fe33321.achievement.json,7e932144-be25-4326-82e4-82c55fe33321,1609891200000,
3694,9120e77a-7c38-46aa-bfd3-c48304e15509.binning_data.json,2137987,6000,0,2021-01-08 23:00:01.713,com.sec.android.app.shealth,2021-01-08 23:00:01.713,,1.3012046,2781.959,130.50587,3694,1HYa19KYyA,com.sec.android.app.shealth,0,9120e77a-7c38-46aa-bfd3-c48304e15509.achievement.json,9120e77a-7c38-46aa-bfd3-c48304e15509,1610064000000,
2651,f9e50b5b-aba0-488d-af24-857e7afa2f17.binning_data.json,1219204,6000,865,2020-12-31 20:07:01.864,com.sec.android.app.shealth,2020-12-31 08:26:26.425,f9e50b5b-aba0-488d-af24-857e7afa2f17.source_info.json,1.9263846,2348.6567,129.42609,1786,VfS0qUERdZ,com.sec.android.app.shealth,0,f9e50b5b-aba0-488d-af24-857e7afa2f17.achievement.json,f9e50b5b-aba0-488d-af24-857e7afa2f17,1609372800000,
9359,fafe6a18-b03e-4dc6-a4e3-8c738760dedf.binning_data.json,5165120,6000,0,2020-12-20 17:44:59.449,com.sec.android.app.shealth,2020-12-19 23:02:43.816,fafe6a18-b03e-4dc6-a4e3-8c738760dedf.source_info.json,1.3753146,7103.6655,328.92184,9359,VfS0qUERdZ,com.sec.android.app.shealth,0,fafe6a18-b03e-4dc6-a4e3-8c738760dedf.achievement.json,fafe6a18-b03e-4dc6-a4e3-8c738760dedf,1608422400000,
2623,3b7e2baf-9bde-4a29-ba09-e25d5fcd14a6.binning_data.json,1194263,6000,786,2021-01-05 15:25:52.536,com.sec.android.app.shealth,2021-01-05 07:38:31.175,3b7e2baf-9bde-4a29-ba09-e25d5fcd14a6.source_info.json,1.9267821,2301.085,125.20595,1837,VfS0qUERdZ,com.sec.android.app.shealth,0,3b7e2baf-9bde-4a29-ba09-e25d5fcd14a6.achievement.json,3b7e2baf-9bde-4a29-ba09-e25d5fcd14a6,1609804800000,
2023,20f3c95e-7786-4f3a-aedb-f5d38345a556.binning_data.json,1200387,6000,0,2021-01-11 23:00:02.170,com.sec.android.app.shealth,2021-01-10 17:36:59.491,,1.2558383,1507.4926,71.82707,2023,1HYa19KYyA,com.sec.android.app.shealth,0,20f3c95e-7786-4f3a-aedb-f5d38345a556.achievement.json,20f3c95e-7786-4f3a-aedb-f5d38345a556,1610323200000,
10139,20c7fbc2-1a10-4c28-afa0-e1a22e9bf099.binning_data.json,5830556,6000,827,2021-01-03 20:04:32.838,com.sec.android.app.shealth,2021-01-03 08:54:05.654,20c7fbc2-1a10-4c28-afa0-e1a22e9bf099.source_info.json,1.3538132,7893.484,394.03247,9312,VfS0qUERdZ,com.sec.android.app.shealth,0,20c7fbc2-1a10-4c28-afa0-e1a22e9bf099.achievement.json,20c7fbc2-1a10-4c28-afa0-e1a22e9bf099,1609632000000,
4128,30fa24da-4001-445a-9138-ce0f24f475bc.binning_data.json,2479208,6000,0,2021-01-14 23:00:02.415,com.sec.android.app.shealth,2021-01-14 23:00:02.415,,1.2394683,3072.9006,146.5112,4128,1HYa19KYyA,com.sec.android.app.shealth,0,30fa24da-4001-445a-9138-ce0f24f475bc.achievement.json,30fa24da-4001-445a-9138-ce0f24f475bc,1610582400000,
2666,7123cf5c-ce93-48ef-9a16-6df18df7b8f5.binning_data.json,1528136,6000,41,2021-01-08 17:36:30.753,com.sec.android.app.shealth,2021-01-09 23:00:01.322,,1.3453349,2055.8557,96.570076,2625,1HYa19KYyA,com.sec.android.app.shealth,0,7123cf5c-ce93-48ef-9a16-6df18df7b8f5.achievement.json,7123cf5c-ce93-48ef-9a16-6df18df7b8f5,1610150400000,
1569,fc99b879-31af-40f5-b6c9-2b1289b79602.binning_data.json,1015861,6000,0,2020-12-23 15:08:37.760,com.sec.android.app.shealth,2020-12-23 13:12:20.447,fc99b879-31af-40f5-b6c9-2b1289b79602.source_info.json,1.1542008,1172.5084,56.23278,1569,VfS0qUERdZ,com.sec.android.app.shealth,0,fc99b879-31af-40f5-b6c9-2b1289b79602.achievement.json,fc99b879-31af-40f5-b6c9-2b1289b79602,1608681600000,
3479,fa65ab55-b2b4-4a8e-89f3-e2c6a69e96e3.binning_data.json,1954508,6000,0,2021-01-12 23:00:02.181,com.sec.android.app.shealth,2021-01-12 23:00:02.181,,1.3508508,2640.2498,122.472626,3479,1HYa19KYyA,com.sec.android.app.shealth,0,fa65ab55-b2b4-4a8e-89f3-e2c6a69e96e3.achievement.json,fa65ab55-b2b4-4a8e-89f3-e2c6a69e96e3,1610409600000,
9359,d825a785-2a77-4c81-9025-b6415893fe98.binning_data.json,5165120,6000,0,2020-12-20 23:00:02.268,com.sec.android.app.shealth,2020-12-20 23:00:02.268,,1.3753146,7103.6655,328.92184,9359,1HYa19KYyA,com.sec.android.app.shealth,0,d825a785-2a77-4c81-9025-b6415893fe98.achievement.json,d825a785-2a77-4c81-9025-b6415893fe98,1608422400000,
3694,0e083b51-b8a9-4f2c-b901-d9916e7b36f4.binning_data.json,2137987,6000,0,2021-01-08 18:33:13.187,com.sec.android.app.shealth,2021-01-08 07:12:50.656,0e083b51-b8a9-4f2c-b901-d9916e7b36f4.source_info.json,1.3012046,2781.959,130.50587,3694,VfS0qUERdZ,com.sec.android.app.shealth,0,0e083b51-b8a9-4f2c-b901-d9916e7b36f4.achievement.json,0e083b51-b8a9-4f2c-b901-d9916e7b36f4,1610064000000,
21879,42787e96-8937-4a81-a2d6-c257f424e154.binning_data.json,13839420,6000,9,2020-12-26 19:28:18.096,com.sec.android.app.shealth,2020-12-26 09:18:23.611,42787e96-8937-4a81-a2d6-c257f424e154.source_info.json,1.1631882,16097.852,783.9219,21870,VfS0qUERdZ,com.sec.android.app.shealth,0,42787e96-8937-4a81-a2d6-c257f424e154.achievement.json,42787e96-8937-4a81-a2d6-c257f424e154,1608940800000,
15013,690bdfc8-5854-4823-aebe-8223fce529bd.binning_data.json,8699117,6000,490,2021-01-06 20:19:00.338,com.sec.android.app.shealth,2021-01-06 08:55:25.342,690bdfc8-5854-4823-aebe-8223fce529bd.source_info.json,1.3151212,11440.394,553.1441,14523,VfS0qUERdZ,com.sec.android.app.shealth,0,690bdfc8-5854-4823-aebe-8223fce529bd.achievement.json,690bdfc8-5854-4823-aebe-8223fce529bd,1609891200000,
2023,7b0a0e5d-e6de-4e11-9e54-e2fb490a65e7.binning_data.json,1200387,6000,0,2021-01-11 21:05:54.120,com.sec.android.app.shealth,2021-01-11 07:04:54.914,7b0a0e5d-e6de-4e11-9e54-e2fb490a65e7.source_info.json,1.2558383,1507.4926,71.82707,2023,VfS0qUERdZ,com.sec.android.app.shealth,0,7b0a0e5d-e6de-4e11-9e54-e2fb490a65e7.achievement.json,7b0a0e5d-e6de-4e11-9e54-e2fb490a65e7,1610323200000,
1569,1373c22f-a039-4b5c-86b7-febad3cfa34a.binning_data.json,1015861,6000,0,2020-12-23 23:00:14.188,com.sec.android.app.shealth,2020-12-23 23:00:14.188,,1.1542008,1172.5084,56.23278,1569,1HYa19KYyA,com.sec.android.app.shealth,0,1373c22f-a039-4b5c-86b7-febad3cfa34a.achievement.json,1373c22f-a039-4b5c-86b7-febad3cfa34a,1608681600000,
5305,b568e140-8e0b-460f-be34-5c9d94e5624e.binning_data.json,3363820,6000,0,2020-12-29 15:38:11.991,com.sec.android.app.shealth,2020-12-29 14:18:26.996,b568e140-8e0b-460f-be34-5c9d94e5624e.source_info.json,1.157499,3893.6182,190.05106,5305,VfS0qUERdZ,com.sec.android.app.shealth,0,b568e140-8e0b-460f-be34-5c9d94e5624e.achievement.json,b568e140-8e0b-460f-be34-5c9d94e5624e,1609200000000,
4128,032c9702-6f7d-4021-a35f-fad139856dd4.binning_data.json,2479208,6000,0,2021-01-14 13:19:39.784,com.sec.android.app.shealth,2021-01-14 07:09:23.735,032c9702-6f7d-4021-a35f-fad139856dd4.source_info.json,1.2394683,3072.9006,146.5112,4128,VfS0qUERdZ,com.sec.android.app.shealth,0,032c9702-6f7d-4021-a35f-fad139856dd4.achievement.json,032c9702-6f7d-4021-a35f-fad139856dd4,1610582400000,
21879,a0f558d2-a679-4cbc-82f1-e0f6748ca86d.binning_data.json,13839420,6000,9,2020-12-26 23:00:01.380,com.sec.android.app.shealth,2020-12-26 23:00:01.380,,1.1631882,16097.852,783.9219,21870,1HYa19KYyA,com.sec.android.app.shealth,0,a0f558d2-a679-4cbc-82f1-e0f6748ca86d.achievement.json,a0f558d2-a679-4cbc-82f1-e0f6748ca86d,1608940800000,
