"Kod","Nazwa","Gestosc_zaludnienia","Procent_chorych","woj","Wojewodztwo"
3002000,"Powiat czarnkowsko-trzcianecki",48.4,14.8135438114848,30,"WIELKOPOLSKIE"
3003000,"Powiat gnieźnieński",115.79,19.3645616135758,30,"WIELKOPOLSKIE"
3004000,"Powiat gostyński",93.81,26.6145689439686,30,"WIELKOPOLSKIE"
3005000,"Powiat grodziski",80.97,21.2614484722543,30,"WIELKOPOLSKIE"
3006000,"Powiat jarociński",122.06,21.6639232207126,30,"WIELKOPOLSKIE"
3007000,"Powiat kaliski",71.58,15.1150186679513,30,"WIELKOPOLSKIE"
3061000,"Powiat m.Kalisz",1454.55,17.9054221341916,30,"WIELKOPOLSKIE"
3008000,"Powiat kępiński",92.86,28.0954572814503,30,"WIELKOPOLSKIE"
3009000,"Powiat kolski",86.29,10.663181067694,30,"WIELKOPOLSKIE"
3010000,"Powiat koniński",82.34,15.3886401058738,30,"WIELKOPOLSKIE"
3062000,"Powiat m.Konin",902.52,17.073269409718,30,"WIELKOPOLSKIE"
3011000,"Powiat kościański",109.67,16.1176322100215,30,"WIELKOPOLSKIE"
3012000,"Powiat krotoszyński",108.58,28.3398719801776,30,"WIELKOPOLSKIE"
3013000,"Powiat leszczyński",70.1,21.3862087279809,30,"WIELKOPOLSKIE"
3063000,"Powiat m.Leszno",2007.28,22.4230673004754,30,"WIELKOPOLSKIE"
3014000,"Powiat międzychodzki",50.22,15.7103455735223,30,"WIELKOPOLSKIE"
3015000,"Powiat nowotomyski",74.35,23.0484455236655,30,"WIELKOPOLSKIE"
3016000,"Powiat obornicki",84.18,17.2909218483745,30,"WIELKOPOLSKIE"
3017000,"Powiat ostrowski",139.23,22.9694339365647,30,"WIELKOPOLSKIE"
3018000,"Powiat ostrzeszowski",71.71,26.3343140263163,30,"WIELKOPOLSKIE"
3019000,"Powiat pilski",107.73,21.5925809355809,30,"WIELKOPOLSKIE"
3020000,"Powiat pleszewski",88.56,21.1728189779404,30,"WIELKOPOLSKIE"
3021000,"Powiat poznański",205.44,24.6062084302653,30,"WIELKOPOLSKIE"
3064000,"Powiat m.Poznań",2048.18,23.3577785317222,30,"WIELKOPOLSKIE"
3022000,"Powiat rawicki",109.13,28.2261402201804,30,"WIELKOPOLSKIE"
3023000,"Powiat słupecki",70.85,16.506375166327,30,"WIELKOPOLSKIE"
3024000,"Powiat szamotulski",81.47,16.9326095300762,30,"WIELKOPOLSKIE"
3025000,"Powiat średzki",93.7,21.3664978787464,30,"WIELKOPOLSKIE"
3026000,"Powiat śremski",106.82,19.7472482674276,30,"WIELKOPOLSKIE"
3027000,"Powiat turecki",90.49,18.1686305751418,30,"WIELKOPOLSKIE"
3028000,"Powiat wągrowiecki",67.59,17.061786720551,30,"WIELKOPOLSKIE"
3029000,"Powiat wolsztyński",84.34,19.3280535882497,30,"WIELKOPOLSKIE"
3030000,"Powiat wrzesiński",110.39,20.8582795781992,30,"WIELKOPOLSKIE"
3031000,"Powiat złotowski",41.93,14.941240697641,30,"WIELKOPOLSKIE"
3201000,"Powiat białogardzki",56.59,13.5434519082055,32,"ZACHODNIOPOMORSKIE"
3202000,"Powiat choszczeński",36.61,12.6332249701658,32,"ZACHODNIOPOMORSKIE"
3203000,"Powiat drawski",32.53,9.26877711378643,32,"ZACHODNIOPOMORSKIE"
3204000,"Powiat goleniowski",51.09,13.9205233826024,32,"ZACHODNIOPOMORSKIE"
3205000,"Powiat gryficki",59.58,16.0845967302902,32,"ZACHODNIOPOMORSKIE"
3206000,"Powiat gryfiński",44.15,9.4147582697201,32,"ZACHODNIOPOMORSKIE"
3207000,"Powiat kamieński",47.07,6.90283100768628,32,"ZACHODNIOPOMORSKIE"
3208000,"Powiat kołobrzeski",109.77,14.444290796636,32,"ZACHODNIOPOMORSKIE"
3209000,"Powiat koszaliński",40.13,42.9809358752166,32,"ZACHODNIOPOMORSKIE"
3218000,"Powiat łobeski",34.84,9.48684777921518,32,"ZACHODNIOPOMORSKIE"
3210000,"Powiat myśliborski",56.04,4.11988409996378,32,"ZACHODNIOPOMORSKIE"
3211000,"Powiat policki",119.45,17.0617544919221,32,"ZACHODNIOPOMORSKIE"
3212000,"Powiat pyrzycki",54.6,12.5633845455233,32,"ZACHODNIOPOMORSKIE"
3213000,"Powiat sławieński",54.07,15.4407984541474,32,"ZACHODNIOPOMORSKIE"
3214000,"Powiat stargardzki",79.02,15.0193153057147,32,"ZACHODNIOPOMORSKIE"
3215000,"Powiat szczecinecki",44.16,13.0956198294106,32,"ZACHODNIOPOMORSKIE"
3262000,"Powiat m.Szczecin",1338.87,16.3517324487844,32,"ZACHODNIOPOMORSKIE"
3216000,"Powiat świdwiński",43.22,11.2188307014944,32,"ZACHODNIOPOMORSKIE"
3263000,"Powiat m.Świnoujście",202.45,13.0041554632119,32,"ZACHODNIOPOMORSKIE"
3217000,"Powiat wałecki",37.78,10.6617784594665,32,"ZACHODNIOPOMORSKIE"
