"Kod","Nazwa","Gestosc_zaludnienia","Procent_chorych","woj","Wojewodztwo"
616000,"Powiat rycki",91.4,11.7686856817292,6,"LUBELSKIE"
617000,"Powiat świdnicki",153.81,19.253459931426,6,"LUBELSKIE"
618000,"Powiat tomaszowski",56.23,12.9367496864361,6,"LUBELSKIE"
619000,"Powiat włodawski",30.78,20.4303299886211,6,"LUBELSKIE"
620000,"Powiat zamojski",57.18,15.8694534062748,6,"LUBELSKIE"
664000,"Powiat m.Zamość",2103.26,18.6012254556282,6,"LUBELSKIE"
801000,"Powiat gorzowski",58.93,15.905183860012,8,"LUBUSKIE"
861000,"Powiat m.Gorzów Wielkopolski",1445.65,20.8600640730788,8,"LUBUSKIE"
802000,"Powiat krośnieński",39.71,12.9061453525206,8,"LUBUSKIE"
803000,"Powiat międzyrzecki",41.82,24.7828484764925,8,"LUBUSKIE"
804000,"Powiat nowosolski",112.41,15.3173119098737,8,"LUBUSKIE"
805000,"Powiat słubicki",47.13,11.1887221078109,8,"LUBUSKIE"
806000,"Powiat strzelecko-drezdenecki",39.56,10.7969047522586,8,"LUBUSKIE"
807000,"Powiat sulęciński",29.97,13.5422273847636,8,"LUBUSKIE"
808000,"Powiat świebodziński",59.62,16.708452722063,8,"LUBUSKIE"
809000,"Powiat zielonogórski",56.12,9.7029702970297,8,"LUBUSKIE"
862000,"Powiat m.Zielona Góra",504.09,14.7116474336586,8,"LUBUSKIE"
810000,"Powiat żagański",70.31,8.84611035020042,8,"LUBUSKIE"
811000,"Powiat żarski",69.56,12.2321317973492,8,"LUBUSKIE"
812000,"Powiat wschowski",62.58,11.1096889799053,8,"LUBUSKIE"
1001000,"Powiat bełchatowski",116.78,23.6023965238015,10,"ŁÓDZKIE"
1021000,"Powiat brzeziński",86.15,24.7329232761411,10,"ŁÓDZKIE"
1002000,"Powiat kutnowski",109.71,17.030679891053,10,"ŁÓDZKIE"
1003000,"Powiat łaski",81.04,13.811548210686,10,"ŁÓDZKIE"
1004000,"Powiat łęczycki",64.89,16.2535149472509,10,"ŁÓDZKIE"
1005000,"Powiat łowicki",79.56,17.7444794952681,10,"ŁÓDZKIE"
1061000,"Powiat m.Łódź",2336.86,22.8094880232312,10,"ŁÓDZKIE"
1006000,"Powiat łódzki wschodni",143.48,26.3301025033122,10,"ŁÓDZKIE"
1007000,"Powiat opoczyński",73.66,13.4685407775733,10,"ŁÓDZKIE"
1008000,"Powiat pabianicki",242.37,21.2425286489115,10,"ŁÓDZKIE"
1009000,"Powiat pajęczański",64.19,30.4475066379828,10,"ŁÓDZKIE"
1062000,"Powiat m.Piotrków Trybunalski",1095.63,18.990090946111,10,"ŁÓDZKIE"
1010000,"Powiat piotrkowski",63.91,18.0583693807151,10,"ŁÓDZKIE"
1011000,"Powiat poddębicki",46.76,12.4499453949763,10,"ŁÓDZKIE"
1012000,"Powiat radomszczański",78.55,21.9476680051185,10,"ŁÓDZKIE"
1013000,"Powiat rawski",75.53,14.1370267169317,10,"ŁÓDZKIE"
1014000,"Powiat sieradzki",79.31,14.6660103946809,10,"ŁÓDZKIE"
1063000,"Powiat m.Skierniewice",1392.43,26.2775540703226,10,"ŁÓDZKIE"
1015000,"Powiat skierniewicki",50.7,19.426626521796,10,"ŁÓDZKIE"
1016000,"Powiat tomaszowski",114.42,17.9261293376201,10,"ŁÓDZKIE"
1017000,"Powiat wieluński",82.79,28.2924158072465,10,"ŁÓDZKIE"
1018000,"Powiat wieruszowski",73.14,19.6858787577287,10,"ŁÓDZKIE"
1019000,"Powiat zduńskowolski",180.82,15.6966120480484,10,"ŁÓDZKIE"
1020000,"Powiat zgierski",194.01,14.5555582342872,10,"ŁÓDZKIE"
1201000,"Powiat bocheński",164.23,22.1754886681563,12,"MAŁOPOLSKIE"
1202000,"Powiat brzeski",157.84,17.4023131558054,12,"MAŁOPOLSKIE"
1203000,"Powiat chrzanowski",338.77,13.797503688639,12,"MAŁOPOLSKIE"
1204000,"Powiat dąbrowski",111.93,15.6360572872789,12,"MAŁOPOLSKIE"
1205000,"Powiat gorlicki",112.89,17.5153981522217,12,"MAŁOPOLSKIE"
1206000,"Powiat krakowski",225.23,25.0013530823215,12,"MAŁOPOLSKIE"
1261000,"Powiat m.Kraków",2359.09,28.688742512019,12,"MAŁOPOLSKIE"
1207000,"Powiat limanowski",138.27,22.7488728207234,12,"MAŁOPOLSKIE"
1208000,"Powiat miechowski",72.66,27.2503408836518,12,"MAŁOPOLSKIE"
1209000,"Powiat myślenicki",188.73,29.9225367635482,12,"MAŁOPOLSKIE"
1210000,"Powiat nowosądecki",139.49,22.6713418695877,12,"MAŁOPOLSKIE"
1262000,"Powiat m.Nowy Sącz",1457.03,27.0334700104892,12,"MAŁOPOLSKIE"
1211000,"Powiat nowotarski",129.84,18.6310754642104,12,"MAŁOPOLSKIE"
1212000,"Powiat olkuski",181.25,19.7973847458384,12,"MAŁOPOLSKIE"
1213000,"Powiat oświęcimski",379.05,15.3834145326109,12,"MAŁOPOLSKIE"
1214000,"Powiat proszowicki",104.91,18.3810858626473,12,"MAŁOPOLSKIE"
