Dzień,lockdown
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,0
2020-03-08,0
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,1
2020-03-17,2
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,2
2020-03-22,2
2020-03-23,3
2020-03-24,7
2020-03-25,2
2020-03-26,1
2020-03-27,2
2020-03-28,2
2020-03-29,1
2020-03-30,2
2020-03-31,1
2020-04-01,2
2020-04-02,2
2020-04-03,2
2020-04-04,2
2020-04-05,2
2020-04-06,2
2020-04-07,2
2020-04-08,2
2020-04-09,1
2020-04-10,2
2020-04-11,2
2020-04-12,3
2020-04-13,2
2020-04-14,2
2020-04-15,2
2020-04-16,1
2020-04-17,2
2020-04-18,1
2020-04-19,1
2020-04-20,2
2020-04-21,2
2020-04-22,2
2020-04-23,2
2020-04-24,1
2020-04-25,2
2020-04-26,2
2020-04-27,1
2020-04-28,2
2020-04-29,2
2020-04-30,2
2020-05-01,2
2020-05-02,1
2020-05-03,2
2020-05-04,2
2020-05-05,1
2020-05-06,2
2020-05-07,2
2020-05-08,2
2020-05-09,2
2020-05-10,2
2020-05-11,2
2020-05-12,2
2020-05-13,3
2020-05-14,2
2020-05-15,1
2020-05-16,1
2020-05-17,1
2020-05-18,1
2020-05-19,1
2020-05-20,1
2020-05-21,2
2020-05-22,1
2020-05-23,1
2020-05-24,1
2020-05-25,2
2020-05-26,1
2020-05-27,2
2020-05-28,3
2020-05-29,2
2020-05-30,2
2020-05-31,2
2020-06-01,1
2020-06-02,1
2020-06-03,1
2020-06-04,1
2020-06-05,1
2020-06-06,1
2020-06-07,2
2020-06-08,1
2020-06-09,7
2020-06-10,5
2020-06-11,2
2020-06-12,1
2020-06-13,2
2020-06-14,2
2020-06-15,2
2020-06-16,1
2020-06-17,1
2020-06-18,2
2020-06-19,1
2020-06-20,2
2020-06-21,1
2020-06-22,3
2020-06-23,1
2020-06-24,2
2020-06-25,1
2020-06-26,2
2020-06-27,1
2020-06-28,1
2020-06-29,1
2020-06-30,1
2020-07-01,1
2020-07-02,1
2020-07-03,1
2020-07-04,1
2020-07-05,1
2020-07-06,1
2020-07-07,1
2020-07-08,1
2020-07-09,2
2020-07-10,2
2020-07-11,3
2020-07-12,1
2020-07-13,1
2020-07-14,1
2020-07-15,2
2020-07-16,2
2020-07-17,3
2020-07-18,1
2020-07-19,4
2020-07-20,1
2020-07-21,2
2020-07-22,1
2020-07-23,1
2020-07-24,2
2020-07-25,6
2020-07-26,4
2020-07-27,3
2020-07-28,2
2020-07-29,2
2020-07-30,2
2020-07-31,4
2020-08-01,3
2020-08-02,2
2020-08-03,3
2020-08-04,3
2020-08-05,2
2020-08-06,2
2020-08-07,3
2020-08-08,3
2020-08-09,2
2020-08-10,2
2020-08-11,1
2020-08-12,1
2020-08-13,2
2020-08-14,1
2020-08-15,1
2020-08-16,1
2020-08-17,2
2020-08-18,3
2020-08-19,2
2020-08-20,3
2020-08-21,1
2020-08-22,4
2020-08-23,4
2020-08-24,3
2020-08-25,2
2020-08-26,3
2020-08-27,3
2020-08-28,2
2020-08-29,2
2020-08-30,2
2020-08-31,3
2020-09-01,2
2020-09-02,2
2020-09-03,5
2020-09-04,3
2020-09-05,3
2020-09-06,3
2020-09-07,2
2020-09-08,1
2020-09-09,2
2020-09-10,1
2020-09-11,1
2020-09-12,2
2020-09-13,2
2020-09-14,7
2020-09-15,5
2020-09-16,3
2020-09-17,3
2020-09-18,4
2020-09-19,3
2020-09-20,4
2020-09-21,4
2020-09-22,3
2020-09-23,3
2020-09-24,3
2020-09-25,2
2020-09-26,5
2020-09-27,4
2020-09-28,4
2020-09-29,3
2020-09-30,3
2020-10-01,5
2020-10-02,5
2020-10-03,2
2020-10-04,2
2020-10-05,3
2020-10-06,4
2020-10-07,5
2020-10-08,8
2020-10-09,9
2020-10-10,6
2020-10-11,7
2020-10-12,10
2020-10-13,11
2020-10-14,10
2020-10-15,17
2020-10-16,12
2020-10-17,10
2020-10-18,6
2020-10-19,8
2020-10-20,10
2020-10-21,11
2020-10-22,11
2020-10-23,17
2020-10-24,9
2020-10-25,6
2020-10-26,65
2020-10-27,66
2020-10-28,78
2020-10-29,84
2020-10-30,52
2020-10-31,37
2020-11-01,41
2020-11-02,33
2020-11-03,100
2020-11-04,92
2020-11-05,55
2020-11-06,38
2020-11-07,33
2020-11-08,33
2020-11-09,33
2020-11-10,22
2020-11-11,17
2020-11-12,19
2020-11-13,8
2020-11-14,13
2020-11-15,11
2020-11-16,7
2020-11-17,7
2020-11-18,4
