,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Suma przebadanych próbek w woj.:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Województwo,11.05,18.05,25.05,01.06,08.06,15.06,22.06,29.06,06.07,13.07,20.07,27.07,03.08,10.08,17.08,24.08,31.08,07.09,14.09,21.09,28.09,05.10,12.10,19.10,26.10,02.11,09.11,16.11,,,,
Śląskie,42529,55985,69143,87422,103190,118400,134303,148096,169612,182812,196375,209437,225406,252261,272752,294496,315853,334215,349628,365211,381650,404098,436728,482953,548624,629121,721218,773957,,,,
Mazowieckie,143966,177452,210239,244399,276783,306582,340305,368593,397618,422721,448231,473511,501404,532110,559436,591116,623026,650018,675236,700871,730026,764297,797777,856252,925642,1008939,1091448,1147865,,,,
Małopolskie,35949,48686,62466,75705,84937,94502,105332,115419,126083,137004,148726,163298,179413,197881,213874,231613,248439,262860,273958,286200,298603,313937,333263,358520,382618,409572,427900,443680,,,,
Wielkopolskie,48855,70519,91178,108630,118694,131753,142083,150721,162336,173502,184341,194131,206012,218592,231272,243183,254104,270794,282308,294658,308307,325918,349583,381334,426427,480495,531030,569263,,,,
Dolnośląskie,33849,45700,58003,70568,81843,90694,101941,109854,117584,139223,148743,158614,169281,181719,193495,206533,214339,229785,240412,249631,259473,272465,289627,313251,337187,365445,391282,427333,,,,
Łódzkie,32447,38060,43235,48100,55510,64067,74727,84616,93977,104426,113996,123532,133654,144335,155979,168416,179613,192264,201199,210794,221532,234136,249864,272259,301293,328447,359765,384373,,,,
Kujawsko-Pomorskie,15361,23824,33081,44390,49449,54081,60254,67373,73929,80281,86816,93765,100827,107944,115591,125265,134662,142185,150314,160139,170401,184538,200966,220674,242673,267731,293464,315215,,,,
Podkarpackie,13120,15302,17342,19163,20831,22841,25180,28041,30397,33089,36600,39432,42330,45612,48786,51677,54673,57054,58486,60591,64103,65589,68011,74896,80427,90634,98593,105895,,,,
Pomorskie,34098,42672,50578,59540,71483,79301,89653,99302,108884,116754,126268,135924,146718,158463,172156,188220,204907,219511,232211,245390,259042,273937,293779,311770,328870,374442,425384,468721,,,,
Lubelskie,21597,27188,32240,38067,43264,47420,53205,59374,64459,70625,76710,81723,87667,94012,99599,105667,112018,117528,122541,127760,133221,141779,152348,167693,182656,197332,211471,225055,,,,
Zachodniopomorskie,12115,16359,19875,24992,29195,33600,39373,45226,50681,56438,62753,69404,76638,85860,93402,101884,109952,116791,122043,130549,138870,148411,159676,176321,192 843,210 887,228 569,244 326,,,,
Świętokrzyskie *,13303,22360,31607,43055,57583,73643,92499,115180,142483,169938,206333,246766,292239,54249,57730,61347,65790,69762,72987,76014,80072,86016,94851,104203,113246,123031,131450,138369,,,,
Opolskie,4750,5553,6287,7300,8469,9584,10923,12345,13656,14878,16068,17292,18712,20538,22610,24610,26462,28204,30087,31950,33896,35662,38034,41440,45228,48476,51910,55175,,,,
Podlaskie,15382,17936,20235,23122,26726,30320,34230,38236,42168,45844,48989,51586,54741,58176,61136,64645,67984,71538,74747,77795,81342,87599,92525,103263,115127,126066,137364,145672,,,,
Warmińsko-Mazurskie,17007,19888,23478,26743,29169,31235,35435,39032,42111,45173,47992,51060,54278,57729,61775,65900,69483,72582,75404,78309,81376,85536,90948,98376,107502,119509,130724,140115,,,,
Lubuskie,6858,8562,10489,12268,14014,15624,17069,18251,19936,21572,23414,25020,26590,28080,29660,31289,33167,35272,36899,38450,40246,42527,45149,48464,52306,55805,59231,62233,,,,
,491186,636046,779476,933464,1071140,1203647,1356512,1499659,1655914,1814280,1972355,2134495,2315910,2237561,2389253,2555861,2714472,2870363,2998460,3134312,3282160,3466445,3693129,4011669,4382669,4835932,5290803,5647247,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tygodniowa liczba przebadanych próbek w woj.:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Województwo,,11-18.05,18-25.05,25-01.06,01-08.06,08-15.06,15-22.06,22-29.06,29-06.07,06-13.07,13-20.07,20-27.07,27-03.08,03-10.08,10-17.08,17-24.08,24-31.08,31-07.09,07-14.09,14-21.09,21-28.09,28-05.10,05-12.10,12-19.10,19-26.10,26-02.11,02-09.11,09-16.11,,,,
Śląskie,→,13456,13158,18279,15768,15210,15903,13793,21516,13200,13563,13062,15969,26855,20491,21744,21357,18362,15413,15583,16439,22448,32630,46225,65671,80497,92097,52739,,,,
