Data,Liczba osób hospitalizowanych ,zmiana (d/d),% osób hospitalizowanych w aktualnej liczbie aktywnych przypadków,Liczba łóżek dla pacjentów,% zajęte,Liczba zajętych respiratorów (stan ciężki),zmiana (d/d),% osób pod respiratorem w aktualnej liczbie osób hospitalizowanych,Liczba respiratorów,% zajęte,Liczba objętych kwarantanną lokalnie,Obywatele wracający zza granicy,Liczba osób objętych kwarantanną,Liczba osób objętych nadzorem epidemiologicznym,,,,,,,,,,,Przybliżenie od 01.11
03.03,68,n/a,↓,↓,,↓,,, ,,316,0,316,4459,,,,,,,,,,,
04.03,65,-3,,,,,,,,,349,0,349,4540,,,,,,,,,,,
05.03,92,+ 27,,,,,,,,,490,0,490,5647,,,,,,,,,,,
06.03,128,+ 36,,,,,,,,,1299,0,1299,6184,,,,,,,,,,,
07.03,146,+ 18,,,,,,,,,1548,0,1548,6409,,,,,,,,,,,
08.03,168,+ 22,,,,,,,,,932,0,932,7112,,,,,,,,,,,
09.03,467,+ 299,,,,,,,,,1014,0,1014,7110,,,,,,,,,,,
10.03,220,-247,,,,,,,,,1055,0,1055,9366,,,,,,,,,,,
11.03,317,+ 97,,,,,,,,,1193,0,1193,11524,,,,,,,,,,,
12.03,384,+ 67,,,,,,,,,2736,0,2736,14841,,,,,,,,,,,
13.03,521,+ 137,,,,,,,,,3151,0,3151,17784,,,,,,,,,,,
14.03,526,+ 5,,,,,,,,,4413,0,4413,20340,,,,,,,,,,,
15.03,768,+ 242,,,,,,,,,7535,0,7535,25816,,,,,,,,,,,
16.03,734,-34,,,,,,,,,10050,0,10050,30129,,,,,,,,,,,
17.03,822,+ 88,,,,,,,,,14531,22972,37503,35853,,,,,,,,,,,
18.03,923,+ 101,,,,,,,,,21993,35192,57185,40110,,,,,,,,,,,
19.03,871,-52,,,,,,,,,28440,48324,76764,48660,,,,,,,,,,,
20.03,898,+ 27,,,,,,,,,47115,62120,109235,53117,,,,,,,,,,,
21.03,1047,+ 149,,,,,,,,,54814,74105,128919,56623,,,,,,,,,,,
22.03,1084,+ 37,,,,,,,,,48632,80348,128980,58826,,,,,,,,,,,
23.03,1138,+ 54,,,,,,,,,55301,95445,150746,51142,,,,,,,,,,,
24.03,1479,+ 341,,,,,,,,,62511,104529,167040,53426,,,,,,,,,,,
25.03,1615,+ 136,,,,,,,,,70528,138680,209208,56930,,,,,,,,,,,
26.03,1606,-9,,,,,,,,,83908,150474,234382,59081,,,,,,,,,,,
27.03,1696,+ 90,,,,,,,,,94297,161859,256156,58306,,,,,,,,,,,
28.03,1719,+ 23,,,,,,,,,97413,167890,265303,56585,,,,,,,,,,,
29.03,1879,+ 160,,,,,,,,,100215,169092,269307,52612,,,,,,,,,,,
30.03,1900,+ 21,,,,,,,,,106525,163789,270314,52370,,,,,,,,,,,
31.03,1924,+ 24,,,,,,,,,→,,171994,50804,,,,,,,,,,,
01.04,2317,+ 393,,,,,,,,,,,183095,48093,,,,,,,,,,,
02.04,2158,-159,,,,,,,,,,,174997,44491,,,,,,,,,,,
03.04,2303,+ 145,,,,,,,,,,,160587,41146,,,,,,,,,,,
04.04,2434,+ 131,"70,92%",,,,,,,,,,131888,39157,,,,,,,,,,,
05.04,2444,+ 10,"63,09%",,,,,,,,,,143256,37295,,,,,,,,,,,
06.04,2476,+ 32,"59,75%",,,,,,,,,,148130,36391,,,,,,,,,,,
07.04,2425,-51,"53,56%",,,,,,,,,,153390,33273,,,,,,,,,,,
08.04,2473,+ 48,"51,25%",,,,,,,,,,152898,33989,,,,,,,,,,,
09.04,2409,-64,"47,08%",,,,,,,,,,158663,33879,,,,,,,,,,,
10.04,2426,+ 17,"44,46%",,,,,,,,,,166973,31370,,,,,,,,,,,
11.04,2481,+ 55,"42,98%",,,,,,,,,,162924,30982,,,,,,,,,,,
12.04,2510,+ 29,"41,81%",,,,,,,,,,151548,29571,,,,,,,,,,,
13.04,2471,-39,"39,85%",,,,,,,,,,144875,28665,,,,,,,,,,,
14.04,2499,+ 28,"39,53%",,,,,,,,,,145875,28085,,,,,,,,,,,
15.04,2607,+ 108,"39,33%",,,,,,,,,,142220,25923,,,,,,,,,,,
16.04,2673,+ 66,"39,14%",,,,,,,,,,138004,25773,,,,,,,,,,,
17.04,2725,+ 52,"37,97%",,,,,,,,,,118361,25273,,,,,,,,,,,
18.04,2483,-242,"33,64%",,,,,,,,,,124311,17436,,,,,,,,,,,
19.04,2511,+ 28,"32,09%",,,,,,,,,,111079,17266,,,,,,,,,,,
20.04,2914,+ 403,"36,35%",,,,,,,,,,105602,21364,,,,,,,,,,,
21.04,3505,+ 591,"43,29%",,,,,,,,,,98020,22731,,,,,,,,,,,
22.04,3099,-406,"37,94%",,,,,,,,,,103129,21781,,,,,,,,,,,
23.04,3095,-4,"37,49%",,,,,,,,,,97905,20546,,,,,,,,,,,
24.04,2821,-274,"33,62%",,,,,,,,,,87003,19653,,,,,,,,,,,
25.04,2749,-72,"32,11%",,,,,,,,,,79656,19116,,,,,,,,,,,
26.04,2759,+ 10,"31,52%",,,,,,,,,,78878,18693,,,,,,,,,,,
27.04,2934,+ 175,"33,30%",,,,,,,,,,82643,18394,,,,,,,,,,,
28.04,2973,+ 39,"33,39%",,,,,,,,,,85837,18016,,,,,,,,,,,
29.04,3012,+ 39,"33,73%",,,,,,,,,,88265,18874,,,,,,,,,,,
30.04,2789,-223,"31,00%",,,,,,,,,,92458,18433,,,,,,,,,,,
01.05,2649,-140,"29,55%",,,,,,,,,,95625,18383,,,,,,,,,,,
02.05,2761,+ 112,"30,85%",,,,,,,,,,96612,18306,,,,,,,,,,,
03.05,2653,-108,"29,25%",,,,,,,,,,96699,17785,,,,,,,,,,,
04.05,2738,+ 85,"29,71%",,,,,,,,,,100765,17291,,,,,,,,,,,
05.05,2760,+ 22,"29,31%",,,,,,,,,,101395,17081,,,,,,,,,,,
06.05,2711,-49,"29,04%",,,,,,,,,,103913,16765,,,,,,,,,,,
07.05,2758,+ 47,"29,31%",,,,,,,,,,104024,17540,,,,,,,,,,,
08.05,2768,+ 10,"29,43%",,,,,,,,,,102996,17155,,,,,,,,,,,
09.05,2658,-110,"28,19%",,,,,,,,,,100784,17225,,,,,,,,,,,
10.05,2598,-60,"27,35%",,,,,,,,,,97002,17051,,,,,,,,,,,
11.05,2571,-27,"26,51%",,,,,,,,,,96211,17771,,,,,,,,,,,
12.05,2648,+ 77,"26,71%",,,,,,,,,,96062,18009,,,,,,,,,,,
13.05,2538,-110,"25,55%",,,,,,,,,,96708,18256,,,,,,,,,,,
14.05,2579,+ 41,"25,70%",,,,,,,,,,95068,18363,,,,,,,,,,,
15.05,2407,-172,"23,62%",,,,,,,,,,90386,18355,,,,,,,,,,,
16.05,2459,+ 52,"24,19%",,,,,,,,,,84542,18195,,,,,,,,,,,
17.05,2544,+ 85,"25,06%",,,,,,,,,,80947,18772,,,,,,,,,,,
18.05,2490,-54,"24,13%",,,,,,,,,,76645,18831,,,,,,,,,,,
19.05,2414,-76,"23,18%",,,,,,,,,,76957,18984,,,,,,,,,,,
20.05,2330,-84,"22,00%",,,,,,,,,,77461,19729,,,,,,,,,,,
21.05,2261,-69,"21,10%",,,,,,,,,,77768,19500,,,,,,,,,,,
22.05,2271,+ 10,"20,84%",,,,,,,,,,80635,19836,,,,,,,,,,,
23.05,2242,-29,"20,46%",,,,,,,,,,79326,19529,,,,,,,,,,,
24.05,2268,+ 26,"20,44%",,,,,,,,,,78259,19587,,,,,,,,,,,
25.05,2171,-97,"19,13%",,,,,,,,,,78864,19139,,,,,,,,,,,
26.05,2320,+ 149,"21,04%",,,,,,,,,,79007,19682,,,,,,,,,,,
27.05,2248,-72,"20,23%",,,,,,,,,,79818,19373,,,,,,,,,,,
28.05,2035,-213,"18,13%",,,,,,,,,,79995,18224,,,,,,,,,,,
29.05,2207,+ 172,"19,34%",,,,,,,,,,80182,19161,,,,,,,,,,,
30.05,2134,-73,"18,58%",,,,,,,,,,78823,18947,,,,,,,,,,,
31.05,2181,+ 47,"19,05%",,,,,,,,,,77406,18859,,,,,,,,,,,
01.06,2219,+ 38,"19,07%",,,,,,,,,,78470,18692,,,,,,,,,,,
02.06,2150,-69,"18,57%",,,,,,,,,,78691,18642,,,,,,,,,,,
03.06,2101,-49,"18,18%",,,,,,,,,,79341,18721,,,,,,,,,,,
04.06,2085,-16,"17,81%",,,,,,,,,,81244,19274,,,,,,,,,,,
05.06,2128,+ 43,"17,94%",,,,,,,,,,81820,19994,,,,,,,,,,,
06.06,2007,-121,"16,46%",,,,,,,,,,82759,20079,,,,,,,,,,,
07.06,1881,-126,"14,99%",,,,,,,,,,82921,19703,,,,,,,,,,,
08.06,2039,+ 158,"15,69%",,,,,,,,,,84913,19496,,,,,,,,,,,
09.06,1993,-46,"15,12%",,,,,,,,,,86002,19336,,,,,,,,,,,
10.06,1700,-293,"12,85%",,,75,n/a,"4,41%",,,,,88074,18234,,,,,,,,,,,
11.06,1629,-71,"12,26%",,,77,+ 2,"4,73%",,,,,89609,19072,,,,,,,,,,,
12.06,1711,+ 82,"12,63%",,,77,+ 0,"4,50%",,,,,92654,18904,,,,,,,,,,,
13.06,1748,+ 37,"12,78%",,,83,+ 6,"4,75%",,,,,93094,18666,,,,,,,,,,,
14.06,1736,-12,"12,47%",,,78,-5,"4,49%",,,,,94518,17966,,,,,,,,,,,
15.06,1806,+ 70,"12,76%",,,80,+ 2,"4,43%",,,,,95641,17261,,,,,,,,,,,
16.06,1693,-113,"11,86%",,,76,-4,"4,49%",,,,,96255,17195,,,,,,,,,,,
17.06,1849,+ 156,"12,81%",,,72,-4,"3,89%",,,,,93722,17354,,,,,,,,,,,
18.06,1886,+ 37,"13,16%",,,87,+ 15,"4,61%",,,,,97215,18866,,,,,,,,,,,
19.06,1931,+ 45,"13,52%",,,72,-15,"3,73%",,,,,96795,18611,,,,,,,,,,,
20.06,1877,-54,"13,32%",,,71,-1,"3,78%",,,,,94585,18619,,,,,,,,,,,
21.06,1899,+ 22,"13,67%",,,72,+ 1,"3,79%",,,,,93830,18572,,,,,,,,,,,
22.06,1936,+ 37,"14,04%",,,68,-4,"3,51%",,,,,93890,18025,,,,,,,,,,,
23.06,1965,+ 29,"14,47%",,,65,-3,"3,31%",,,,,92992,16574,,,,,,,,,,,
24.06,1974,+ 9,"14,85%",,,74,+ 9,"3,75%",,,,,92409,17139,,,,,,,,,,,
25.06,1933,-41,"14,82%",,,77,+ 3,"3,98%",,,,,91461,16728,,,,,,,,,,,
26.06,1869,-64,"14,66%",,,80,+ 3,"4,28%",,,,,89294,16568,,,,,,,,,,,
27.06,1845,-24,"14,99%",,,83,+ 3,"4,50%",,,,,85603,15211,,,,,,,,,,,
28.06,1797,-48,"15,08%",,,86,+ 3,"4,79%",,,,,83460,14469,,,,,,,,,,,
29.06,1811,+ 14,"15,33%",,,85,-1,"4,69%",,,,,83499,13987,,,,,,,,,,,
30.06,1923,+ 112,"16,51%",,,78,-7,"4,06%",,,,,83033,13919,,,,,,,,,,,
01.07,1787,-136,"15,53%",,,73,-5,"4,09%",,,,,83521,13941,,,,,,,,,,,
02.07,1743,-44,"15,23%",,,72,-1,"4,13%",,,,,84790,13478,,,,,,,,,,,
03.07,1731,-12,"15,39%",,,74,+ 2,"4,27%",,,,,84560,13280,,,,,,,,,,,
04.07,1765,+ 34,"15,93%",,,77,+ 3,"4,36%",,,,,83813,13508,,,,,,,,,,,
05.07,1790,+ 25,"16,75%",,,76,-1,"4,25%",,,,,83767,12118,,,,,,,,,,,
06.07,1658,-132,"15,54%",,,73,-3,"4,40%",,,,,85327,11780,,,,,,,,,,,
07.07,1683,+ 25,"15,81%",,,66,-7,"3,92%",,,,,84363,11547,,,,,,,,,,,
08.07,1687,+ 4,"16,43%",,,65,-1,"3,85%",,,,,85955,10889,,,,,,,,,,,
09.07,1597,-90,"16,09%",,,66,+ 1,"4,13%",,,,,86712,10565,,,,,,,,,,,
10.07,1617,+ 20,"16,83%",,,67,+ 1,"4,14%",,,,,86915,10045,,,,,,,,,,,
11.07,1610,-7,"17,28%",,,65,-2,"4,04%",,,,,86168,9789,,,,,,,,,,,
12.07,1640,+ 30,"17,88%",,,69,+ 4,"4,21%",,,,,85610,9138,,,,,,,,,,,
13.07,1581,-59,"17,38%",,,74,+ 5,"4,68%",,,,,86747,9473,,,,,,,,,,,
14.07,1575,-6,"17,28%",,,73,-1,"4,63%",,,,,86698,9684,,,,,,,,,,,
15.07,1550,-25,"17,95%",,,68,-5,"4,39%",,,,,90496,9778,,,,,,,,,,,
