Powiat;Powierzchnia;Liczba_ludności;Gęstość_zaludnienia
Lublin;147,47;339 682;2303,40
powiat lubliniecki;822,25;76 593;93,15
powiat lwówecki;709,69;46 059;64,90
powiat łańcucki;451,84;80 834;178,90
powiat łaski;618,23;50 103;81,04
powiat łęczycki;772,75;50 143;64,89
powiat łęczyński;636,64;57 457;90,25
powiat łobeski;1065,13;37 104;34,84
Łomża;32,67;63 000;1928,37
powiat łomżyński;1354,59;51 000;37,65
powiat łosicki;772,45;31 023;40,16
powiat łowicki;988,17;78 616;79,56
powiat łódzki wschodni;499,76;71 705;143,48
Łódź;293,25;685 285;2336,86
powiat łukowski;1394,21;107 449;77,07
powiat makowski;1064,63;45 247;42,50
powiat malborski;494,23;63 748;128,98
powiat miechowski;676,29;49 137;72,66
powiat mielecki;880,50;136 673;155,22
powiat międzychodzki;736,44;36 982;50,22
powiat międzyrzecki;1387,61;58 024;41,82
powiat mikołowski;233,10;98 373;422,02
powiat milicki;714,93;37 093;51,88
powiat miński;1163,72;153 824;132,18
powiat mławski;1181,82;73 102;61,86
powiat mogileński;675,12;45 821;67,87
powiat moniecki;1381,79;40 712;29,46
powiat mrągowski;1065,38;50 080;47,01
Mysłowice;65,62;74 586;1136,64
powiat myszkowski;479,25;71 119;148,40
powiat myślenicki;673,08;127 028;188,73
powiat myśliborski;1182,40;66 264;56,04
powiat nakielski;1120,08;86 590;77,31
powiat namysłowski;748,18;42 688;57,06
powiat nidzicki;960,64;33 068;34,42
powiat niżański;785,64;66 843;85,08
powiat nowodworski;674,08;35 746;53,03
powiat nowodworski;694,79;79 291;114,12
powiat nowomiejski;693,93;43 997;63,40
powiat nowosądecki;1549,80;216 176;139,49
powiat nowosolski;770,73;86 634;112,41
powiat nowotarski;1474,99;191 508;129,84
powiat nowotomyski;1013,62;75 363;74,35
Nowy Sącz;57,58;83 896;1457,03
powiat nyski;1223,88;136 946;111,89
powiat obornicki;711,04;59 858;84,18
powiat olecki;873,60;34 433;39,42
powiat oleski;973,38;64 602;66,37
powiat oleśnicki;1049,31;107 062;102,03
powiat olkuski;618,11;112 035;181,25
Olsztyn;88,33;172 362;1951,34
powiat olsztyński;2838,02;126 018;44,40
powiat oławski;524,10;76 595;146,15
powiat opatowski;910,90;52 577;57,72
powiat opoczyński;1040,19;76 623;73,66
Opole;148,88;128 137;860,67
powiat opolski;810,02;59 726;73,73
powiat opolski;1534,30;123 520;80,51
powiat ostrołęcki;2093,55;88 735;42,38
Ostrołęka;33,46;52 262;1561,92
powiat ostrowiecki;616,78;110 127;178,55
powiat ostrowski;1160,12;161 519;139,23
powiat ostrowski;1217,79;72 782;59,77
powiat ostródzki;1766,29;104 780;59,32
powiat ostrzeszowski;772,63;55 403;71,71
powiat oświęcimski;405,58;153 737;379,05
powiat otwocki;615,92;124 036;201,38
powiat pabianicki;492,18;119 289;242,37
powiat pajęczański;803,82;51 597;64,19
powiat parczewski;952,20;34 954;36,71
powiat piaseczyński;621,00;184 951;297,83
Piekary Śląskie;39,98;55 299;1383,17
powiat pilski;1268,21;136 621;107,73
powiat pińczowski;612,85;39 271;64,08
powiat piotrkowski;1428,74;91 315;63,91
Piotrków Trybunalski;67,24;73 670;1095,63
powiat piski;1774,58;56 570;31,88
powiat pleszewski;713,07;63 147;88,56
Płock;88,04;120 000;1363,02
powiat płocki;1796,63;111 088;61,83
powiat płoński;1379,79;87 409;63,35
powiat poddębicki;881,21;41 205;46,76
powiat policki;665,33;79 476;119,45
powiat polkowicki;779,46;62 982;80,80
Poznań;261,91;536 438;2048,18
powiat poznański;1899,88;390 308;205,44
powiat proszowicki;414,87;43 523;104,91
powiat prudnicki;571,55;55 524;97,15
powiat pruszkowski;246,30;164 240;666,83
powiat przasnyski;1218,62;52 824;43,35
powiat przemyski;1211,22;74 398;61,42
Przemyśl;46,17;61 251;1326,64
powiat przeworski;698,02;78 458;112,40
powiat przysuski;801,19;41 922;52,32
powiat pszczyński;471,16;111 202;236,02
powiat pucki;581,18;85 726;147,50
powiat puławski;934,09;113 762;121,79
powiat pułtuski;827,42;51 809;62,62
powiat pyrzycki;726,00;39 639;54,60
powiat raciborski;543,76;108 513;199,56
Radom;111,80;213 029;1905,45
powiat radomski;1529,78;152 117;99,44
powiat radomszczański;1442,57;113 315;78,55
powiat radziejowski;607,20;40 714;67,05
powiat radzyński;965,06;59 278;61,42
powiat rawicki;553,52;60 405;109,13
powiat rawski;646,20;48 808;75,53
powiat ropczycko-sędziszowski;548,31;74 374;135,64
Ruda Śląska;77,73;138 000;1775,38
powiat rybnicki;223,64;78 104;349,24
Rybnik;148,36;138 696;934,86
powiat rycki;614,53;56 166;91,40
powiat rypiński;586,47;43 826;74,73
powiat rzeszowski;1153,33;170 486;147,82
Rzeszów;120,41;191 564;1590,93
powiat sandomierski;675,89;77 773;115,07
powiat sanocki;1156,43;94 758;81,94
powiat sejneński;855,17;20 092;23,49
powiat sępoleński;791,09;41 147;52,01
Siedlce;31,86;77 872;2444,19
powiat siedlecki;1603,48;81 352;50,73
Siemianowice Śląskie;25,50;67 154;2633,49
powiat siemiatycki;1459,46;44 689;30,62
powiat sieradzki;1490,83;119 869;79,31
powiat sierpecki;852,04;52 196;61,26
powiat skarżyski;395,43;74 817;189,20
Skierniewice;34,60;48 178;1392,43
powiat skierniewicki;753,38;38 195;50,70
powiat sławieński;1043,20;56 409;54,07
powiat słubicki;999,29;47 101;47,13
powiat słupecki;838,01;59 371;70,85
Słupsk;43,15;91 007;2109,08
powiat słupski;2304,24;98 816;42,88
powiat sochaczewski;734,80;85 105;115,82
powiat sokołowski;1131,17;54 217;47,93
powiat sokólski;2054,50;67 466;32,84
Sopot;17,28;36 046;2086,00
Sosnowiec;91,06;202 036;2218,71
powiat stalowowolski;831,74;106 619;128,19
powiat starachowicki;523,41;90 377;172,67
powiat stargardzki;1519,94;120 112;79,02
powiat starogardzki;1345,34;128 004;95,15
powiat staszowski;924,80;72 167;78,04
powiat strzelecki;744,27;74 665;100,32
powiat strzelecko-drezdenecki;1247,86;49 366;39,56
powiat strzeliński;622,06;43 773;70,37
powiat strzyżowski;503,47;61 558;122,27
powiat sulęciński;1177,80;35 297;29,97
powiat suski;685,71;84 255;122,87
powiat suwalski;1307,00;35 792;27,38
Suwałki;65,51;69 827;1065,90
powiat szamotulski;1119,29;91 185;81,47
Szczecin;300,60;402 465;1338,87
powiat szczecinecki;1765,42;77 965;44,16
powiat szczycieński;1933,21;69 885;36,15
powiat sztumski;730,74;41 569;56,89
powiat szydłowiecki;451,81;39 864;88,23
powiat średzki;623,86;58 456;93,70
powiat średzki;704,14;54 269;77,07
powiat śremski;574,10;61 325;106,82
powiat świdnicki;468,35;72 039;153,81
powiat świdnicki;741,14;157 615;212,67
powiat świdwiński;1093,06;47 242;43,22
powiat świebodziński;936,57;55 840;59,62
powiat świecki;1474,18;99 281;67,35
Świętochłowice;13,31;50 012;3757,48
Świnoujście;202,07;40 910;202,45
Tarnobrzeg;85,40;47 047;550,90
powiat tarnobrzeski;521,06;53 236;102,17
powiat tarnogórski;644,19;139 833;217,07
powiat tarnowski;1411,58;201 570;142,80
Tarnów;72,38;109 062;1506,80
powiat tatrzański;471,65;68 146;144,48
powiat tczewski;697,11;115 876;166,22
powiat tomaszowski;1024,79;117 259;114,42
powiat tomaszowski;1488,89;83 715;56,23
Toruń;115,72;202 074;1746,23
powiat toruński;1230,42;106 935;86,91
powiat trzebnicki;1024,78;84 886;82,83
powiat tucholski;1075,46;48 374;44,98
powiat turecki;929,43;84 101;90,49
Tychy;81,81;127 831;1562,54
powiat wadowicki;645,88;160 130;247,93
Wałbrzych;84,70;112 594;1329,33
powiat wałbrzyski;430,22;56 004;130,18
powiat wałecki;1414,98;53 462;37,78
Warszawa;517,24;1 777 972;3437,42
powiat warszawski zachodni;533,79;117 007;219,20
powiat wąbrzeski;501,95;34 413;68,56
powiat wągrowiecki;1039,65;70 274;67,59
powiat wejherowski;1285,25;215 908;167,99
powiat węgorzewski;693,22;22 873;33,00
powiat węgrowski;1220,76;66 174;54,21
powiat wielicki;410,78;127 078;309,36
powiat wieluński;926,48;76 699;82,79
powiat wieruszowski;577,13;42 213;73,14
Włocławek;84,32;110 802;1314,07
powiat włocławski;1473,63;86 352;58,60
powiat włodawski;1256,42;38 668;30,78
powiat włoszczowski;907,86;45 336;49,94
powiat wodzisławski;286,75;157 616;549,66
powiat wolsztyński;679,73;57 326;84,34
powiat wołomiński;953,56;245 357;257,31
powiat wołowski;674,96;47 056;69,72
Wrocław;292,82;640 648;2187,86
powiat wrocławski;1117,70;146 060;130,68
powiat wrzesiński;703,57;77 667;110,39
powiat wschowski;624,20;39 065;62,58
powiat wysokomazowiecki;1288,91;57 248;44,42
powiat wyszkowski;876,43;74 065;84,51
Zabrze;80,40;173 374;2156,39
powiat zambrowski;733,12;43 816;59,77
powiat zamojski;1870,29;106 935;57,18
Zamość;30,34;63 813;2103,26
