,id,name,img,link,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,author,album,whose
10,0YzTIFEIUkZofXozAQWvGv,Sobie i Wam,https://i.scdn.co/image/ab67616d00001e02d369b8da939c36b70b598812,https://p.scdn.co/mp3-preview/d26f247e2dff4f6e8a083ffd8663abba9aaad60b?cid=774b29d4f13844c495f206cafdad9c86,0.724,0.815,-7.153,0.0386,0.0606,0.0,0.345,0.914,114.017,203080.0,Męskie Granie Orkiestra 2019,Sobie i Wam,p
11,2sTuKKRZI1ciK5tflR00YE,GOMBAO 33,https://i.scdn.co/image/ab67616d00001e020e33698e02004a608a15c177,https://p.scdn.co/mp3-preview/ad200dd92c8c731a463bb001fc9c074f82f44c43?cid=774b29d4f13844c495f206cafdad9c86,0.756,0.604,-8.77,0.235,0.354,0.0,0.135,0.215,125.991,340107.0,Mata,100 dni do matury,p
12,4pkQDBbkjtLvEhC3OFwYwq,Turysta (Bonus Track),https://i.scdn.co/image/ab67616d00001e026105bf671731aa08830e9a86,https://p.scdn.co/mp3-preview/597e16a0f15c30bdf88b4844e0c3cfc2ebaebd09?cid=774b29d4f13844c495f206cafdad9c86,0.717,0.564,-9.835,0.0627,0.564,0.0,0.112,0.601,116.852,306570.0,Kwiat Jabłoni,Niemożliwe,p
13,1gOJEtL5T2cy1GKyLqVX30,Bicz,https://i.scdn.co/image/ab67616d00001e029f29a5163b0396c126a08506,https://p.scdn.co/mp3-preview/094aa2543ca980ab666114fcb92050772a757313?cid=774b29d4f13844c495f206cafdad9c86,0.573,0.863,-5.898,0.085,0.341,0.0,0.535,0.755,85.135,191987.0,Te-Tris,Definitywnie,p
14,6y2Kaz9QI01XBKJ8mTb7Pf,Skin,https://i.scdn.co/image/ab67616d00001e0290a788beadaad34ff684d3ec,https://p.scdn.co/mp3-preview/a77a7c4a43cae8a598eecdfcd200ac36f35db3f6?cid=774b29d4f13844c495f206cafdad9c86,0.565,0.745,-7.733,0.31,0.265,0.0,0.147,0.352,170.654,239627.0,Rag'n'Bone Man,Human (Deluxe),p
15,0LMVlh8Ce9QFsZqN02yxxu,Nieznajomy,https://i.scdn.co/image/ab67616d00001e02e32295c3b09ad7d007b6c8b8,,0.283,0.4,-5.739,0.0402,0.456,1.34e-06,0.0609,0.0683,208.659,269560.0,Tulia,Tulia (Deluxe Edition),p
16,4L8AHz6ob1d9hjR4qOYAqS,"Przybądź, Święty",https://i.scdn.co/image/ab67616d00001e0279defd04d1d8d15a70816b08,https://p.scdn.co/mp3-preview/f4bb07da494fa57ab7f78c3389c27dda1510e298?cid=774b29d4f13844c495f206cafdad9c86,0.574,0.477,-7.288,0.0279,0.0264,0.0,0.141,0.15,127.951,349267.0,niemaGOtu,Niemagotu,p
17,3TLigAHoE3X4Mc7HDUg9YF,Azyl,https://i.scdn.co/image/ab67616d00001e029f29a5163b0396c126a08506,https://p.scdn.co/mp3-preview/5f7cf874a7c7f9515915877f33db50dcb0faf79a?cid=774b29d4f13844c495f206cafdad9c86,0.739,0.718,-9.851,0.284,0.553,3.95e-06,0.394,0.488,92.988,237093.0,Te-Tris,Definitywnie,p
18,58zsLZPvfflaiIbNWoA22O,Human,https://i.scdn.co/image/ab67616d00001e0290a788beadaad34ff684d3ec,https://p.scdn.co/mp3-preview/986d03f0f255aba008564dc6364d8ffc17e46704?cid=774b29d4f13844c495f206cafdad9c86,0.602,0.707,-4.097,0.302,0.393,0.0,0.165,0.554,75.09,200187.0,Rag'n'Bone Man,Human (Deluxe),p
19,5QacOOW2ekKn2SYA40cU9Z,Jeszcze Cię Nie Ma,https://i.scdn.co/image/ab67616d00001e02e32295c3b09ad7d007b6c8b8,,0.466,0.587,-5.963,0.0297,0.0204,0.000199,0.0594,0.131,118.066,212440.0,Tulia,Tulia (Deluxe Edition),p
20,0FFE2DikaxDVp00SvqtTK8,Amen,https://i.scdn.co/image/ab67616d00001e0279defd04d1d8d15a70816b08,https://p.scdn.co/mp3-preview/a372cb89253a15f4ba8c83c8b67349cd1a2ba8eb?cid=774b29d4f13844c495f206cafdad9c86,0.547,0.615,-6.412,0.037,0.00964,0.0,0.392,0.215,145.941,214653.0,niemaGOtu,Niemagotu,p
21,563kwyNq7CvrcKxzspplrk,Nic więcej,https://i.scdn.co/image/ab67616d00001e026105bf671731aa08830e9a86,https://p.scdn.co/mp3-preview/94b5b92e08b36e65de2d807c6c83cef9a5c38b07?cid=774b29d4f13844c495f206cafdad9c86,0.666,0.505,-11.239,0.0288,0.921,0.156,0.109,0.478,117.908,245420.0,Kwiat Jabłoni,Niemożliwe,p
22,1sRuPSzUEaVav1RBx6Taa2,Zanim Zaczął Się Czas,https://i.scdn.co/image/ab67616d00001e024545962743e846a8095743f0,https://p.scdn.co/mp3-preview/91c87c28f10d69ec7fec985afefe8ef9fca0f04c?cid=774b29d4f13844c495f206cafdad9c86,0.612,0.58,-8.866,0.0352,0.118,7.36e-05,0.163,0.138,90.041,216667.0,Małpa,Blur,p
23,0g2llNPB73H0rRpNa88j5B,To ja a nie inna,https://i.scdn.co/image/ab67616d00001e02e8426ba765e1024a155949bf,,0.784,0.439,-6.606,0.0422,0.622,6.31e-06,0.143,0.246,119.997,191839.0,sanah,Królowa dram,p
24,4O9BxgasefRsbXelSNUmS7,Skandalej,https://i.scdn.co/image/ab67616d00001e029f29a5163b0396c126a08506,https://p.scdn.co/mp3-preview/f2d4127889b5c87df1b9aeb603f2504864cae320?cid=774b29d4f13844c495f206cafdad9c86,0.546,0.812,-6.422,0.27,0.0365,0.0,0.3,0.707,80.025,186960.0,Te-Tris,Definitywnie,p
