"","x"
"1","Selphius"
"2","Daria Zawia這w"
"3","TheFatRat"
"4","DREAMCATCHER"
"5","Lucian"
"6","Lindsey Stirling"
"7","The Tech Thieves"
"8","Caravan Palace"
"9","Taco Hemingway"
"10","Beltaine"
"11","Elderbrook"
"12","Besomorph"
"13","Lucky Luke"
"14","Jeff Williams"
"15","Sarsa"
"16","Mata"
"17","Nippandab"
"18","Sabaton"
"19","Mystery Skulls"
"20","Roksana W璕iel"
"21","Lao Che"
"22","Grimes"
"23","League of Legends"
"24","Ellis"
"25","BLACKPINK"
"26","MELVV"
"27","Mothica"
"28","Mery Spolsky"
"29","8 Graves"
"30","Xxanaxx"
"31","XYLO"
"32","Amaranthe"
"33","The Dumplings"
"34","LEA"
"35","Unlike Pluto"
"36","Lastlings"
"37","Jacek Stachursky"
"38","M瘰kie Granie Orkiestra 2018"
"39","grandson"
"40","Glass Animals"
"41","Dawid Podsiad這"
"42","Rammstein"
"43","schafter"
"44","AViVA"
"45","Halsey"
"46","Gianni Blu"
"47","EGOIST"
"48","K/DA"
"49","AmaLee"
"50","Linia Nocna"
"51","Mata"
"52","Ben E. King"
"53","Karolina Czarnecka"
"54","Taco Hemingway"
"55","COIN"
"56","Dawid Podsiad這"
"57","Alexandra Burke"
"58","Daria Zawia這w"
"59","schafter"
"60","Jan-Rapowanie"
"61","Ed Sheeran"
"62","White 2115"
"63","Bitamina"
"64","Boney M."
"65","Quebonafide"
"66","The Weeknd"
"67","sanah"
"68","Bastille"
"69","Malik Montana"
"70","Sam Smith"
"71","PRO8L3M"
"72","Tymek"
"73","Billie Eilish"
"74","M瘰kie Granie Orkiestra 2018"
"75","Green Day"
"76","Bedoes"
"77","Imagine Dragons"
"78","TACONAFIDE"
"79","Dua Lipa"
"80","PlanBe"
"81","Kwiat Jab這ni"
"82","Post Malone"
"83","James Bay"
"84","Miley Cyrus"
"85","Shawn Mendes"
"86","Maroon 5"
"87","BARANOVSKI"
"88","Milky Chance"
"89","The Dumplings"
"90","Gromee"
"91","Viki Gabor"
"92","Capital Cities"
"93","Ariana Grande"
"94","TOTO"
"95","Gedz"
"96","Saint Motel"
"97","Bea Miller"
"98","Young Igi"
"99","Lanberry"
"100","chillwagon"
"101","Imagine Dragons"
"102","Taco Hemingway"
"103","Karolina Czarnecka"
"104","Lady Gaga"
"105","Nosowska"
"106","Sia"
"107","Mery Spolsky"
"108","Quebonafide"
"109","P!nk"
"110","Miley Cyrus"
"111","Billie Eilish"
"112","Twenty One Pilots"
"113","Lana Del Rey"
"114","Imany"
"115","TACONAFIDE"
"116","Ed Sheeran"
"117","Rosalie."
"118","Dawid Podsiad這"
"119","Panic! At The Disco"
"120","AURORA"
"121","Dua Lipa"
"122","Kasia Lins"
"123","Macklemore"
"124","Ofelia"
"125","Brodka"
"126","Avicii"
"127","sanah"
"128","OneRepublic"
"129","Natalia Nykiel"
"130","Ralph Kaminski"
"131","Krzysztof Zalewski"
"132","Kwiat Jab這ni"
"133","ROSAL泝"
"134","Coldplay"
"135","Bedoes"
"136","Mata"
"137","Thirty Seconds To Mars"
"138","Doda"
"139","Perfect"
"140","Natalia Przybysz"
"141","Ariana Grande"
"142","Piotr Rubik"
"143","Sylwia Grzeszczak"
"144","Calvin Harris"
"145","Margaret"
"146","Drake"
"147","The Dumplings"
"148","Halsey"
"149","Otsochodzi"
"150","Natalia Kukulska"
