"","allGenresPatryk","Freq"
"30","polish pop",19
"25","polish alternative",15
"33","pop",14
"9","dance pop",10
"34","pop dance",7
"28","polish hip hop",6
"29","polish indie",5
"32","polish trap",5
"19","modern rock",4
"39","post-teen pop",4
"43","rock",3
"1","art pop",2
"10","edm",2
"12","electropop",2
"36","pop rap",2
"48","uk pop",2
"2","australian dance",1
"3","australian pop",1
"4","baroque pop",1
"5","big room",1
"6","canadian hip hop",1
"7","canadian pop",1
"8","classic polish pop",1
"11","electro house",1
"13","emo",1
"14","etherpop",1
"15","french indie pop",1
"16","hip hop",1
"17","house",1
"18","indie poptimism",1
"20","neo mellow",1
"21","norwegian pop",1
"22","permanent wave",1
"23","piano rock",1
"24","poezja spiewana",1
"26","polish alternative rock",1
"27","polish electronica",1
"31","polish rock",1
"35","pop punk",1
"37","pop rock",1
"38","post-grunge",1
"40","progressive house",1
"41","r&b en espanol",1
"42","rap",1
"44","seattle hip hop",1
"45","talent show",1
"46","toronto rap",1
"47","uk dance",1
"49","uwielbienie",1
