"","Selphius","Daria Zawia³ow","TheFatRat","DREAMCATCHER","Lucian","Lindsey Stirling","The Tech Thieves","Caravan Palace","Taco Hemingway","Beltaine","Elderbrook","Besomorph","Lucky Luke","Jeff Williams","Sarsa","Mata","Nippandab","Sabaton","Mystery Skulls","Roksana Wêgiel","Lao Che","Grimes","League of Legends","Ellis","BLACKPINK","MELVV","Mothica","Mery Spolsky","8 Graves","Xxanaxx","XYLO","Amaranthe","The Dumplings","LEA","Unlike Pluto","Lastlings","Jacek Stachursky","Mêskie Granie Orkiestra 2018","grandson","Glass Animals","Dawid Podsiad³o","Rammstein","schafter","AViVA","Halsey","Gianni Blu","EGOIST","K/DA","AmaLee","Linia Nocna","Mata","Ben E. King","Karolina Czarnecka","Taco Hemingway","COIN","Dawid Podsiad³o","Alexandra Burke","Daria Zawia³ow","schafter","Jan-Rapowanie","Ed Sheeran","White 2115","Bitamina","Boney M.","Quebonafide","The Weeknd","sanah","Bastille","Malik Montana","Sam Smith","PRO8L3M","Tymek","Billie Eilish","Mêskie Granie Orkiestra 2018","Green Day","Bedoes","Imagine Dragons","TACONAFIDE","Dua Lipa","PlanBe","Kwiat Jab³oni","Post Malone","James Bay","Miley Cyrus","Shawn Mendes","Maroon 5","BARANOVSKI","Milky Chance","The Dumplings","Gromee","Viki Gabor","Capital Cities","Ariana Grande","TOTO","Gedz","Saint Motel","Bea Miller","Young Igi","Lanberry","chillwagon","Imagine Dragons","Taco Hemingway","Karolina Czarnecka","Lady Gaga","Nosowska","Sia","Mery Spolsky","Quebonafide","P!nk","Miley Cyrus","Billie Eilish","Twenty One Pilots","Lana Del Rey","Imany","TACONAFIDE","Ed Sheeran","Rosalie.","Dawid Podsiad³o","Panic! At The Disco","AURORA","Dua Lipa","Kasia Lins","Macklemore","Ofelia","Brodka","Avicii","sanah","OneRepublic","Natalia Nykiel","Ralph Kaminski","Krzysztof Zalewski","Kwiat Jab³oni","ROSALÍA","Coldplay","Bedoes","Mata","Thirty Seconds To Mars","Doda","Perfect","Natalia Przybysz","Ariana Grande","Piotr Rubik","Sylwia Grzeszczak","Calvin Harris","Margaret","Drake","The Dumplings","Halsey","Otsochodzi","Natalia Kukulska"
"11","Shiki-TMNS","Mery Spolsky","F-777","WJSN","MELVV","Eurielle","XYLO","Swingrowers","PRO8L3M","Corvus Corax","Chris Malinchak","Inova","Miscris","Ashley Johnson","Ewelina Lisowska","White 2115","Nevatrash","Dream Evil","FAKE TYPE.","Sylwia Przybysz","Lech Janerka","Warpaint","Rival","Mazare","Weki Meki","Kasbo","Elohim","Bitamina","The Unlikely Candidates","Rysy","Lostboycrow","Epica","Sonbird","Max Giesinger","Besomorph","Set Mo","Jorrgus","Kortez","Des Rocs","Sir Sly","Fisz Emade Tworzywo","Deathstars","Deemz","8 Graves","Hayley Kiyoko","Kyle Meehan","SawanoHiroyuki[nZk]","Weki Meki","Miura Jam","Rysy","White 2115","Jerry Butler","BOKKA","PRO8L3M","Coast Modern","Fisz Emade Tworzywo","Tulisa","Mery Spolsky","Deemz","Kuban","Alessia Cara","Smolasty","BOKKA","Sandra","Taco Hemingway","Jeremih","Ralph Kaminski","Noah Kahan","Otsochodzi","Ellie Goulding","Kaz Ba³agane","Young Igi","FINNEAS","Kortez","Yellowcard","Jan-Rapowanie","Of Monsters and Men","Young Multi","DNCE","Smolasty","Krzysztof Zalewski","Bazzi","Vance Joy","Hilary Duff","Selena Gomez","Jonas Brothers","Pawe³ Domaga³a","The Kooks","Sonbird","Jula","Kamil Bednarek","Electric Guest","Bea Miller","Don Henley","Na pó³ etatu","WALK THE MOON","Jack & Jack","Jan-Rapowanie","Ania Karwan","Beteo","Of Monsters and Men","PRO8L3M","BOKKA","Sia","Lao Che","Birdy","Bitamina","Taco Hemingway","The Veronicas","Hilary Duff","FINNEAS","The Neighbourhood","Tove Lo","Ben Mazué","Young Multi","Alessia Cara","Ten Typ Mes","Fisz Emade Tworzywo","The Maine","Gabrielle","DNCE","Julia Wieniawa","Bryce Vine","Vito Bambino","Edyta Bartosiewicz","Jonas Blue","Ralph Kaminski","Plain White T's","Linia Nocna","Julia Pietrucha","Natalia Przybysz","Krzysztof Zalewski","Lele Pons","Vance Joy","Jan-Rapowanie","White 2115",NA,"Sylwia Grzeszczak","Kombi","SKUBAS","Bea Miller","Kasia Cerekwicka","£zy","Jack Ü","Norma Sheffield","Tory Lanez","Sonbird","Hayley Kiyoko","Kaz Ba³agane","Goya"
"12","Jeaw","Pawe³ Domaga³a","Arc North","VIXX","Jinco","Marcus Warner","Mickey Valen","Annella","Deys","Hedningarna","Kidnap","Arrested Youth","OSVISS","AmaLee","BARANOVSKI","Trill Pem","Sunlike Brothers","Falconer","Moe Shop","Ma³e TGD","Kazik Na ¯ywo","Azealia Banks","2WEI","Julian Calor","LeeHi","StayLoose","EZI","Piotr Ziola","Barns Courtney","Julia Wieniawa","Au/Ra","Visions of Atlantis","Julia Pietrucha","Katja Krasavice","AViVA","Eves Karydas","C-BooL","Dawid Podsiad³o","Cemetery Sun","Crooked Colours","Sonbird","Dope","Beteo","Adam Jensen","Selena Gomez","Robin Tayger","Rei Yasuda","Hyolyn","Selphius","Fisz Emade Tworzywo","Trill Pem","Sam & Dave","Paulina Przybysz","Deys","HUNNY","Sonbird","Shontelle","Pawe³ Domaga³a","Beteo","White 2115","Lewis Capaldi","Adi Nowak","Bovska","Shakin' Stevens","Jan-Rapowanie","Tyler, The Creator","Cleo","Smallpools","Sarius","JP Cooper","Sarius","Reto","Bazzi","Dawid Podsiad³o","My Chemical Romance","BLACHA","Train","Quebonafide","Halsey","Otsochodzi","Kortez","Young Thug","Gabrielle Aplin","Britney Spears","Justin Bieber","Olly Murs","Bitamina","Giant Rooks","Julia Pietrucha","Ewelina Lisowska","Roxie","The Royal Concept","Chloe x Halle","Survivor","Jezozwierz","COIN","Carlie Hanson","Sir Mich","Margaret","Kubi Producent","Train","Deys","Paulina Przybysz","Demi Lovato","Julia Marcell","Rita Ora","Piotr Ziola","Jan-Rapowanie","The Saturdays","Britney Spears","Bazzi","Foster The People","Florence + The Machine","Cats On Trees","Quebonafide","Lewis Capaldi","Clock Machine","Sonbird","Boys Like Girls","Zella Day","Halsey","Kortez","Hilltop Hoods","Mela Koteluk","Reni Jusis","Lucas & Steve","Cleo","Andy Grammer","Ewelina Lisowska","Patrick the Pan","Anita Lipnicka","Kortez","Gianluca","James Bay","BLACHA","Trill Pem",NA,"Natalia Kukulska","Czes³aw Niemen","Fisz Emade Tworzywo","Chloe x Halle","£ukasz Zagrobelny","Kombii","Loud Luxury","Vicky Vale","Bryson Tiller","Julia Pietrucha","Selena Gomez","Sarius","Varius Manx"
"13","Lizz Robinett","Xxanaxx","Desmeon","HyunA","Whethan","Thomas Bergersen","Far Out","The Electric Swing Circus","Kuban","Blackmore's Night","Michael Calfan","Neovaii","Yarimov","Sapphire","Ania Wyszkoni","Bedoes","RushLow","Edguy","Crusher-P","Sylwia Grzeszczak","Myslovitz","FKA twigs","Elgate feat. Spektrem","Sabai","LOO<U+03A0><U+0394> / ODD EYE CIRCLE","Jerry Folk","Abigail Barlow","Organek","Des Rocs","Linia Nocna","Ella Vos","Machinae Supremacy","Patrick the Pan","Namika","Veorra","Kllo","Feel","Domowe Melodie","Foreign Air","Whethan","BARANOVSKI","Serj Tankian","Olszakumpel","Neovaii","Lorde","Nicolas Haelg","<U+3044><U+3068><U+3046><U+304B><U+306A><U+3053>","PRISTIN V","FalKKonE","Bitamina","Bedoes","The Marvelettes","Nosowska","Kuban","The Band CAMINO","BARANOVSKI","Will Young","Xxanaxx","Olszakumpel","Young Multi","James Bay","Deemz","Coals","Eruption","Kaz Ba³agane","Trey Songz","Dawid Podsiad³o","The Wombats","Deys","Niall Horan","Guzior","Otsochodzi","Tate McRae","Domowe Melodie","New Found Glory","Malik Montana","Neon Trees","Sir Mich","Anne-Marie","Wac Toja","Happysad","A$AP Ferg","Dean Lewis","Jessie J","Demi Lovato","Nick Jonas","Ralph Kaminski","NoMBe","Patrick the Pan","Video","Natalia Szroeder","Goldroom","Little Mix","Christopher Cross","Wac Toja","Young the Giant","FLETCHER","Smolasty","Ewelina Lisowska","Reto","Neon Trees","Kuban","Nosowska","Selena Gomez","Brodka","Fifth Harmony","Organek","Kaz Ba³agane","Adam Lambert","Jessie J","Tate McRae","Waterparks","BANKS","Kimberose","Sir Mich","James Bay","Holak","BARANOVSKI","3OH!3","Fay Wildhagen","Anne-Marie","Fismoll","Kid Quill","Natalia Przybysz","Agnieszka Chylinska","Don Diablo","Dawid Podsiad³o","Snow Patrol","Karolina Czarnecka","Dawid Podsiad³o","Daria Zawia³ow","Happysad","Yung Beef","The Script","Malik Montana","Bedoes",NA,"Mandaryna","Czerwone Gitary","Maja Kleszcz","Little Mix","Sumptuastic","Verba","Kygo","Lisa Johnson","Young Thug","Patrick the Pan","Lorde","Sir Mich","Anita Lipnicka"
"14","Lollia","Domowe Melodie","Panda Eyes","HA:TFELT","Louis Futon","Bond","Not Your Dope","C2C","Jan-Rapowanie","The Moon & The Nightspirit","Shallou","Skan","Lorcan X Jamie","Aviators","Margaret","Solar","nya","Avantasia","Battle Tapes","My3","Pudelsi","Sleigh Bells","Tommee Profitt","Direct","CLC","More Giraffes","Royal & the Serpent","Kortez","Oh The Larceny","Sonbird","Emily Vaughn","Gloryhammer","BOWNIK","Pietro Lombardi","TeZATalks","Wafia","Top One","Bitamina","UNSECRET","Saint Motel","Pawe³ Domaga³a","Fear Factory","Zeamsone","Nico Collins","Ellie Goulding","DLMT","yanaginagi","BLACKPINK","Tsuko G.","Ralph Kaminski","Solar","The Impressions","Maria Peszek","Jan-Rapowanie","Sure Sure","Pawe³ Domaga³a","Rachel Stevens","Domowe Melodie","Zeamsone","Quebonafide","DNCE","Otsochodzi","Julia Pietrucha","Pussycat","Kartky","Kendrick Lamar","Sobel","Grizfolk","Deemz","Julia Michaels","Malik Montana","Sobel","Conan Gray","Bitamina","+44","Oki","The Score","Rasmentalism","Demi Lovato","Filipek","Organek","Desiigner","Maisie Peters","Nick Jonas","Julia Michaels","Jessie J","Lanberry","Broken Back","BOWNIK","Feel","Edyta Gorniak","Miike Snow","Miley Cyrus","Starship","Sarius","Hippo Campus","Tate McRae","Deemz","BARANOVSKI","Favst","The Score","Jan-Rapowanie","Maria Peszek","Britney Spears","Pustki","Clean Bandit","Kortez","Kartky","Kesha","Nick Jonas","Conan Gray","Set It Off","The Neighbourhood","Vanessa Paradis","Rasmentalism","DNCE","Miêtha","Pawe³ Domaga³a","Marianas Trench","Cezinando","Demi Lovato","Mery Spolsky","Blue Scholars","Rosalie.","Edyta Gorniak","John De Sohn","Sobel","Imagine Dragons","Sylwia Grzeszczak","Xxanaxx","Edyta Bartosiewicz","Organek","Maikel Delacalle","American Authors","Oki","Solar",NA,"Agnieszka Chylinska","Big Cyc","BOKKA","Miley Cyrus","Pectus","Edyta Gorniak","Alesso","Delta Queens","Tyga","BOWNIK","Ellie Goulding","Quebonafide","Virgin"
"15","Kyoresu","BOKKA","NIVIRO","BVNDIT","MOONZz","William Joseph","Veorra","Jamie Berry","Sir Mich","Garmarna","Sons Of Maria","Unknown Brain","Ilkay Sencan","NateWantsToBattle","Jula","Olszakumpel","Ricii Lompeurs","Freedom Call","Ghost and Pals","Lanberry","£¹ki £an","Blood Orange","Cartoon","REAPER","EXID","EMBRZ","Jaira Burns","BOKKA","Stephen","Fisz Emade Tworzywo","Kiiara","Beast In Black","Mêskie Granie Orkiestra 2018","Johannes Oerding","KUURO","Mansionair","Power Play","SMOLIK / KEV FOX","Weathers","Hippo Campus","Artur Rojek","In Extremo","PlanBe","Jordan Clarke","Olivia O'Brien","THE NEW CVLTVRE","Cö Shu Nie","KATIE","FamilyJules","Flirtini","Olszakumpel","Solomon Burke","BOWNIK","Sir Mich","MisterWives","Artur Rojek","Fleur East","BOKKA","PlanBe","Young Igi","Camila Cabello","Kartky","Fisz Emade Tworzywo","Gloria Gaynor","Kuban","Kid Cudi","Ania Dabrowska","The Hunna","Adi Nowak","ZAYN","Arab","Kubi Producent","gnash","SMOLIK / KEV FOX","Jimmy Eat World","Beteo","Macklemore & Ryan Lewis","Young Igi","Mabel","Szopeen","Natalia Przybysz","Jaden","Juke Ross","Aly & AJ","PRETTYMUCH","MKTO","Organek","Chet Faker","Mêskie Granie Orkiestra 2018","Mateusz Mijal","Sylwia Grzeszczak","Two Door Cinema Club","Halsey","Heart","HuczuHucz","Fitz and The Tantrums","bülow","Sarius","Sylwia Grzeszczak","DMN","Macklemore & Ryan Lewis","Sir Mich","BOWNIK","The Pussycat Dolls","Swietliki","Labrinth","BOKKA","Kuban","Hilary Duff","Aly & AJ","gnash","AJR","Rina Sawayama","Izia","Young Igi","Camila Cabello","Bass Astral x Igo","Artur Rojek","Gerard Way","Kalandra","Mabel","Coals","Jon Bellion","The Dumplings","Kasia Cerekwicka","Martin Jensen","Ania Dabrowska","Mat Kearney","Xxanaxx","Mery Spolsky","Coma","Natalia Przybysz","Lola Indigo","Snow Patrol","Beteo","Olszakumpel",NA,"Paulla","Yugopolis","Daria Zawia³ow","Halsey","Bajm","Gosia Andrzejewicz","Felix Jaehn","Donna","Miguel","Mêskie Granie Orkiestra 2018","Olivia O'Brien","Taco Hemingway","Andrzej Piaseczny"
"16","Heiakim","Mêskie Granie Orkiestra 2018","Goblins from Mars","NATURE","Mickey Valen","Icon For Hire","Omri","11 Acorn Lane","Zeamsone","Adam Skorupa","GAMPER & DADONI","Unlike Pluto","Vincent Vega","FalKKonE","Roksana Wêgiel","Reto","KEAN DYSSO","Manowar","Funk Fiction","Marcin Maciejczak","Raz Dwa Trzy","Sky Ferreira","Besomorph","Slippy","Girls' Generation","ilo ilo","Lauren Sanderson","Natalia Nykiel","Foreign Air","Kasia Lins","Jaira Burns","Within Temptation","Fisz Emade Tworzywo","Mark Forster","DROELOE","George Maple","Papa Dance","Natalia Przybysz","Zayde Wolf","STRFKR","Natalia Przybysz","In Flames","Kukon","Ellise","Hey Violet","Luxe Agoris","fripSide","fromis_9","Shayne Orok","Karolina Czarnecka","Reto","The Chiffons","The Dumplings","Zeamsone","Hippo Campus","Natalia Przybysz","Diana Vickers","Mêskie Granie Orkiestra 2018","Kukon","TACONAFIDE","Justin Bieber","Quebonafide","Patrick the Pan","Stars On 45","Zeamsone","Chris Brown","Sylwia Grzeszczak","Sea Girls","Kartky","Camila Cabello","Wac Toja","Favst","Cavetown","Natalia Przybysz","Box Car Racer","Otsochodzi","AJR","Wac Toja","ZAYN","Miyo","Sorry Boys","Bryce Vine","Calum Scott","Kelly Clarkson","The Vamps","The Wanted","The Dumplings","L'aupaire","Fisz Emade Tworzywo","Kalwi & Remi","Denis","WALK THE MOON","Selena Gomez & The Scene","Peter Cetera","Kaz Ba³agane","Colony House","Phoebe Ryan","Kaz Ba³agane","Gromee","SB Maffija","AJR","Zeamsone","The Dumplings","Avril Lavigne","Republika","Christina Perri","Natalia Nykiel","Zeamsone","Katy Perry","Kelly Clarkson","Cavetown","All Time Low","Kali Uchis","Julien Doré","Wac Toja","Justin Bieber","The Dumplings","Natalia Przybysz","You Me At Six","Daughter","ZAYN","Ralph Kaminski","X Ambassadors","Mikromusic","Mela Koteluk","Vigiland","Sylwia Grzeszczak","Five For Fighting","Jula","BOKKA","Mrozu","Sorry Boys","Princesa Alba","Years & Years","Otsochodzi","Reto",NA,"£zy","Dzem","Mêskie Granie Orkiestra 2018","Selena Gomez & The Scene","Ich Troje","Michal Szpak","Zedd","Niko","Ty Dolla $ign","Fisz Emade Tworzywo","Hey Violet","Young Igi","Ryszard Rynkowski"
"17","MYTH & ROID","Kasia Lins","OMFG","AleXa","Neovaii","Audiomachine","Echos","Klischée","Rasmentalism","Tartalo Music","Ben Böhmer","Arc North","BROHM","FamilyJules","Video","chillwagon","Lucas Wintz","Orden Ogan","Miracle Musical","Ala Tracz","El Dupa","Arca","Audiomachine","Half an Orange","Moon Byul","Griffin Stoller","EXES","Maria Peszek","The Man Who","Domowe Melodie","Zella Day","Bloodbound","Mery Spolsky","Stereoact","Taska Black","Vallis Alps","Kombii","Pawe³ Domaga³a","lovelytheband","slenderbodies","Mery Spolsky","Slipknot","Young Igi","Faith Marie","Demi Lovato","Pawl","Nana Mizuki","Red Velvet","Akano","The Dumplings","chillwagon","Martha Reeves & The Vandellas","Fisz Emade Tworzywo","Rasmentalism","THE WLDLFE","Mery Spolsky","Nadine Coyle","Kasia Lins","Young Igi","Sir Mich","Taylor Swift","Sarius","Dawid Podsiad³o","Middle Of The Road","KêKê","Wiz Khalifa","Kwiat Jab³oni","Neon Trees","Bonus RPK","Gavin James","Young Igi","Wiatr","Olivia O'Brien","Pawe³ Domaga³a","Goldfinger","chillwagon","Zayde Wolf","Jan-Rapowanie","Troye Sivan","Trill Pem","Brodka","Trippie Redd","JP Saxe","Fergie","5 Seconds of Summer","Jonas Blue","Kaœka Sochacka","The Jungle Giants","Mery Spolsky","Micha³ Szczygie³","sanah","Phoenix","Justin Bieber","Daryl Hall & John Oates","Ten Typ Mes","Coast Modern","Anna Clendening","Deys","Daria Zawia³ow","Young Igi","Zayde Wolf","Rasmentalism","Fisz Emade Tworzywo","Gwen Stefani","Raz Dwa Trzy","Troye Sivan","Maria Peszek","KêKê","Christina Perri","Fergie","Olivia O'Brien","MISSIO","Kim Petras","Flavia Coelho","Jan-Rapowanie","Taylor Swift","Gverilla","Mery Spolsky","Set It Off","Kristian Kristensen","Troye Sivan","Lor","B.o.B","Marcelina","Mrozu","Cash Cash","Kwiat Jab³oni","Keane","Ania Karwan","Bovska","Piotr Cugowski","Brodka","Don Patricio","X Ambassadors","chillwagon","chillwagon",NA,"Ich Troje","Marek Grechuta","Mela Koteluk","Justin Bieber","Verba","Kasia Kowalska","Robin Schulz","Susan Bell","Metro Boomin","Mery Spolsky","Demi Lovato","Young Multi","Mietek Szczesniak"
"18","Imoutosan","Linia Nocna","Janji","GWSN","Elohim","Miracle Of Sound","KLOUD","Wax Tailor","Quebonafide","Faun","Tep No","Nurko","Tamer Kaan","dj-Jo","Julia Wieniawa","Quebonafide","Morix","Elvenking","Bear Ghost","Carla Fernandes","Cool Kids Of Death","Tennis","TheFatRat","Jay Eskar","Hyolyn","Gill Chang","Cayley Spivey","Sorry Boys","Weathers","Kortez","Maty Noyes","Brothers of Metal","Kasia Lins","Silbermond","Mickey Valen","Northeast Party House","Baciary","Piotr Rogucki","Badflower","Magic City Hippies","Brodka","Korn","Wac Toja","Michaela Laws","Charlotte Lawrence","Viva La Panda","SawanoHiroyuki[nZk]:Aimer","HINAPIA","Divide Music","Patrick the Pan","Quebonafide","Sam Cooke","Natalia Przybysz","Quebonafide","Vista Kicks","Brodka","Cover Drive","Linia Nocna","Wac Toja","Taco Hemingway","Alex & Sierra","be vis","Natalia Przybysz","Hot Chocolate","White 2115","The-Dream","Kortez","Saint Raymond","PRO8L3M","Nick Jonas","Jan-Rapowanie","Sarius","Harry Styles","Piotr Rogucki","Rise Against","Kubi Producent","BANNERS","PRO8L3M","Madison Beer","Kartky","KARAŒ/ROGUCKI","benny blanco","Canyon City","Julia Michaels","Why Don't We","Colbie Caillat","Mrozu","Fynn Kliemann","Kasia Lins","Liber","Natalia Nykiel","Bag Raiders","Nicki Minaj","Little River Band","DJ Ike","Sir Sly","Pia Mia","Taco Hemingway","Edyta Gorniak","¯abson","BANNERS","Quebonafide","Natalia Przybysz","RuPaul","Sorry Boys","MARINA","Sorry Boys","White 2115","Olly Murs","Julia Michaels","Harry Styles","Cage The Elephant","King Princess","Soha","PRO8L3M","Alex & Sierra","Ofelia","Brodka","Palaye Royale","Pim Stones","Madison Beer","BOKKA","Luke Christopher","Meek, Oh Why?","Bajm","Steve Aoki","Kortez","WALK THE MOON","Margaret","Fismoll","Pawe³ Domaga³a","KARAŒ/ROGUCKI","Bea Pelea","Seafret","Kubi Producent","Quebonafide",NA,"Bajm","Sztywny Pal Azji","Sonbird","Nicki Minaj","Natalia Kukulska","Afromental","Axwell /\ Ingrosso","Alphatown","Lil Wayne","Kasia Lins","Charlotte Lawrence","KêKê","Brodka"
"19","AmaLee","BARANOVSKI","Ahrix","3YE","Party Pupils","Daniel Jang","Biometrix","Alice Francis","Kaz Ba³agane","Heather Dale","Monolink","Prismo","Linius","Caleb Hyles","Kasia Kowalska","Adi Nowak","LIUFO","Rhapsody Of Fire","GHOST DATA","Margaret","Lipali","Austra","League of Legends: Wild Rift","FWLR","WINNER","Jai Wolf","Zolita","Natalia Przybysz","JAXSON GAMBLE","Coals","EXES","Leaves' Eyes","Natalia Przybysz","Philipp Poisel","Egzod","Cassian","Bracia Figo Fagot","Julia Pietrucha","Stephen","Phantogram","Julia Pietrucha","Machine Head","Belmondo","Au/Ra","Bebe Rexha","MASKED","Haruka Tomatsu","MOMOLAND","PelleK","Natalia Nykiel","Adi Nowak","Four Tops","Bitamina","Kaz Ba³agane","The Happy Fits","Julia Pietrucha","Steps","BARANOVSKI","Belmondo","BLACHA","ZAYN","Reto","Mery Spolsky","Fancy","Malik Montana","Mike Posner","Ochman","Amber Run","Gedz","JP Saxe","Leh","Zeamsone","mxmtoon","Julia Pietrucha","Angels & Airwaves","schafter","Thirty Seconds To Mars","Malik Montana","Julia Michaels","B.R.O","Pawe³ Domaga³a","French Montana","Dermot Kennedy","Glee Cast","Louis Tomlinson","Zedd","Dawid Podsiad³o","Sean Koch","Natalia Przybysz","Edyta Gorniak","Pawe³ Domaga³a","Youngblood Hawke","Meghan Trainor","Rick Springfield","Jan-Rapowanie","The Happy Fits","Maty Noyes","TACONAFIDE","Ania Wyszkoni","Malik Montana","Thirty Seconds To Mars","Kaz Ba³agane","Bitamina","Selena Gomez & The Scene","Smolik","Kelly Clarkson","Natalia Przybysz","Malik Montana","Avril Lavigne","Glee Cast","mxmtoon","Jon Bellion","BORNS","Pauline Croze","Malik Montana","ZAYN","KRÓL","Julia Pietrucha","Cobra Starship","Orla Gartland","Julia Michaels","Sonbird","Chris Webby","Albo Inaczej","Sistars","R3HAB","Ochman","James Arthur","Edyta Gorniak","BOWNIK","The Dumplings","Pawe³ Domaga³a","Chocolate Remix","The Fray","schafter","Adi Nowak",NA,"Video","Kult","Xxanaxx","Meghan Trainor","Brathanki","Piotr Rubik","Matoma","Valentina","NAV","Natalia Przybysz","Bebe Rexha","Rasmentalism","Piotr Rubik"
"20","ShiroNeko","BOWNIK","Aero Chord","Cherry Bullet","Sinner's Heist","William Joseph & Lindsey Stirling","DNMO","Odd Chap","Young Multi","Logan Epic Canto","Nora Van Elken","Cadmium","Verbus","Dima Lancaster","Feel","Kukon","SENSE","Bloodbound","Tally Hall","Natalia Nykiel","Kult","yeule","Skan","Conor Ross","HyunA","Elohim","Crimson Apple","Artur Rojek","Zayde Wolf","SMOLIK / KEV FOX","Bahari","Soilwork","Mêskie Granie Orkiestra","Revolverheld","Inova","Willaris. K","Borys LBD","Artur Rojek","Arrested Youth","The Jungle Giants","Krzysztof Zalewski","Knorkator","SB Maffija","Fly By Nightcore","Maggie Lindemann","Alex Alexander","SawanoHiroyuki[nZk]:Tielle","CLC","MYTH & ROID","Sorry Boys","Kukon","The Miracles","Coals","Young Multi","joan","Krzysztof Zalewski","Liberty X","BOWNIK","SB Maffija","Holak","Meghan Trainor","Gedz","Kasia Lins","Donna Summer","Eripe","Theophilus London","Mery Spolsky","Gabrielle Aplin","Taco Hemingway","John Legend","Ma³pa","Jan-Rapowanie","MARINA","Artur Rojek","AFI","Zeamsone","Fall Out Boy","Kaz Ba³agane","Bebe Rexha","Szymi Szyms","Mêskie Granie Orkiestra 2020","G-Eazy","Ella Henderson","Katy Perry","Halsey","Katy Perry","Bovska","Lime Cordiale","Mêskie Granie Orkiestra","Long & Junior","Marcin Maciejczak","Technicolor Fabrics","Shawn Mendes","Asia","Tusz Na Rêkach","Moon Taxi","Fifth Harmony","Quebonafide","Jula","Zeamsone","Fall Out Boy","Young Multi","Coals","Allie X","Maciej Maleñczuk","Lily Allen","Artur Rojek","Eripe","Cher Lloyd","Katy Perry","MARINA","YUNGBLUD","Zella Day","Yael Naim","Kaz Ba³agane","Meghan Trainor","Têskno","Krzysztof Zalewski","Waterparks","Eivor","Bebe Rexha","Linia Nocna","mike.","Patrick the Pan","Myslovitz","Sigala","Mery Spolsky","Daughtry","Ania Dabrowska","Natalia Przybysz","Myslovitz","Mêskie Granie Orkiestra 2020","Talisto","Sleeping At Last","Zeamsone","Kukon",NA,"Verba","Strachy Na Lachy","SMOLIK / KEV FOX","Shawn Mendes","Edyta Gorniak","Ewelina Lisowska","Major Lazer","Max Coveri","Kendrick Lamar","Mêskie Granie Orkiestra","Maggie Lindemann","Holak","£zy"
