"Country","X5thPercentile","X10thPercentile","X25thPercentile","X50thPercentile","X75thPercentile","X90thPercentile","X95thPercentile","mean_girls","mean_boys"
"Australia","365","397","449","507","563","610","637","504","506"
"Bahrain","324","352","399","453","507","557","588","462","446"
"Botswana","245","278","337","395","449","496","523","400","381"
"Canada","406","434","482","531","576","613","635","525","530"
"Chile","297","323","372","427","482","531","560","418","436"
"Chinese Taipei","419","459","539","612","669","714","739","599","599"
"Egypt","229","265","322","393","463","521","553","397","387"
"England","389","414","460","517","577","624","649","520","517"
"Georgia","297","331","390","456","520","570","596","454","453"
"Hong Kong SAR","448","489","550","602","647","686","710","591","597"
"Hungary","355","390","452","518","582","632","660","510","519"
"Iran, Islamic Rep. of","286","316","369","434","501","560","594","438","435"
"Ireland","392","426","478","530","574","612","634","521","526"
"Israel","332","371","441","518","586","637","664","510","512"
"Italy","365","397","445","498","547","588","612","491","498"
"Japan","434","470","529","589","647","699","729","588","585"
"Jordan","228","263","321","387","452","505","535","395","376"
"Kazakhstan","373","404","463","530","593","645","677","531","525"
"Korea, Rep. of","455","491","551","611","665","711","738","605","606"
"Kuwait","247","279","330","389","452","512","550","396","389"
"Lebanon","319","345","390","443","497","539","565","441","444"
"Lithuania","379","409","458","515","568","608","632","510","513"
"Malaysia","326","353","402","464","528","580","609","470","461"
"Malta","330","370","436","504","558","601","623","495","492"
"Morocco","257","284","329","381","438","492","522","385","384"
"New Zealand","345","378","433","494","555","605","633","494","491"
"Norway","392","420","465","515","560","600","622","511","512"
"Oman","241","278","339","405","470","527","557","420","388"
"Qatar","272","305","363","436","509","572","607","440","434"
"Russian Federation","399","429","483","542","594","641","669","533","543"
"Saudi Arabia","230","261","309","364","425","480","514","375","360"
"Singapore","462","505","572","633","680","715","735","626","616"
"Slovenia","400","425","470","518","564","605","629","515","518"
"South Africa","242","267","311","364","426","491","529","376","369"
"Sweden","378","406","452","504","553","590","613","497","504"
"Thailand","296","322","369","425","486","549","590","440","422"
"Turkey","289","324","385","454","531","599","634","461","455"
"United Arab Emirates","303","336","395","466","535","591","623","471","459"
"United States","378","408","461","521","577","624","651","517","519"
