"Country","X5thPercentile","X10thPercentile","X25thPercentile","X50thPercentile","X75thPercentile","X90thPercentile","X95thPercentile","mean_girls","mean_boys"
"Armenia","273","309","373","441","506","557","585","446","428"
"Australia","381","412","463","519","575","628","658","511","527"
"Bahrain","275","313","384","460","525","579","610","482","423"
"Chile","341","367","410","461","511","557","583","454","470"
"Chinese Taipei","415","452","510","571","623","665","689","564","564"
"England","385","419","477","538","594","639","664","534","532"
"Finland","444","470","509","555","597","634","656","555","550"
"Georgia","258","296","363","429","483","528","555","425","415"
"Ghana","121","159","226","306","388","452","488","290","320"
"Hong Kong SAR","398","434","492","544","587","622","643","536","534"
"Hungary","376","412","475","530","579","621","645","513","531"
"Indonesia","272","303","353","408","461","505","530","409","402"
"Iran, Islamic Rep. of","325","357","412","476","537","590","621","477","472"
"Israel","347","386","456","524","582","630","656","519","512"
"Italy","369","400","452","505","554","594","618","493","508"
"Japan","422","458","511","563","610","649","674","554","562"
"Jordan","258","307","388","463","522","568","595","471","428"
"Kazakhstan","358","386","435","493","546","590","616","492","488"
"Korea, Rep. of","425","459","510","564","614","656","681","558","563"
"Lebanon","243","276","337","409","475","532","562","404","408"
"Lithuania","383","413","464","518","567","607","632","518","510"
"Macedonia, Rep. of","214","256","327","411","492","552","586","417","399"
"Malaysia","250","288","358","432","499","553","584","434","419"
"Morocco","235","266","317","376","435","488","518","378","374"
"New Zealand","365","399","455","515","572","621","647","501","522"
"Norway","368","399","447","499","544","584","609","495","494"
"Oman","225","268","343","429","502","556","586","458","380"
"Palestinian Nat’l Auth.","237","278","351","426","497","551","580","434","406"
"Qatar","212","255","334","426","507","571","606","432","406"
"Romania","316","351","408","468","523","572","601","466","464"
"Russian Federation","410","442","493","547","596","638","661","539","546"
"Saudi Arabia","295","328","382","439","494","541","567","450","424"
"Singapore","409","453","530","602","660","705","730","589","591"
"Slovenia","412","444","494","547","595","637","661","541","545"
"Sweden","368","403","458","515","566","608","633","511","508"
"Syrian Arab Republic","282","315","369","430","487","533","558","424","429"
"Thailand","317","346","397","453","504","551","581","458","443"
"Tunisia","329","352","393","438","484","526","550","431","447"
"Turkey","312","349","413","485","554","614","648","491","475"
"Ukraine","356","390","448","506","559","603","630","499","503"
"United Arab Emirates","299","335","399","468","532","587","619","477","452"
"United States","384","416","470","529","582","625","651","519","530"
