"Country","X5thPercentile","X25thPercentile","X50thPercentile","X75thPercentile","X95thPercentile","mean_girls","mean_boys"
"Singapore","439","557",608,"669","731","604","611"
"Chinese Taipei","426","522",574,"634","698","572","576"
"Japan","444","523",570,"620","681","565","575"
"Korea, Rep. of","415","509",561,"617","694","555","566"
"Russian Federation","415","494",543,"595","661","539","546"
"Finland","388","490",542,"602","673","552","533"
"Lithuania","402","483",534,"588","656","535","533"
"Hungary","388","476",530,"586","659","520","540"
"Australia","373","473",528,"589","663","529","528"
"Ireland","376","470",523,"582","649","526","521"
"United States","345","458",522,"594","670","525","520"
"Sweden","349","462",522,"588","664","527","516"
"Portugal","398","470",518,"569","636","516","522"
"England","356","458",516,"580","659","518","515"
"Turkey","351","449",516,"585","669","520","510"
"Israel","343","450",514,"582","661","512","515"
"Hong Kong SAR","337","440",504,"571","651","505","503"
"Italy","373","453",500,"551","619","497","504"
"New Zealand","336","440",499,"563","643","497","500"
"Norway","340","439",496,"558","632","495","496"
"France","355","436",488,"543","609","487","490"
"Bahrain","308","416",486,"561","641","512","461"
"Cyprus","335","429",484,"543","612","491","476"
"Kazakhstan","336","422",478,"535","620","483","474"
"Qatar","301","405",474,"549","637","488","461"
"United Arab Emirates","247","388",473,"566","660","486","461"
"Romania","313","410",470,"533","618","475","465"
"Chile","331","409",462,"517","586","457","468"
"Malaysia","292","395",460,"529","608","463","458"
"Oman","272","387",458,"534","615","485","431"
"Jordan","277","390",452,"522","598","480","427"
"Iran, Islamic Rep. of","299","391",449,"510","594","459","441"
"Georgia","302","392",446,"506","577","447","446"
"Kuwait","276","377",444,"515","600","461","426"
"Saudi Arabia","280","371",432,"494","572","455","408"
"Morocco","251","337",394,"453","531","395","393"
"Egypt","192","314",390,"472","558","402","374"
"Lebanon","213","301",377,"451","550","379","374"
"South Africa","211","298",370,"435","552","376","364"
