"Country","X5thPercentile","X10thPercentile","X25thPercentile","X50thPercentile","X75thPercentile","X90thPercentile","X95thPercentile","mean_girls","mean_boys"
"Australia","365","397","449","507","563","610","637","510","515"
"Bahrain","324","352","399","453","507","557","588","492","442"
"Botswana","245","278","337","395","449","496","523","403","381"
"Canada","406","434","482","531","576","613","635","524","529"
"Chile","297","323","372","427","482","531","560","448","460"
"Chinese Taipei","419","459","539","612","669","714","739","568","571"
"Egypt","229","265","322","393","463","521","553","377","364"
"England","389","414","460","517","577","624","649","537","536"
"Georgia","297","331","390","456","520","570","596","444","443"
"Hong Kong SAR","448","489","550","602","647","686","710","540","551"
"Hungary","355","390","452","518","582","632","660","519","535"
"Iran, Islamic Rep. of","286","316","369","434","501","560","594","459","454"
"Ireland","392","426","478","530","574","612","634","531","529"
"Israel","332","371","441","518","586","637","664","510","504"
"Italy","365","397","445","498","547","588","612","494","504"
"Japan","434","470","529","589","647","699","729","571","570"
"Jordan","228","263","321","387","452","505","535","447","405"
"Kazakhstan","373","404","463","530","593","645","677","536","530"
"Korea, Rep. of","455","491","551","611","665","711","738","554","557"
"Kuwait","247","279","330","389","452","512","550","434","387"
"Lebanon","319","345","390","443","497","539","565","403","393"
"Lithuania","379","409","458","515","568","608","632","520","519"
"Malaysia","326","353","402","464","528","580","609","476","466"
"Malta","330","370","436","504","558","601","623","485","477"
"Morocco","257","284","329","381","438","492","522","397","390"
"New Zealand","345","378","433","494","555","605","633","513","512"
"Norway","392","420","465","515","560","600","622","507","511"
"Oman","241","278","339","405","470","527","557","478","433"
"Qatar","272","305","363","436","509","572","607","471","441"
"Russian Federation","399","429","483","542","594","641","669","542","546"
"Saudi Arabia","230","261","309","364","425","480","514","423","368"
"Singapore","462","505","572","633","680","715","735","596","597"
"Slovenia","400","425","470","518","564","605","629","553","549"
"South Africa","242","267","311","364","426","491","529","362","353"
"Sweden","378","406","452","504","553","590","613","523","522"
"Thailand","296","322","369","425","486","549","590","465","445"
"Turkey","289","324","385","454","531","599","634","503","484"
"United Arab Emirates","303","336","395","466","535","591","623","492","461"
"United States","378","408","461","521","577","624","651","527","533"
