"Country","X5thPercentile","X10thPercentile","X25thPercentile","X50thPercentile","X75thPercentile","X90thPercentile","X95thPercentile","mean_girls","mean_boys"
"Armenia","310","344","405","473","531","578","608","472","462"
"Australia","369","397","445","503","560","618","652","500","509"
"Bahrain","246","279","339","409","479","539","570","431","388"
"Chile","290","315","361","414","469","522","553","409","424"
"Chinese Taipei","413","459","543","623","683","734","765","613","606"
"England","361","393","448","510","567","616","640","508","505"
"Finland","405","430","470","516","559","596","617","516","512"
"Georgia","254","289","356","435","507","563","598","430","432"
"Ghana","194","222","271","328","389","442","474","318","342"
"Hong Kong SAR","428","470","537","595","644","684","706","588","583"
"Hungary","348","385","448","512","567","614","642","502","508"
"Indonesia","248","280","330","386","442","494","524","392","379"
"Iran, Islamic Rep. of","266","296","348","412","476","537","578","411","418"
"Israel","338","381","452","525","585","636","663","520","512"
"Italy","372","400","450","502","549","590","615","493","504"
"Japan","425","458","515","574","630","674","701","566","574"
"Jordan","232","271","340","413","479","528","556","420","392"
"Kazakhstan","353","381","431","490","544","587","611","486","488"
"Korea, Rep. of","455","492","555","619","676","724","750","610","616"
"Lebanon","327","352","396","448","502","546","573","444","456"
"Lithuania","369","401","450","505","558","602","625","507","498"
"Macedonia, Rep. of","239","279","352","432","504","561","596","430","423"
"Malaysia","290","319","373","440","507","560","589","449","430"
"Morocco","236","264","312","367","428","484","520","371","371"
"New Zealand","346","375","428","489","548","598","624","478","496"
"Norway","366","390","431","477","520","556","577","476","473"
"Oman","186","224","290","368","444","505","541","397","334"
"Palestinian Nat’l Auth.","236","272","336","406","476","533","562","415","392"
"Qatar","227","265","331","412","489","552","586","415","404"
"Romania","291","327","386","458","529","592","626","464","453"
"Russian Federation","399","431","485","543","596","641","666","539","539"
"Saudi Arabia","243","274","329","392","458","516","551","401","387"
"Singapore","453","494","559","620","672","713","734","615","607"
"Slovenia","387","412","457","506","554","595","619","502","507"
"Sweden","368","395","440","487","532","569","590","486","482"
"Syrian Arab Republic","217","253","313","381","451","505","535","375","385"
"Thailand","290","318","368","425","483","536","573","435","417"
"Tunisia","305","330","373","421","475","525","554","417","433"
"Turkey","273","311","374","447","529","603","645","457","448"
"Ukraine","326","362","421","482","542","592","621","478","481"
"United Arab Emirates","309","340","394","457","518","568","598","464","447"
"United States","381","409","457","511","562","607","635","508","511"
