"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1542,,
"AUT","Austria","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1534,,
"AUT","Austria","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1530,,
"AUT","Austria","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1523,,
"AUT","Austria","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1529,,
"AUT","Austria","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1518,,
"AUT","Austria","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1505,,
"AUT","Austria","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1502,,
"AUT","Austria","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1506,,
"AUT","Austria","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1468,,
"AUT","Austria","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1468,,
"AUT","Austria","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1468,,
"AUT","Austria","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1453,,
"AUT","Austria","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1443,,
"AUT","Austria","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1438,,
"AUT","Austria","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1420,,
"AUT","Austria","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1431,,
"AUT","Austria","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1421,,
"AUT","Austria","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1421,,
"AUT","Austria","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1422,,
"AUT","Austria","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1675,,
"AUT","Austria","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1663,,
"AUT","Austria","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1661,,
"AUT","Austria","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1652,,
"AUT","Austria","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1655,,
"AUT","Austria","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1632,,
"AUT","Austria","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1617,,
"AUT","Austria","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1606,,
"AUT","Austria","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1599,,
"AUT","Austria","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1558,,
"AUT","Austria","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1552,,
"AUT","Austria","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1557,,
"AUT","Austria","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1535,,
"AUT","Austria","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1520,,
"AUT","Austria","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1510,,
"AUT","Austria","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1495,,
"AUT","Austria","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1507,,
"AUT","Austria","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1498,,
"AUT","Austria","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1502,,
"AUT","Austria","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1501,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1459,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1454,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1460,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1469,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1464,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1455,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1463,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1465,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1456,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1429,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1432,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1443,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1440,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1436,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1434,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1431,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1435,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1440,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1444,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1440,,
"BEL","Belgium","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1589,,
"BEL","Belgium","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1581,,
"BEL","Belgium","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1594,,
"BEL","Belgium","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1598,,
"BEL","Belgium","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1588,,
"BEL","Belgium","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1578,,
"BEL","Belgium","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1592,,
"BEL","Belgium","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1594,,
"BEL","Belgium","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1582,,
"BEL","Belgium","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1563,,
"BEL","Belgium","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1574,,
"BEL","Belgium","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1590,,
"BEL","Belgium","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1587,,
"BEL","Belgium","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1586,,
"BEL","Belgium","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1582,,
"BEL","Belgium","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1575,,
"BEL","Belgium","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1574,,
