freq,unit,tra_meas,tra_cov,schedule,geo\TIME_PERIOD	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,ES	8031234 	8099186 	9838343 	11508312 	12321985 	13439514 	14540394 	14223078 	13364394 	11855777 	8791042 	9133953 	8157410 	8356785 	3649150 	55273 	121977 	534373 	: 	: 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,EU27_2020	46572413 	45380083 	55355024 	62793094 	68194413 	74381118 	79324822 	80408322 	74445622 	67004430 	51507287 	51494836 	47907713 	46049923 	20842386 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,FI	986500 	967677 	1109121 	1062740 	1136875 	1161346 	1203222 	1141904 	1122394 	1126667 	963090 	1134119 	1008230 	960548 	511771 	14429 	23611 	54134 	137319 	163725 	108235 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,FR	6880000 	6357831 	7879605 	8703310 	8823905 	9503089 	9687782 	10376747 	9237261 	8539357 	7179156 	7214166 	7100594 	6637041 	3449345 	105331 	173902 	692229 	2676573 	: 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,HR	123092 	127221 	177327 	399566 	579802 	797923 	996573 	902481 	698928 	454142 	169248 	158073 	125514 	127945 	68661 	2549 	10100 	48207 	208985 	266488 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,HU	483850 	503473 	606121 	698139 	729716 	746850 	841830 	825775 	781241 	746965 	660874 	694746 	570083 	578399 	245927 	5880 	12498 	45559 	: 	: 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,IE	1179799 	1149049 	1406556 	1603687 	1721012 	1831715 	2025731 	2042068 	1774322 	1655024 	1311354 	1295564 	1200045 	1177185 	605545 	12237 	20133 	40805 	: 	: 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,IS	280093 	276265 	312930 	253485 	320039 	420341 	452116 	444964 	338653 	294756 	234016 	246741 	199362 	214958 	114906 	3401 	7458 	29119 	85035 	73165 	23887 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,IT	6021392 	5817474 	7072169 	8118325 	8737300 	9431290 	10124478 	10157308 	9673801 	8324666 	6536307 	6688198 	6274803 	5500085 	1054194 	80068 	115157 	524290 	: 	: 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,LT	208677 	208124 	232853 	269864 	313392 	305451 	312999 	308027 	291295 	312707 	253677 	251859 	213026 	227401 	109479 	1252 	2410 	24053 	: 	: 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,LU	137009 	131015 	159548 	190161 	192410 	203385 	196431 	215042 	216838 	200405 	172446 	161375 	150839 	145876 	69910 	20 	719 	15554 	54779 	91661 	72339 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,LV	223914 	215322 	265969 	323636 	360183 	381238 	427625 	407658 	358917 	354591 	274495 	299599 	251446 	246307 	120167 	1551 	5620 	29628 	: 	: 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,ME	39095 	37769 	49137 	78597 	111927 	193532 	230390 	221816 	167051 	83129 	49191 	53142 	45773 	44754 	20517 	616 	719 	4398 	: 	: 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,MK	69090 	68342 	82253 	99388 	96185 	111875 	134370 	115559 	106985 	103181 	80861 	92007 	76193 	73764 	34666 	883 	515 	12 	38014 	28666 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,MT	185136 	183926 	242819 	334024 	341918 	364284 	407308 	401340 	382760 	346496 	237316 	235171 	211640 	215549 	74229 	645 	605 	864 	87814 	119669 	64100 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,NL	2787992 	2646818 	3179432 	3377821 	3713344 	3757862 	3635276 	4070077 	3757464 	3709902 	2958500 	2901880 	2826630 	2617302 	1463215 	75557 	117481 	251651 	762494 	1200498 	795990 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,NO	1998075 	1992251 	2358195 	2212630 	2437426 	2641632 	2668535 	2677778 	2566313 	2618156 	2176526 	1964584 	2017523 	2021574 	1076608 	198665 	308239 	541743 	948484 	918809 	799809 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,PL	1402034 	1504242 	1678117 	1854900 	2184706 	2356295 	2624646 	2577458 	2445194 	2173567 	1764072 	1841136 	1602573 	1653072 	652894 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,PT	1663445 	1727703 	2171495 	2714143 	2825397 	2959308 	3287993 	3155094 	2962995 	2660579 	1929843 	2058753 	1790460 	1900783 	944887 	15179 	42904 	177976 	: 	: 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,RO	697938 	712820 	806535 	915978 	979400 	1040829 	1192087 	1172079 	1069094 	989580 	847877 	925649 	756830 	735397 	353340 	15588 	16398 	68368 	: 	: 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,RS	172994 	170452 	200994 	250618 	273287 	311545 	418344 	411251 	363236 	299938 	227124 	243042 	207415 	199142 	89010 	4315 	7421 	49599 	: 	: 	: 
M,PAS,PAS_BRD_ARR,TOTAL,TOT,SE	1620466 	1506571 	1819417 	1810650 	2019295 	2075502 	2090444 	2144267 	2026937 	1932205 	1700863 	1493447 	1543709 	1444754 	797420 	: 	: 	: 	: 	: 	: 
