freq,unit,tra_meas,tra_cov,schedule,geo\TIME_PERIOD	2019-01 	2019-02 	2019-03 	2019-04 	2019-05 	2019-06 	2019-07 	2019-08 	2019-09 	2019-10 	2019-11 	2019-12 	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 
M,PAS,PAS_CRD,TOTAL,TOT,IS	558501 	534003 	614289 	499921 	610877 	817429 	877905 	876400 	675930 	583392 	461608 	473942 	395374 	414840 	231375 	5358 	11127 	44680 	150075 	149220 	43322 
M,PAS,PAS_CRD,TOTAL,TOT,IT	9800069 	9461722 	11510279 	13486285 	14328615 	15744510 	17135702 	17376844 	15891629 	14203892 	10786901 	10939234 	10214932 	9078815 	1696938 	96047 	140707 	697386 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,LT	443403 	411765 	466939 	540420 	620978 	604824 	595440 	621917 	603338 	622758 	496501 	476402 	455142 	446654 	202850 	1639 	4179 	42185 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,LU	258957 	267687 	320896 	384281 	393188 	407702 	424944 	420265 	415421 	403270 	331381 	337577 	289047 	295991 	128453 	26 	1808 	35436 	131582 	179687 	129462 
M,PAS,PAS_CRD,TOTAL,TOT,LV	466661 	430490 	531114 	645712 	714785 	762727 	832797 	830846 	735252 	704406 	549704 	581232 	524165 	489024 	234483 	2910 	9981 	54150 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,ME	83825 	75255 	97252 	145992 	213117 	354638 	442740 	468752 	371511 	189806 	106375 	103538 	97942 	89321 	40957 	1873 	1142 	6195 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,MK	152125 	137664 	164318 	194181 	194449 	214085 	241567 	263652 	231959 	212746 	170261 	176320 	163967 	147533 	71617 	1853 	849 	36 	57160 	67007 	: 
M,PAS,PAS_CRD,TOTAL,TOT,MT	366016 	359555 	477533 	653179 	675499 	723180 	800221 	824393 	763013 	704147 	493727 	477894 	418579 	422129 	169584 	2355 	3220 	3447 	153604 	252693 	128989 
M,PAS,PAS_CRD,TOTAL,TOT,NL	5497370 	5354526 	6273861 	6928894 	7401358 	7474186 	7731539 	7860616 	7488027 	7355548 	5886956 	5939626 	5595988 	5282224 	2774524 	134002 	220531 	527223 	1691713 	2244081 	1548443 
M,PAS,PAS_CRD,TOTAL,TOT,NO	2717582 	2790875 	3230709 	3161663 	3449398 	3922975 	4110585 	3801329 	3724069 	3631249 	2991109 	2816894 	2749910 	2825852 	1399155 	197573 	310026 	577959 	1125404 	1095559 	890212 
M,PAS,PAS_CRD,TOTAL,TOT,PL	2869443 	2825406 	3207321 	3597069 	4166147 	4640305 	4984538 	5042019 	4729713 	4068761 	3394027 	3375016 	3240341 	3107434 	1206477 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,PT	3144946 	3073012 	3887833 	4859871 	5116936 	5392085 	5799800 	5910963 	5474990 	5047546 	3666403 	3633509 	3415852 	3439325 	1831056 	31985 	77081 	284709 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,RO	1441209 	1350979 	1517764 	1711251 	1869355 	1992254 	2178600 	2261977 	2076963 	1895219 	1613840 	1636793 	1536188 	1409947 	638893 	44933 	44906 	116011 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,RS	372364 	339199 	398806 	496653 	537239 	631590 	734858 	756919 	646748 	606055 	465878 	464334 	442925 	395690 	179778 	5894 	10160 	78531 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,SE	2571315 	2514946 	2941902 	3068756 	3409232 	3684354 	3714250 	3583939 	3468587 	3293082 	2716695 	2647201 	2477270 	2423699 	1185537 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_CRD,TOTAL,TOT,SI	103134 	105167 	133403 	157992 	169818 	188649 	206772 	211595 	171981 	99229 	85786 	85513 	75472 	79776 	36094 	190 	111 	4991 	20992 	28024 	: 
M,PAS,PAS_CRD,TOTAL,TOT,SK	151315 	147456 	169883 	188971 	205454 	296870 	426021 	418986 	311523 	196702 	156643 	169963 	149333 	143015 	45776 	1375 	838 	2655 	21895 	64498 	36331 
M,PAS,PAS_CRD,TOTAL,TOT,UK	17837507 	17664207 	20645202 	23015529 	25030989 	26876251 	28574934 	29146198 	26045351 	24245929 	18456722 	19893561 	17974388 	17446467 	9347404 	319121 	365494 	648222 	3293014 	6357346 	5223175 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,AT	1146526 	1201218 	1450383 	1498454 	1533124 	1662376 	1742418 	1777998 	1707231 	1559556 	1347235 	1424989 	1288156 	1296233 	510323 	8163 	11446 	69843 	293501 	437193 	320809 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,BE	1168069 	1079592 	1332681 	1518837 	1544971 	1608526 	1677219 	1910754 	1724801 	1559936 	1349412 	1227433 	1210236 	1161706 	569913 	11116 	12316 	46533 	: 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,BG	274190 	276556 	310300 	356176 	482423 	803607 	998663 	909544 	575638 	354607 	294831 	347317 	295698 	462364 	154312 	17589 	41236 	94775 	266180 	259141 	183039 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,CH	2103123 	1990523 	2390964 	2432740 	2463747 	2637518 	2664411 	2952207 	2581283 	2599508 	1971206 	2150382 	2136554 	1992374 	939374 	18547 	28549 	132350 	572441 	870578 	534380 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,CY	207406 	214065 	291537 	457247 	586995 	657102 	721890 	732122 	665319 	567580 	279268 	257229 	224748 	231693 	108824 	4023 	5494 	21611 	105973 	152273 	118687 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,CZ	486353 	508482 	645582 	721654 	766912 	926244 	1090275 	1103473 	1021902 	830859 	646607 	677960 	525445 	521196 	216260 	2250 	3846 	18821 	129644 	191356 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,DE	8142735 	7759432 	9663388 	10473700 	11181472 	11829460 	12000562 	12480686 	12323657 	12127460 	9004863 	8346804 	8022205 	7489251 	3903947 	189231 	252425 	686138 	2210546 	3148638 	2473402 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,DK	1193979 	1184948 	1404819 	1515284 	1612987 	1734789 	1842296 	1845083 	1693393 	1660500 	1309085 	1167471 	1196558 	1192442 	561852 	20268 	31635 	94664 	337737 	420378 	309621 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,EE	97844 	93019 	118200 	131445 	149765 	154440 	160841 	156267 	147886 	157376 	120467 	117063 	102755 	103566 	57753 	1409 	5142 	12837 	: 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,EL	1047285 	1024683 	1266210 	2005163 	3106701 	4348077 	5105101 	5001572 	4111737 	2601703 	1238119 	1262939 	1105594 	1065975 	520541 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,ES	8005510 	8070712 	9810101 	11484443 	12288680 	13399117 	14500955 	14180271 	13328301 	11829977 	8769011 	9107728 	8129312 	8330448 	3633201 	54062 	120107 	532037 	: 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,EU27_2020	46413066 	45235181 	55171949 	62618728 	68008044 	74158360 	79082756 	80191960 	74241553 	66855849 	51379838 	51366177 	47781680 	46083136 	20770082 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,FI	984337 	968508 	1107007 	1057724 	1133365 	1157013 	1197933 	1136319 	1116863 	1121254 	957609 	1130331 	1003225 	957091 	509995 	14429 	23533 	54081 	136920 	161647 	105586 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,FR	6841815 	6325186 	7839512 	8662289 	8778798 	9458280 	9635866 	10318669 	9187453 	8502786 	7151529 	7188683 	7077202 	6607750 	3432474 	103432 	170103 	688535 	2669467 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,HR	119848 	124504 	173792 	394732 	574319 	791840 	991063 	896171 	691654 	448662 	165616 	155848 	122766 	126252 	68066 	2390 	9782 	47717 	207425 	264794 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,HU	482421 	502579 	604794 	697233 	728608 	745606 	840156 	824390 	779978 	745759 	659052 	694187 	569493 	578123 	245735 	5880 	12486 	45559 	: 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,IE	1178294 	1147405 	1404905 	1602068 	1718232 	1829325 	2024007 	2040024 	1771640 	1651560 	1309551 	1295578 	1198880 	1175860 	605315 	12081 	20008 	40805 	: 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,IS	280093 	276265 	312930 	253485 	320031 	420340 	452115 	444961 	338653 	294754 	234012 	246740 	199359 	214958 	114892 	3401 	7457 	29113 	84339 	72132 	23887 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,IT	5992287 	5796631 	7043729 	8087689 	8700692 	9393097 	10074251 	10109401 	9631323 	8292332 	6508377 	6657997 	6247894 	5466696 	1042141 	77784 	113549 	521446 	: 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,LT	208131 	207947 	232821 	269816 	313144 	305197 	312782 	307667 	291088 	312438 	253537 	251754 	212888 	227234 	109304 	1242 	2006 	23585 	: 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,LU	137009 	131015 	159548 	190161 	192410 	203385 	196431 	215042 	216838 	200405 	172446 	161375 	150839 	145876 	69910 	20 	719 	15554 	54779 	91661 	72339 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,LV	223914 	215322 	265969 	323636 	360183 	381238 	427625 	407658 	358917 	354591 	274495 	299599 	251446 	246307 	120167 	1529 	5620 	29628 	: 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,ME	39095 	37769 	49137 	78597 	111927 	193532 	230390 	221816 	167051 	83129 	49191 	53142 	45773 	44754 	20517 	616 	719 	4398 	: 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,MK	69090 	68342 	82253 	99388 	96185 	111875 	134370 	115559 	106985 	103181 	80861 	92007 	76193 	73764 	34666 	883 	515 	12 	38014 	28666 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,MT	185136 	183926 	242819 	334024 	341918 	364284 	407308 	401340 	382760 	346496 	237316 	235171 	211640 	215549 	74229 	645 	605 	864 	87814 	119669 	64100 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,NL	2778905 	2639251 	3171750 	3374020 	3711990 	3756594 	3633840 	4068502 	3756203 	3709112 	2958388 	2901434 	2825770 	2616710 	1462543 	74913 	117137 	251393 	761046 	1199352 	795498 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,NO	1961816 	1957266 	2316691 	2176020 	2396920 	2598397 	2631149 	2638067 	2527309 	2572914 	2142205 	1934357 	1986186 	1989145 	1055384 	182165 	287152 	507905 	903930 	881847 	764235 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,PL	1401587 	1504342 	1677602 	1854378 	2184046 	2355016 	2623724 	2576923 	2444391 	2173361 	1762688 	1841306 	1601148 	1651502 	651608 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,PT	1680016 	1744139 	2190487 	2719480 	2834867 	2970262 	3296949 	3166695 	2975299 	2688399 	1948642 	2074709 	1808304 	1917167 	952565 	16003 	43890 	180452 	: 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,RO	696974 	710523 	804485 	915765 	978636 	1039048 	1190066 	1170597 	1067801 	987896 	847054 	924940 	756470 	750256 	357449 	15312 	15497 	67899 	: 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,RS	172994 	170379 	201210 	250618 	273287 	311545 	380964 	366757 	322738 	300206 	227124 	243042 	207415 	199142 	89010 	4315 	7421 	49599 	: 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,SE	1609629 	1495058 	1807409 	1800969 	2012881 	2055717 	2073800 	2136157 	2018279 	1922996 	1691905 	1484926 	1534393 	1433890 	790760 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,SI	50365 	51994 	66923 	78586 	88117 	93849 	103604 	105910 	86852 	47680 	43421 	43730 	36880 	39683 	17906 	160 	49 	2707 	10613 	13760 	: 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,SK	72501 	74144 	85196 	93755 	101808 	134871 	213131 	212725 	164349 	100568 	79314 	87676 	71735 	72316 	22989 	576 	529 	1529 	11802 	32897 	16883 
M,PAS,PAS_CRD_ARR,TOTAL,TOT,UK	9972784 	9522335 	11179678 	12408797 	13161807 	14383416 	14687740 	15540173 	14366067 	13082612 	10205475 	10243166 	10015162 	9372587 	5237867 	165505 	183410 	296351 	1425548 	3474879 	3116333 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,AT	1176925 	1188714 	1468508 	1523349 	1547876 	1702897 	1813946 	1777237 	1653722 	1586313 	1288806 	1411808 	1309353 	1282250 	511286 	4705 	9750 	72906 	327991 	427897 	296199 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,BE	1085271 	1107569 	1311268 	1588715 	1558169 	1649734 	1973279 	1660153 	1600879 	1560956 	1262112 	1326860 	1130377 	1184290 	488251 	6483 	10659 	63253 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,BG	315249 	276884 	327900 	343573 	418213 	679723 	904764 	1014456 	743942 	383288 	307968 	304947 	341939 	452656 	147719 	13449 	38947 	70477 	188983 	305485 	236931 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,CH	1942534 	2018963 	2379292 	2576764 	2445374 	2583583 	3025502 	2702303 	2582853 	2552372 	1903064 	2229758 	1992242 	2023377 	870389 	12118 	27510 	144004 	713881 	760702 	516830 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,CY	214415 	196143 	272503 	406858 	541904 	636736 	712381 	750983 	657812 	627218 	347303 	259394 	234684 	214356 	121936 	2439 	4196 	19029 	91453 	143451 	125811 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,CZ	529239 	503427 	623797 	712595 	773355 	999583 	1080742 	1093462 	971165 	812295 	635956 	670777 	563212 	516103 	228654 	2422 	3817 	18574 	143353 	186060 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,DE	7697593 	7938700 	9552222 	10670657 	11220321 	11773563 	12818453 	12054470 	11958881 	11529634 	8548385 	8659128 	7560790 	7642202 	3233686 	103369 	212072 	814821 	2734183 	2872815 	2262284 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,DK	1150828 	1181798 	1381030 	1492216 	1603316 	1809126 	1890592 	1687193 	1718814 	1645483 	1267501 	1266364 	1153218 	1179538 	464499 	14845 	27001 	103166 	373475 	375827 	316367 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,EE	106939 	101379 	112499 	134303 	150681 	162524 	157553 	168885 	162114 	158183 	120776 	117554 	110604 	107662 	45251 	1429 	5228 	11951 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,EL	1097649 	1024097 	1253812 	1752034 	2816665 	4151647 	4893075 	5301926 	4469746 	3072282 	1366675 	1250023 	1288242 	1176713 	571953 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,ES	8307237 	7898448 	9733826 	11225167 	11845624 	13338432 	14284358 	14655023 	13226593 	12340203 	9172993 	8721006 	8405217 	8187460 	4305071 	65824 	131100 	484552 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,EU27_2020	46511729 	45468972 	54275571 	62521854 	66435067 	74204723 	80905555 	79820354 	73452507 	68162267 	51303721 	51506237 	47941395 	46285550 	19970868 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,FI	984822 	987177 	1115635 	1100844 	1127793 	1189955 	1140541 	1162634 	1143071 	1124690 	965414 	1130096 	1007843 	963228 	447692 	10533 	21437 	46631 	124975 	170198 	112244 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,FR	6691821 	6608176 	7576414 	8907957 	8497060 	9380239 	10659561 	9767731 	8684548 	8813896 	6877439 	7340911 	6953643 	6733213 	3125289 	69850 	133977 	631801 	2861670 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,HR	132963 	123252 	166239 	346998 	517051 	722424 	931099 	995109 	763128 	547757 	182406 	150430 	134615 	123653 	64650 	2088 	9495 	33513 	146685 	306187 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,HU	550148 	495838 	601133 	684980 	731497 	780173 	822884 	851154 	786319 	776616 	650305 	664945 	634645 	566697 	262967 	3603 	10035 	40554 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,IE	1172692 	1143486 	1379457 	1627439 	1749766 	1939258 	2012881 	1973950 	1761610 	1664708 	1283522 	1324959 	1187167 	1166016 	577753 	12847 	24752 	53296 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,IS	291470 	271137 	316265 	259519 	306758 	412191 	440658 	447112 	352773 	304215 	240712 	238375 	206196 	211990 	123577 	3343 	7320 	22979 	74179 	84387 	26433 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,IT	5952448 	5734847 	6908694 	7977660 	8361371 	9467628 	10311001 	10319107 	9277035 	8622247 	6687955 	6751113 	6186389 	5527959 	1028309 	54441 	94427 	475627 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,LT	235272 	203818 	234118 	270604 	307834 	299627 	282658 	314250 	312250 	310320 	242964 	224648 	242254 	219449 	93546 	397 	2173 	18604 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,LU	121948 	136672 	161348 	194120 	200778 	204317 	228513 	205223 	198583 	202865 	158935 	176202 	138208 	150115 	58543 	6 	1089 	19882 	76803 	88026 	57123 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,LV	242747 	215168 	265145 	322077 	354602 	381490 	405172 	423188 	376335 	349815 	275209 	281634 	272719 	242717 	114316 	1381 	4361 	24522 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,ME	44730 	37486 	48115 	67395 	101190 	161106 	212350 	246936 	204460 	106677 	57184 	50396 	52169 	44567 	20440 	1257 	423 	1797 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,MK	83035 	69322 	82065 	94793 	98264 	102210 	107197 	148093 	124974 	109565 	89400 	84313 	87774 	73769 	36951 	970 	334 	24 	19146 	38341 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,MT	180880 	175786 	234714 	319155 	333581 	358896 	392918 	423053 	380253 	357651 	256411 	242723 	206939 	206580 	95355 	1710 	2615 	2583 	65790 	133024 	64889 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,NL	2718488 	2715277 	3102133 	3554890 	3689376 	3717594 	4097902 	3792116 	3731826 	3646451 	2928569 	3038195 	2770218 	2665791 	1311981 	59089 	103394 	275835 	930669 	1044731 	752945 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,NO	1898378 	1983431 	2273056 	2163834 	2381616 	2731598 	2610878 	2463579 	2614103 	2499508 	2130579 	1989358 	1919235 	1994465 	960414 	179758 	284020 	520874 	920785 	851616 	772043 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,PL	1601725 	1454301 	1683773 	1901480 	2152959 	2448724 	2530115 	2634294 	2455497 	2068942 	1797942 	1694563 	1785155 	1595993 	607390 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,PT	1816042 	1653622 	2100750 	2606949 	2748652 	2925863 	3066388 	3330955 	3023635 	2805608 	2074031 	1912877 	1945208 	1852637 	1054898 	18808 	40751 	142175 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,RO	826102 	733323 	819608 	884116 	992920 	1051660 	1098284 	1189050 	1115946 	1024603 	886802 	815958 	867839 	762414 	325340 	29621 	31157 	58083 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,RS	199371 	168820 	197596 	246035 	263952 	320048 	353894 	390162 	324010 	305855 	238754 	221292 	235510 	196552 	90768 	1579 	2739 	28935 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,SE	1470362 	1544550 	1737851 	1798474 	2008310 	2176001 	2080424 	1962796 	2046461 	1982524 	1597595 	1645005 	1394727 	1455060 	643556 	: 	: 	: 	: 	: 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,SI	52769 	53173 	66480 	79406 	81701 	94800 	103168 	105685 	85129 	51549 	42365 	41783 	38592 	40093 	18188 	30 	62 	2284 	10379 	14264 	: 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,SK	79155 	73347 	84714 	95238 	103692 	162109 	212903 	206271 	147213 	96170 	77382 	82334 	77598 	70705 	22789 	799 	309 	1134 	10095 	31611 	19448 
M,PAS,PAS_CRD_DEP,TOTAL,TOT,UK	9264531 	9596723 	11110125 	12260469 	13603908 	14147215 	15589801 	15300634 	13255807 	12813272 	9751118 	11103438 	9276844 	9399331 	4809513 	168257 	199939 	398807 	2084974 	3324140 	2533588 
