"Country","Overall Average","Number","Algebra","Geometry","Data and Probability"
"Singapore",616,611,619,619,620
"Chinese Taipei",612,613,618,623,593
"Korea, Rep. of",607,605,609,617,598
"Japan",594,578,602,610,594
"Hong Kong SAR",578,570,584,596,563
"Russian Federation",543,541,560,540,517
"Ireland",524,541,505,506,541
"Lithuania",520,514,518,529,522
"Israel",519,519,528,506,511
"Australia",517,522,501,513,533
"Hungary",517,515,509,521,521
"United States",515,520,520,499,509
"England",515,519,504,509,523
"Finland",509,515,489,511,514
"Norway (9)",503,507,477,502,518
"Sweden",503,502,496,495,513
"Cyprus",501,499,515,490,493
"Portugal",500,492,499,509,498
"Italy",497,495,491,510,494
"Turkey",496,493,493,490,502
"Kazakhstan",488,482,504,486,463
"France",483,477,468,493,496
"New Zealand",482,483,464,477,496
"Bahrain",481,473,485,493,465
"Romania",479,478,490,472,458
"United Arab Emirates",473,474,486,462,451
"Georgia",461,466,473,449,429
"Malaysia",461,458,456,466,457
"Iran, Islamic Rep. of",446,442,450,442,435
"Qatar",443,441,454,435,423
"Chile",441,442,439,434,434
"Lebanon",429,432,452,422,383
"Jordan",420,408,442,413,396
"Egypt",413,414,413,417,380
"Oman",411,392,427,418,393
"Kuwait",403,NA,NA,NA,NA
"Saudi Arabia",394,NA,NA,NA,NA
"South Africa (9)",389,NA,NA,NA,NA
"Morocco",388,377,370,413,372
"Moscow City, Russian Fed.",575,574,592,565,564
