Username,Vidname,Hours,Minutes,Seconds,Total
Jung,Trailer Park Boys,2429,18,60,8745540
Jung,Season 1 Trailer,2027,55,32,7300532
Jung,Trailer,1900,47,10,6842830
Jung,Archer,1825,32,21,6571941
Jung,The 100,1748,5,6,6293106
Jung,The Crown,1649,36,56,5938616
Jung,Brooklyn Nine-Nine,1267,11,20,4561880
Jung,Gotham,935,28,26,3367706
Jung,3%,586,15,55,2110555
Jung,Season 3 Trailer,573,4,60,2063100
Jung,Lucifer,542,53,24,1954404
Jung,Paradise PD,364,1,6,1310466
Jung,The Umbrella Academy,358,22,2,1290122
Jung,Ozark,355,49,50,1280990
Jung,Season 2 Trailer,323,18,49,1163929
Jung,13 Reasons Why,323,13,45,1163625
Jung,The I-Land,297,48,17,1072097
Jung,Marvel's Iron Fist,290,30,11,1045811
Jung,WHAT / IF,282,20,51,1016451
Jung,You,275,20,33,991233
Jung,Elite,270,40,14,974414
Jung,Hoops,243,22,46,876166
Jung,The Good Place,230,28,9,829689
Jung,White Lines,218,32,28,786748
Jung,Crime,211,36,15,761775
Jung,How I Met Your Mother,211,25,20,761120
Jung,Dark (Trailer),209,58,26,755906
Jung,Snowpiercer,207,31,32,747092
Jung,Daybreak,205,25,56,739556
Jung,Tiny Pretty Things,203,20,34,732034
Jung,Season 4 Trailer,191,7,56,688076
Jung,Season 1,186,43,33,672213
Jung,Peaky Blinders,185,56,12,669372
Jung,Clip 2,178,25,37,642337
Jung,Rick and Morty,177,24,49,638689
Jung,Ratched,172,56,17,622577
Jung,The Blacklist,172,10,5,619805
Jung,Black Mirror,169,12,12,609132
Jung,Safe,164,9,59,590999
Jung,Breaking Bad,163,55,40,590140
Jung,Season 1 Trailer 3,161,2,33,579753
Jung,Money Heist (Trailer),158,50,47,571847
Jung,3% (Trailer),158,16,9,569769
Jung,Signs,153,24,50,552290
Jung,Pitbull,144,46,53,521213
Jung,Money Heist,143,51,10,517870
Jung,Season 1 Trailer 4,141,45,30,510330
Jung,13 Commandments (Trailer),141,36,13,509773
Jung,The Stranger,139,42,24,502944
Jung,How to Get Away with Murder,137,18,38,494318
Jung,Season 1 Trailer 2,136,58,40,493120
Jung,The Old Guard (Trailer),136,39,57,491997
Jung,Portrait Product Preview,132,31,8,477068
Jung,Disenchantment,122,40,34,441634
Jung,BoJack Horseman,119,34,32,430472
Jung,Season 1 Teaser,118,3,53,425033
Jung,FYRE,111,13,26,400406
