"","Country","Average"
"1","Singapore",616
"2","Chinese Taipei",612
"3","Korea, Rep. of",607
"4","Japan",594
"5","Hong Kong SAR",578
"6","Russian Federation",543
"7","Ireland",524
"8","Lithuania",520
"9","Israel",519
"10","Australia",517
"11","Hungary",517
"12","United States",515
"13","England",515
"14","Finland",509
"15","Norway (9)",503
"16","Sweden",503
"17","Cyprus",501
"18","Portugal",500
"19","Italy",497
"20","Turkey",496
"21","Kazakhstan",488
"22","France",483
"23","New Zealand",482
"24","Bahrain",481
"25","Romania",479
"26","United Arab Emirates",473
"27","Georgia",461
"28","Malaysia",461
"29","Iran, Islamic Rep. of",446
"30","Qatar",443
"31","Chile",441
"32","Lebanon",429
"33","Jordan",420
"34","Egypt",413
"35","Oman",411
"36","Kuwait",403
"37","Saudi Arabia",394
"38","South Africa (9)",389
"39","Morocco",388
