"","Country","Average","GirlsAverage","BoysAverage"
"1","Singapore",608,604,611
"2","Chinese Taipei",574,572,576
"3","Japan",570,565,575
"4","Korea, Rep. of",561,555,566
"5","Russian Federation",543,539,546
"6","Finland",543,552,533
"7","Lithuania",534,535,533
"8","Hungary",530,520,540
"9","Australia",528,529,528
"10","Ireland",523,526,521
"11","United States",522,525,520
"12","Sweden",521,527,516
"13","Portugal",519,516,522
"14","England",517,518,515
"15","Turkey",515,520,510
"16","Israel",513,512,515
"17","Hong Kong SAR",504,505,503
"18","Italy",500,497,504
"19","New Zealand",499,497,500
"20","Norway (9)",495,495,496
"21","France",489,487,490
"22","Bahrain",486,512,461
"23","Cyprus",484,491,476
"24","Kazakhstan",478,483,474
"25","Qatar",475,488,461
"26","United Arab Emirates",473,486,461
"27","Romania",470,475,465
"28","Chile",462,457,468
"29","Malaysia",460,463,458
"30","Oman",457,485,431
"31","Jordan",452,480,427
"32","Iran, Islamic Rep. of",449,459,441
"33","Georgia",447,447,446
"34","Kuwait",444,461,426
"35","Saudi Arabia",431,455,408
"36","Morocco",394,395,393
"37","Egypt",389,402,374
"38","Lebanon",377,379,374
"39","South Africa (9)",370,376,364
"40","Moscow City, Russian Fed.",567,561,572
"41","Dubai, UAE",548,551,544
"42","Quebec, Canada",537,537,536
"43","Ontario, Canada",522,520,523
"44","Western Cape, RSA (9)",439,434,445
"45","Gauteng, RSA (9)",422,427,416
"46","Abu Dhabi, UAE",420,436,406
