"","Country","Average","GirlsAverage","BoysAverage"
"1","Singapore",616,617,614
"2","Chinese Taipei",612,614,611
"3","Korea, Rep. of",607,604,609
"4","Japan",594,593,595
"5","Hong Kong SAR",578,582,575
"6","Russian Federation",543,541,546
"7","Ireland",524,524,523
"8","Lithuania",520,519,521
"9","Israel",519,514,525
"10","Australia",517,515,519
"11","Hungary",517,510,524
"12","United States",515,517,514
"13","England",515,514,516
"14","Finland",509,511,507
"15","Norway (9)",503,503,503
"16","Sweden",503,504,501
"17","Cyprus",501,503,499
"18","Portugal",500,495,505
"19","Italy",497,491,504
"20","Turkey",496,501,490
"21","Kazakhstan",488,490,486
"22","France",483,478,487
"23","New Zealand",482,478,484
"24","Bahrain",481,492,471
"25","Romania",479,487,471
"26","United Arab Emirates",473,476,471
"27","Georgia",461,457,465
"28","Malaysia",461,465,456
"29","Iran, Islamic Rep. of",446,453,440
"30","Qatar",443,447,440
"31","Chile",441,436,445
"32","Lebanon",429,427,432
"33","Jordan",420,432,409
"34","Egypt",413,420,404
"35","Oman",411,432,391
"36","Kuwait",403,407,398
"37","Saudi Arabia",394,403,385
"38","South Africa (9)",389,393,386
"39","Morocco",388,386,391
"40","Moscow City, Russian Fed.",575,566,584
"41","Quebec, Canada",543,541,546
"42","Dubai, UAE",537,532,541
"43","Ontario, Canada",530,528,531
"44","Western Cape, RSA (9)",441,436,447
"45","Abu Dhabi, UAE",436,441,431
"46","Gauteng, RSA (9)",421,423,417
