"","Country","Score","Average_score","Gender"
"1","Singapore",595,591,"Girls"
"2","Singapore",595,598,"Boys"
"3","Korea, Rep. of",588,583,"Girls"
"4","Korea, Rep. of",588,592,"Boys"
"5","Russian Federation",567,567,"Girls"
"6","Russian Federation",567,568,"Boys"
"7","Japan",562,565,"Girls"
"8","Japan",562,559,"Boys"
"9","Chinese Taipei",558,557,"Girls"
"10","Chinese Taipei",558,559,"Boys"
"11","Finland",555,557,"Girls"
"12","Finland",555,552,"Boys"
"13","Latvia",542,544,"Girls"
"14","Latvia",542,540,"Boys"
"15","Norway (5)",539,541,"Girls"
"16","Norway (5)",539,538,"Boys"
"17","United States",539,536,"Girls"
"18","United States",539,541,"Boys"
"19","Lithuania",538,540,"Girls"
"20","Lithuania",538,536,"Boys"
"21","Sweden",537,538,"Girls"
"22","Sweden",537,536,"Boys"
"23","England",537,537,"Girls"
"24","England",537,537,"Boys"
"25","Czech Republic",534,529,"Girls"
"26","Czech Republic",534,538,"Boys"
"27","Australia",533,533,"Girls"
"28","Australia",533,532,"Boys"
"29","Hong Kong SAR",531,531,"Girls"
"30","Hong Kong SAR",531,531,"Boys"
"31","Poland",531,532,"Girls"
"32","Poland",531,529,"Boys"
"33","Hungary",529,526,"Girls"
"34","Hungary",529,533,"Boys"
"35","Ireland",528,526,"Girls"
"36","Ireland",528,530,"Boys"
"37","Turkey (5)",526,524,"Girls"
"38","Turkey (5)",526,529,"Boys"
"39","Croatia",524,524,"Girls"
"40","Croatia",524,524,"Boys"
"41","Canada",523,520,"Girls"
"42","Canada",523,526,"Boys"
"43","Denmark",522,523,"Girls"
"44","Denmark",522,522,"Boys"
"45","Austria",522,519,"Girls"
"46","Austria",522,525,"Boys"
"47","Bulgaria",521,525,"Girls"
"48","Bulgaria",521,518,"Boys"
"49","Slovak Republic",521,518,"Girls"
"50","Slovak Republic",521,523,"Boys"
"51","Northern Ireland",518,519,"Girls"
"52","Northern Ireland",518,518,"Boys"
"53","Netherlands",518,519,"Girls"
"54","Netherlands",518,518,"Boys"
"55","Germany",518,516,"Girls"
"56","Germany",518,520,"Boys"
"57","Serbia",517,521,"Girls"
"58","Serbia",517,513,"Boys"
"59","Cyprus",511,509,"Girls"
"60","Cyprus",511,514,"Boys"
"61","Spain",511,511,"Girls"
"62","Spain",511,512,"Boys"
"63","Italy",510,506,"Girls"
"64","Italy",510,514,"Boys"
"65","Portugal",504,501,"Girls"
"66","Portugal",504,506,"Boys"
"67","New Zealand",503,505,"Girls"
"68","New Zealand",503,500,"Boys"
"69","Belgium (Flemish)",501,499,"Girls"
"70","Belgium (Flemish)",501,503,"Boys"
"71","Malta",496,493,"Girls"
"72","Malta",496,498,"Boys"
"73","Kazakhstan",494,497,"Girls"
"74","Kazakhstan",494,491,"Boys"
"75","Bahrain",493,510,"Girls"
"76","Bahrain",493,476,"Boys"
"77","Albania",489,494,"Girls"
"78","Albania",489,485,"Boys"
"79","France",488,489,"Girls"
"80","France",488,487,"Boys"
"81","United Arab Emirates",473,475,"Girls"
"82","United Arab Emirates",473,471,"Boys"
"83","Chile",469,466,"Girls"
"84","Chile",469,472,"Boys"
"85","Armenia",466,471,"Girls"
"86","Armenia",466,462,"Boys"
"87","Bosnia and Herzegovina",459,462,"Girls"
"88","Bosnia and Herzegovina",459,455,"Boys"
"89","Georgia",454,452,"Girls"
"90","Georgia",454,457,"Boys"
"91","Montenegro",453,457,"Girls"
"92","Montenegro",453,451,"Boys"
"93","Qatar",449,456,"Girls"
"94","Qatar",449,443,"Boys"
"95","Iran, Islamic Rep. of",441,440,"Girls"
"96","Iran, Islamic Rep. of",441,442,"Boys"
"97","Oman",435,447,"Girls"
"98","Oman",435,423,"Boys"
"99","Azerbaijan",427,429,"Girls"
"100","Azerbaijan",427,425,"Boys"
"101","North Macedonia",426,433,"Girls"
"102","North Macedonia",426,419,"Boys"
"103","Kosovo",413,420,"Girls"
"104","Kosovo",413,407,"Boys"
"105","Saudi Arabia",402,434,"Girls"
"106","Saudi Arabia",402,373,"Boys"
"107","Kuwait",392,413,"Girls"
"108","Kuwait",392,374,"Boys"
"109","Morocco",374,379,"Girls"
"110","Morocco",374,370,"Boys"
"111","South Africa (5)",324,335,"Girls"
"112","South Africa (5)",324,314,"Boys"
"113","Pakistan",290,311,"Girls"
"114","Pakistan",290,273,"Boys"
"115","Philippines",249,261,"Girls"
"116","Philippines",249,238,"Boys"
"117","Moscow City, Russian Fed.",595,595,"Girls"
"118","Moscow City, Russian Fed.",595,595,"Boys"
"119","Dubai, UAE",545,545,"Girls"
"120","Dubai, UAE",545,544,"Boys"
"121","Ontario, Canada",524,522,"Girls"
"122","Ontario, Canada",524,526,"Boys"
"123","Madrid, Spain",523,521,"Girls"
"124","Madrid, Spain",523,524,"Boys"
"125","Quebec, Canada",522,519,"Girls"
"126","Quebec, Canada",522,525,"Boys"
"127","Abu Dhabi, UAE",418,422,"Girls"
"128","Abu Dhabi, UAE",418,413,"Boys"
