"","Country","Score","Average_score","Gender"
"1","Singapore",625,621,"Girls"
"2","Singapore",625,629,"Boys"
"3","Hong Kong SAR",602,599,"Girls"
"4","Hong Kong SAR",602,604,"Boys"
"5","Korea, Rep. of",600,597,"Girls"
"6","Korea, Rep. of",600,602,"Boys"
"7","Chinese Taipei",599,597,"Girls"
"8","Chinese Taipei",599,601,"Boys"
"9","Japan",593,593,"Girls"
"10","Japan",593,593,"Boys"
"11","Russian Federation",567,563,"Girls"
"12","Russian Federation",567,571,"Boys"
"13","Northern Ireland",566,564,"Girls"
"14","Northern Ireland",566,568,"Boys"
"15","England",556,552,"Girls"
"16","England",556,560,"Boys"
"17","Ireland",548,545,"Girls"
"18","Ireland",548,552,"Boys"
"19","Latvia",546,544,"Girls"
"20","Latvia",546,548,"Boys"
"21","Norway (5)",543,540,"Girls"
"22","Norway (5)",543,545,"Boys"
"23","Lithuania",542,540,"Girls"
"24","Lithuania",542,544,"Boys"
"25","Austria",539,535,"Girls"
"26","Austria",539,543,"Boys"
"27","Netherlands",538,533,"Girls"
"28","Netherlands",538,542,"Boys"
"29","United States",535,529,"Girls"
"30","United States",535,540,"Boys"
"31","Czech Republic",533,527,"Girls"
"32","Czech Republic",533,538,"Boys"
"33","Belgium (Flemish)",532,527,"Girls"
"34","Belgium (Flemish)",532,538,"Boys"
"35","Cyprus",532,523,"Girls"
"36","Cyprus",532,542,"Boys"
"37","Finland",532,531,"Girls"
"38","Finland",532,533,"Boys"
"39","Portugal",525,516,"Girls"
"40","Portugal",525,533,"Boys"
"41","Denmark",525,521,"Girls"
"42","Denmark",525,528,"Boys"
"43","Hungary",523,518,"Girls"
"44","Hungary",523,529,"Boys"
"45","Turkey (5)",523,521,"Girls"
"46","Turkey (5)",523,525,"Boys"
"47","Sweden",521,518,"Girls"
"48","Sweden",521,525,"Boys"
"49","Germany",521,516,"Girls"
"50","Germany",521,526,"Boys"
"51","Poland",520,516,"Girls"
"52","Poland",520,524,"Boys"
"53","Australia",516,511,"Girls"
"54","Australia",516,521,"Boys"
"55","Azerbaijan",515,517,"Girls"
"56","Azerbaijan",515,514,"Boys"
"57","Bulgaria",515,514,"Girls"
"58","Bulgaria",515,516,"Boys"
"59","Italy",515,509,"Girls"
"60","Italy",515,521,"Boys"
"61","Kazakhstan",512,512,"Girls"
"62","Kazakhstan",512,512,"Boys"
"63","Canada",512,502,"Girls"
"64","Canada",512,521,"Boys"
"65","Slovak Republic",510,503,"Girls"
"66","Slovak Republic",510,516,"Boys"
"67","Croatia",509,504,"Girls"
"68","Croatia",509,515,"Boys"
"69","Malta",509,505,"Girls"
"70","Malta",509,513,"Boys"
"71","Serbia",508,509,"Girls"
"72","Serbia",508,507,"Boys"
"73","Spain",502,495,"Girls"
"74","Spain",502,509,"Boys"
"75","Armenia",498,499,"Girls"
"76","Armenia",498,497,"Boys"
"77","Albania",494,493,"Girls"
"78","Albania",494,495,"Boys"
"79","New Zealand",487,484,"Girls"
"80","New Zealand",487,490,"Boys"
"81","France",485,478,"Girls"
"82","France",485,491,"Boys"
"83","Georgia",482,478,"Girls"
"84","Georgia",482,486,"Boys"
"85","United Arab Emirates",481,477,"Girls"
"86","United Arab Emirates",481,486,"Boys"
"87","Bahrain",480,482,"Girls"
"88","Bahrain",480,477,"Boys"
"89","North Macedonia",472,472,"Girls"
"90","North Macedonia",472,472,"Boys"
"91","Montenegro",453,450,"Girls"
"92","Montenegro",453,455,"Boys"
"93","Bosnia and Herzegovina",452,447,"Girls"
"94","Bosnia and Herzegovina",452,456,"Boys"
"95","Qatar",449,450,"Girls"
"96","Qatar",449,449,"Boys"
"97","Kosovo",444,442,"Girls"
"98","Kosovo",444,447,"Boys"
"99","Iran, Islamic Rep. of",443,439,"Girls"
"100","Iran, Islamic Rep. of",443,447,"Boys"
"101","Chile",441,437,"Girls"
"102","Chile",441,445,"Boys"
"103","Oman",431,438,"Girls"
"104","Oman",431,424,"Boys"
"105","Saudi Arabia",398,412,"Girls"
"106","Saudi Arabia",398,385,"Boys"
"107","Morocco",383,385,"Girls"
"108","Morocco",383,382,"Boys"
"109","Kuwait",383,387,"Girls"
"110","Kuwait",383,380,"Boys"
"111","South Africa (5)",374,384,"Girls"
"112","South Africa (5)",374,364,"Boys"
"113","Pakistan",328,338,"Girls"
"114","Pakistan",328,319,"Boys"
"115","Philippines",297,315,"Girls"
"116","Philippines",297,280,"Boys"
"117","Moscow City, Russian Fed.",593,588,"Girls"
"118","Moscow City, Russian Fed.",593,597,"Boys"
"119","Dubai, UAE",544,540,"Girls"
"120","Dubai, UAE",544,548,"Boys"
"121","Quebec, Canada",532,523,"Girls"
"122","Quebec, Canada",532,541,"Boys"
"123","Madrid, Spain",518,510,"Girls"
"124","Madrid, Spain",518,526,"Boys"
"125","Ontario, Canada",512,502,"Girls"
"126","Ontario, Canada",512,521,"Boys"
"127","Abu Dhabi, UAE",441,438,"Girls"
"128","Abu Dhabi, UAE",441,443,"Boys"
