Country;Score;Subject;Gender;Class
Singapore;625;Math;Both;4
Hong Kong SAR;602;Math;Both;4
Korea, Rep. of;600;Math;Both;4
Chinese Taipei;599;Math;Both;4
Japan;593;Math;Both;4
Russian Federation;567;Math;Both;4
Northern Ireland;566;Math;Both;4
England;556;Math;Both;4
Ireland;548;Math;Both;4
Latvia;546;Math;Both;4
Norway (5);543;Math;Both;4
Lithuania;542;Math;Both;4
Austria;539;Math;Both;4
Netherlands;538;Math;Both;4
United States;535;Math;Both;4
Czech Republic;533;Math;Both;4
Belgium (Flemish);532;Math;Both;4
Cyprus;532;Math;Both;4
Finland;532;Math;Both;4
Portugal;525;Math;Both;4
Denmark;525;Math;Both;4
Hungary;523;Math;Both;4
Turkey (5);523;Math;Both;4
Sweden;521;Math;Both;4
Germany;521;Math;Both;4
Poland;520;Math;Both;4
Australia;516;Math;Both;4
Azerbaijan;515;Math;Both;4
Bulgaria;515;Math;Both;4
Italy;515;Math;Both;4
Kazakhstan;512;Math;Both;4
Canada;512;Math;Both;4
Slovak Republic;510;Math;Both;4
Croatia;509;Math;Both;4
Malta;509;Math;Both;4
Serbia;508;Math;Both;4
Spain;502;Math;Both;4
TIMSS Scale Centerpoint;500;Math;Both;4
Armenia;498;Math;Both;4
Albania;494;Math;Both;4
New Zealand;487;Math;Both;4
France;485;Math;Both;4
Georgia;482;Math;Both;4
United Arab Emirates;481;Math;Both;4
Bahrain;480;Math;Both;4
North Macedonia;472;Math;Both;4
Montenegro;453;Math;Both;4
Bosnia and Herzegovina;452;Math;Both;4
Qatar;449;Math;Both;4
Kosovo;444;Math;Both;4
Iran, Islamic Rep. of;443;Math;Both;4
Chile;441;Math;Both;4
Oman;431;Math;Both;4
Saudi Arabia;398;Math;Both;4
Morocco;383;Math;Both;4
Kuwait;383;Math;Both;4
South Africa (5);374;Math;Both;4
Pakistan;328;Math;Both;4
Philippines;297;Math;Both;4
Moscow City, Russian Fed.;593;Math;Both;4
Dubai, UAE;544;Math;Both;4
Quebec, Canada;532;Math;Both;4
Madrid, Spain;518;Math;Both;4
Ontario, Canada;512;Math;Both;4
Abu Dhabi, UAE;441;Math;Both;4
Singapore;616;Math;Both;8
Chinese Taipei;612;Math;Both;8
Korea, Rep. of;607;Math;Both;8
Japan;594;Math;Both;8
Hong Kong SAR;578;Math;Both;8
Russian Federation;543;Math;Both;8
Ireland;524;Math;Both;8
Lithuania;520;Math;Both;8
Israel;519;Math;Both;8
Australia;517;Math;Both;8
Hungary;517;Math;Both;8
United States;515;Math;Both;8
England;515;Math;Both;8
Finland;509;Math;Both;8
Norway (9);503;Math;Both;8
Sweden;503;Math;Both;8
Cyprus;501;Math;Both;8
Portugal;500;Math;Both;8
TIMSS Scale Centerpoint;500;Math;Both;8
Italy;497;Math;Both;8
Turkey;496;Math;Both;8
Kazakhstan;488;Math;Both;8
France;483;Math;Both;8
New Zealand;482;Math;Both;8
Bahrain;481;Math;Both;8
Romania;479;Math;Both;8
United Arab Emirates;473;Math;Both;8
Georgia;461;Math;Both;8
Malaysia;461;Math;Both;8
Iran, Islamic Rep. of;446;Math;Both;8
Qatar;443;Math;Both;8
Chile;441;Math;Both;8
Lebanon;429;Math;Both;8
Jordan;420;Math;Both;8
Egypt;413;Math;Both;8
Oman;411;Math;Both;8
Kuwait;403;Math;Both;8
Saudi Arabia;394;Math;Both;8
South Africa (9);389;Math;Both;8
Morocco;388;Math;Both;8
Moscow City, Russian Fed.;575;Math;Both;8
Quebec, Canada;543;Math;Both;8
Dubai, UAE;537;Math;Both;8
Ontario, Canada;530;Math;Both;8
Western Cape, RSA (9);441;Math;Both;8
