col0,country,country_code,geo_id_final,region,subnational_cases_7,subnational_cases_14,subnational_population,subnational_rate_14,national_cases_7,national_population,national_testing_rate,national_positivity_rate,subnational_testing_data,positivity_rate_combined,testing_rate_combined,colour,week
1,Austria,AT,AT11,Burgenland,944,2425,293433,826.423749203396,42693,8858775,2345.07592754077,20.5506751065008,FALSE,20.5506751065008,2345.07592754077,Red,2020-47
2,Austria,AT,AT12,Niederosterreich,5811,12280,1677542,732.023400904419,42693,8858775,2345.07592754077,20.5506751065008,FALSE,20.5506751065008,2345.07592754077,Red,2020-47
3,Austria,AT,AT13,Wien,5860,15255,1897491,803.956382401814,42693,8858775,2345.07592754077,20.5506751065008,FALSE,20.5506751065008,2345.07592754077,Red,2020-47
4,Austria,AT,AT21,Karnten,2924,6940,560939,1237.21117625981,42693,8858775,2345.07592754077,20.5506751065008,FALSE,20.5506751065008,2345.07592754077,Red,2020-47
5,Austria,AT,AT22,Steiermark,4951,10427,1243052,838.822511045395,42693,8858775,2345.07592754077,20.5506751065008,FALSE,20.5506751065008,2345.07592754077,Red,2020-47
6,Austria,AT,AT31,Oberosterreich,8958,19650,1482095,1325.82594233163,42693,8858775,2345.07592754077,20.5506751065008,FALSE,20.5506751065008,2345.07592754077,Red,2020-47
7,Austria,AT,AT32,Salzburg,3521,7587,555221,1366.48289599997,42693,8858775,2345.07592754077,20.5506751065008,FALSE,20.5506751065008,2345.07592754077,Red,2020-47
8,Austria,AT,AT33,Tirol,4781,10111,754705,1339.7287681942,42693,8858775,2345.07592754077,20.5506751065008,FALSE,20.5506751065008,2345.07592754077,Red,2020-47
9,Austria,AT,AT34,Vorarlberg,1927,4899,394297,1242.46443670634,42693,8858775,2345.07592754077,20.5506751065008,FALSE,20.5506751065008,2345.07592754077,Red,2020-47
10,Belgium,BE,BE1,Region De Bruxelles-Capitale/brussels Hoofdstedelijk Gewest,2194,5420,1215290,445.984086102906,21994,11455519,1716.68346060969,11.1840532912969,FALSE,11.1840532912969,1716.68346060969,Red,2020-47
11,Belgium,BE,BE2,Vlaams Gewest,10943,26123,6596233,396.02906689318,21994,11455519,1716.68346060969,11.1840532912969,FALSE,11.1840532912969,1716.68346060969,Red,2020-47
12,Belgium,BE,BE3,Region Wallonne,8526,24254,3643996,665.587997352357,21994,11455519,1716.68346060969,11.1840532912969,FALSE,11.1840532912969,1716.68346060969,Red,2020-47
13,Bulgaria,BG,BG31,Severozapaden,2051,3904,742304,525.930077165151,23262,7000039,829.081095119613,40.0820180577573,FALSE,40.0820180577573,829.081095119613,Red,2020-47
14,Bulgaria,BG,BG32,Severen Tsentralen,2460,5150,784168,656.747023596984,23262,7000039,829.081095119613,40.0820180577573,FALSE,40.0820180577573,829.081095119613,Red,2020-47
15,Bulgaria,BG,BG33,Severoiztochen,2868,5245,929035,564.564305973402,23262,7000039,829.081095119613,40.0820180577573,FALSE,40.0820180577573,829.081095119613,Red,2020-47
16,Bulgaria,BG,BG34,Yugoiztochen,3228,5988,1032079,580.188144512193,23262,7000039,829.081095119613,40.0820180577573,FALSE,40.0820180577573,829.081095119613,Red,2020-47
17,Bulgaria,BG,BG41,Yugozapaden,8903,18539,2102205,881.883546086133,23262,7000039,829.081095119613,40.0820180577573,FALSE,40.0820180577573,829.081095119613,Red,2020-47
18,Bulgaria,BG,BG42,Yuzhen Tsentralen,3558,6982,1410248,495.090225265343,23262,7000039,829.081095119613,40.0820180577573,FALSE,40.0820180577573,829.081095119613,Red,2020-47
19,Croatia,HR,HR03,Jadranska Hrvatska,6649,11173,1374071,813.131199188397,18566,4076246,1422.36263463981,32.0219389779058,TRUE,36.2659539653104,1334.28330850444,Red,2020-47
