Entity,Code,Date,parks
United States,USA,2020-06-20,59.429
United States,USA,2020-06-21,58.143
United States,USA,2020-06-22,57.857
United States,USA,2020-06-23,57.429
United States,USA,2020-06-24,57.286
United States,USA,2020-06-25,58
United States,USA,2020-06-26,57.571
United States,USA,2020-06-27,56.571
United States,USA,2020-06-28,56
United States,USA,2020-06-29,56.429
United States,USA,2020-06-30,55.857
United States,USA,2020-07-01,55.429
United States,USA,2020-07-02,57.286
United States,USA,2020-07-03,61.429
United States,USA,2020-07-04,64.143
United States,USA,2020-07-05,63.857
United States,USA,2020-07-06,64.143
United States,USA,2020-07-07,64.286
United States,USA,2020-07-08,64
United States,USA,2020-07-09,61.429
United States,USA,2020-07-10,55.286
United States,USA,2020-07-11,52.571
United States,USA,2020-07-12,54.143
United States,USA,2020-07-13,54.857
United States,USA,2020-07-14,56
United States,USA,2020-07-15,56.571
United States,USA,2020-07-16,57
United States,USA,2020-07-17,58.571
United States,USA,2020-07-18,60.286
United States,USA,2020-07-19,59.714
United States,USA,2020-07-20,59.429
United States,USA,2020-07-21,58.714
United States,USA,2020-07-22,57.429
United States,USA,2020-07-23,56.429
United States,USA,2020-07-24,56.571
United States,USA,2020-07-25,57
United States,USA,2020-07-26,57.714
United States,USA,2020-07-27,57.286
United States,USA,2020-07-28,57.143
United States,USA,2020-07-29,58.429
United States,USA,2020-07-30,58.571
United States,USA,2020-07-31,58.714
United States,USA,2020-08-01,57.571
United States,USA,2020-08-02,55.714
United States,USA,2020-08-03,55.571
United States,USA,2020-08-04,54.857
United States,USA,2020-08-05,55.571
United States,USA,2020-08-06,56.429
United States,USA,2020-08-07,56.571
United States,USA,2020-08-08,58
United States,USA,2020-08-09,60
United States,USA,2020-08-10,60
United States,USA,2020-08-11,61.286
United States,USA,2020-08-12,59.857
United States,USA,2020-08-13,58.571
United States,USA,2020-08-14,58
United States,USA,2020-08-15,56.286
United States,USA,2020-08-16,53.714
United States,USA,2020-08-17,53
United States,USA,2020-08-18,52
