"","Country","Score"
"1","Singapore",625
"2","Hong Kong SAR",602
"3","Korea, Rep. of",600
"4","Chinese Taipei",599
"5","Japan",593
"6","Russian Federation",567
"7","Northern Ireland",566
"8","England",556
"9","Ireland",548
"10","Latvia",546
"11","Norway (5)",543
"12","Lithuania",542
"13","Austria",539
"14","Netherlands",538
"15","United States",535
"16","Czech Republic",533
"17","Belgium (Flemish)",532
"18","Cyprus",532
"19","Finland",532
"20","Portugal",525
"21","Denmark",525
"22","Hungary",523
"23","Turkey (5)",523
"24","Sweden",521
"25","Germany",521
"26","Poland",520
"27","Australia",516
"28","Azerbaijan",515
"29","Bulgaria",515
"30","Italy",515
"31","Kazakhstan",512
"32","Canada",512
"33","Slovak Republic",510
"34","Croatia",509
"35","Malta",509
"36","Serbia",508
"37","Spain",502
"38","TIMSS Scale Centerpoint",500
"39","Armenia",498
"40","Albania",494
"41","New Zealand",487
"42","France",485
"43","Georgia",482
"44","United Arab Emirates",481
"45","Bahrain",480
"46","North Macedonia",472
"47","Montenegro",453
"48","Bosnia and Herzegovina",452
"49","Qatar",449
"50","Kosovo",444
"51","Iran, Islamic Rep. of",443
"52","Chile",441
"53","Oman",431
"54","Saudi Arabia",398
"55","Morocco",383
"56","Kuwait",383
"57","South Africa (5)",374
"58","Pakistan",328
"59","Philippines",297
"60","Moscow City, Russian Fed.",593
"61","Dubai, UAE",544
"62","Quebec, Canada",532
"63","Madrid, Spain",518
"64","Ontario, Canada",512
"65","Abu Dhabi, UAE",441
