number-of-people	living-voivodeship	living-county	living-municipality	working-voivodeship	working-county	working-municipality
735	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat bolesławiecki	Bolesławiec
58	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat bolesławiecki	Gromadka
81	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - miasto
102	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski
46	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat bolesławiecki	Osiecznica
154	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka
23	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat lubański	Lubań
58	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat lubiński	Lubin
16	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat lwówecki	Lwówek Śląski - miasto
33	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat lwówecki	Lwówek Śląski - obszar wiejski
81	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat polkowicki	Polkowice - miasto
46	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat polkowicki	Polkowice - obszar wiejski
68	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat wrocławski	Kobierzyce
31	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat zgorzelecki	Zgorzelec
23	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat m.Jelenia Góra	Jelenia Góra
76	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat m.Legnica	Legnica
387	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat m.Wrocław	Wrocław
15	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Lubuskie	Powiat żagański	Żagań
11	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Łódzkie	Powiat m.Łódź	Łódź
25	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Małopolskie	Powiat m.Kraków	Kraków
159	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
10	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Śląskie	Powiat cieszyński	Cieszyn
13	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Wielkopolskie	Powiat m.Poznań	Poznań
917	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat bolesławiecki	Bolesławiec
24	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat bolesławiecki	Gromadka
19	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - miasto
19	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - obszar wiejski
11	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat bolesławiecki	Osiecznica
39	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka
10	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat lubiński	Lubin
23	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat lwówecki	Lwówek Śląski - obszar wiejski
10	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat polkowicki	Polkowice - miasto
33	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat wrocławski	Kobierzyce
15	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat zgorzelecki	Zgorzelec
18	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat m.Jelenia Góra	Jelenia Góra
32	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat m.Legnica	Legnica
155	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Dolnośląskie	Powiat m.Wrocław	Wrocław
10	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Lubuskie	Powiat m.Zielona Góra	Zielona Góra
37	Dolnośląskie	Powiat bolesławiecki	Bolesławiec	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
169	Dolnośląskie	Powiat bolesławiecki	Gromadka	Dolnośląskie	Powiat bolesławiecki	Bolesławiec
124	Dolnośląskie	Powiat bolesławiecki	Gromadka	Dolnośląskie	Powiat bolesławiecki	Bolesławiec
22	Dolnośląskie	Powiat bolesławiecki	Gromadka	Dolnośląskie	Powiat bolesławiecki	Warta Bolesławiecka
49	Dolnośląskie	Powiat bolesławiecki	Gromadka	Dolnośląskie	Powiat lubiński	Lubin
22	Dolnośląskie	Powiat bolesławiecki	Gromadka	Dolnośląskie	Powiat polkowicki	Chocianów - miasto
13	Dolnośląskie	Powiat bolesławiecki	Gromadka	Dolnośląskie	Powiat polkowicki	Chocianów - obszar wiejski
64	Dolnośląskie	Powiat bolesławiecki	Gromadka	Dolnośląskie	Powiat polkowicki	Polkowice - miasto
11	Dolnośląskie	Powiat bolesławiecki	Gromadka	Dolnośląskie	Powiat polkowicki	Polkowice - obszar wiejski
14	Dolnośląskie	Powiat bolesławiecki	Gromadka	Dolnośląskie	Powiat wrocławski	Kobierzyce
12	Dolnośląskie	Powiat bolesławiecki	Gromadka	Dolnośląskie	Powiat zgorzelecki	Sulików
18	Dolnośląskie	Powiat bolesławiecki	Gromadka	Dolnośląskie	Powiat m.Legnica	Legnica
73	Dolnośląskie	Powiat bolesławiecki	Gromadka	Dolnośląskie	Powiat m.Wrocław	Wrocław
12	Dolnośląskie	Powiat bolesławiecki	Gromadka	Lubuskie	Powiat zielonogórski	Nowogród Bobrzański - miasto
16	Dolnośląskie	Powiat bolesławiecki	Gromadka	Wielkopolskie	Powiat rawicki	Rawicz - obszar wiejski
137	Dolnośląskie	Powiat bolesławiecki	Nowogrodziec - miasto	Dolnośląskie	Powiat bolesławiecki	Bolesławiec
