date	voivodeship	region	infected_total
10.06.2020	Mazowieckie	Powiat białobrzeski	201
11.06.2020	Mazowieckie	Powiat białobrzeski	202
12.06.2020	Mazowieckie	Powiat białobrzeski	205
13.06.2020	Mazowieckie	Powiat białobrzeski	205
14.06.2020	Mazowieckie	Powiat białobrzeski	206
15.06.2020	Mazowieckie	Powiat białobrzeski	207
16.06.2020	Mazowieckie	Powiat białobrzeski	208
17.06.2020	Mazowieckie	Powiat białobrzeski	209
18.06.2020	Mazowieckie	Powiat białobrzeski	210
19.06.2020	Mazowieckie	Powiat białobrzeski	210
20.06.2020	Mazowieckie	Powiat białobrzeski	210
21.06.2020	Mazowieckie	Powiat białobrzeski	210
22.06.2020	Mazowieckie	Powiat białobrzeski	211
23.06.2020	Mazowieckie	Powiat białobrzeski	211
24.06.2020	Mazowieckie	Powiat białobrzeski	213
25.06.2020	Mazowieckie	Powiat białobrzeski	213
26.06.2020	Mazowieckie	Powiat białobrzeski	213
27.06.2020	Mazowieckie	Powiat białobrzeski	213
28.06.2020	Mazowieckie	Powiat białobrzeski	213
29.06.2020	Mazowieckie	Powiat białobrzeski	213
30.06.2020	Mazowieckie	Powiat białobrzeski	213
01.07.2020	Mazowieckie	Powiat białobrzeski	213
02.07.2020	Mazowieckie	Powiat białobrzeski	214
03.07.2020	Mazowieckie	Powiat białobrzeski	214
04.07.2020	Mazowieckie	Powiat białobrzeski	214
05.07.2020	Mazowieckie	Powiat białobrzeski	214
06.07.2020	Mazowieckie	Powiat białobrzeski	214
07.07.2020	Mazowieckie	Powiat białobrzeski	214
08.07.2020	Mazowieckie	Powiat białobrzeski	216
09.07.2020	Mazowieckie	Powiat białobrzeski	216
10.07.2020	Mazowieckie	Powiat białobrzeski	216
11.07.2020	Mazowieckie	Powiat białobrzeski	216
12.07.2020	Mazowieckie	Powiat białobrzeski	216
13.07.2020	Mazowieckie	Powiat białobrzeski	216
14.07.2020	Mazowieckie	Powiat białobrzeski	216
15.07.2020	Mazowieckie	Powiat białobrzeski	216
16.07.2020	Mazowieckie	Powiat białobrzeski	216
17.07.2020	Mazowieckie	Powiat białobrzeski	216
18.07.2020	Mazowieckie	Powiat białobrzeski	216
19.07.2020	Mazowieckie	Powiat białobrzeski	216
20.07.2020	Mazowieckie	Powiat białobrzeski	216
21.07.2020	Mazowieckie	Powiat białobrzeski	216
22.07.2020	Mazowieckie	Powiat białobrzeski	216
23.07.2020	Mazowieckie	Powiat białobrzeski	216
24.07.2020	Mazowieckie	Powiat białobrzeski	216
25.07.2020	Mazowieckie	Powiat białobrzeski	216
26.07.2020	Mazowieckie	Powiat białobrzeski	217
27.07.2020	Mazowieckie	Powiat białobrzeski	217
28.07.2020	Mazowieckie	Powiat białobrzeski	219
29.07.2020	Mazowieckie	Powiat białobrzeski	219
30.07.2020	Mazowieckie	Powiat białobrzeski	220
31.07.2020	Mazowieckie	Powiat białobrzeski	220
01.08.2020	Mazowieckie	Powiat białobrzeski	220
02.08.2020	Mazowieckie	Powiat białobrzeski	220
03.08.2020	Mazowieckie	Powiat białobrzeski	223
04.08.2020	Mazowieckie	Powiat białobrzeski	223
05.08.2020	Mazowieckie	Powiat białobrzeski	223
06.08.2020	Mazowieckie	Powiat białobrzeski	224
07.08.2020	Mazowieckie	Powiat białobrzeski	224
08.08.2020	Mazowieckie	Powiat białobrzeski	224
09.08.2020	Mazowieckie	Powiat białobrzeski	224
10.08.2020	Mazowieckie	Powiat białobrzeski	224
11.08.2020	Mazowieckie	Powiat białobrzeski	224
12.08.2020	Mazowieckie	Powiat białobrzeski	224
13.08.2020	Mazowieckie	Powiat białobrzeski	224
14.08.2020	Mazowieckie	Powiat białobrzeski	224
15.08.2020	Mazowieckie	Powiat białobrzeski	224
16.08.2020	Mazowieckie	Powiat białobrzeski	224
17.08.2020	Mazowieckie	Powiat białobrzeski	224
18.08.2020	Mazowieckie	Powiat białobrzeski	224
19.08.2020	Mazowieckie	Powiat białobrzeski	224
20.08.2020	Mazowieckie	Powiat białobrzeski	224
21.08.2020	Mazowieckie	Powiat białobrzeski	224
22.08.2020	Mazowieckie	Powiat białobrzeski	224
23.08.2020	Mazowieckie	Powiat białobrzeski	224
24.08.2020	Mazowieckie	Powiat białobrzeski	224
25.08.2020	Mazowieckie	Powiat białobrzeski	224
26.08.2020	Mazowieckie	Powiat białobrzeski	224
27.08.2020	Mazowieckie	Powiat białobrzeski	224
28.08.2020	Mazowieckie	Powiat białobrzeski	224
29.08.2020	Mazowieckie	Powiat białobrzeski	224
30.08.2020	Mazowieckie	Powiat białobrzeski	224
31.08.2020	Mazowieckie	Powiat białobrzeski	224
01.09.2020	Mazowieckie	Powiat białobrzeski	223
02.09.2020	Mazowieckie	Powiat białobrzeski	223
03.09.2020	Mazowieckie	Powiat białobrzeski	223
04.09.2020	Mazowieckie	Powiat białobrzeski	223
05.09.2020	Mazowieckie	Powiat białobrzeski	223
06.09.2020	Mazowieckie	Powiat białobrzeski	223
07.09.2020	Mazowieckie	Powiat białobrzeski	223
08.09.2020	Mazowieckie	Powiat białobrzeski	223
09.09.2020	Mazowieckie	Powiat białobrzeski	223
10.09.2020	Mazowieckie	Powiat białobrzeski	223
11.09.2020	Mazowieckie	Powiat białobrzeski	223
12.09.2020	Mazowieckie	Powiat białobrzeski	223
13.09.2020	Mazowieckie	Powiat białobrzeski	223
14.09.2020	Mazowieckie	Powiat białobrzeski	223
15.09.2020	Mazowieckie	Powiat białobrzeski	223
16.09.2020	Mazowieckie	Powiat białobrzeski	223
17.09.2020	Mazowieckie	Powiat białobrzeski	223
18.09.2020	Mazowieckie	Powiat białobrzeski	224
19.09.2020	Mazowieckie	Powiat białobrzeski	224
20.09.2020	Mazowieckie	Powiat białobrzeski	224
21.09.2020	Mazowieckie	Powiat białobrzeski	224
22.09.2020	Mazowieckie	Powiat białobrzeski	224
23.09.2020	Mazowieckie	Powiat białobrzeski	224
24.09.2020	Mazowieckie	Powiat białobrzeski	227
25.09.2020	Mazowieckie	Powiat białobrzeski	227
26.09.2020	Mazowieckie	Powiat białobrzeski	227
27.09.2020	Mazowieckie	Powiat białobrzeski	227
28.09.2020	Mazowieckie	Powiat białobrzeski	227
29.09.2020	Mazowieckie	Powiat białobrzeski	228
30.09.2020	Mazowieckie	Powiat białobrzeski	228
01.10.2020	Mazowieckie	Powiat białobrzeski	229
02.10.2020	Mazowieckie	Powiat białobrzeski	231
03.10.2020	Mazowieckie	Powiat białobrzeski	231
04.10.2020	Mazowieckie	Powiat białobrzeski	231
05.10.2020	Mazowieckie	Powiat białobrzeski	231
06.10.2020	Mazowieckie	Powiat białobrzeski	231
07.10.2020	Mazowieckie	Powiat białobrzeski	233
08.10.2020	Mazowieckie	Powiat białobrzeski	235
09.10.2020	Mazowieckie	Powiat białobrzeski	238
10.10.2020	Mazowieckie	Powiat białobrzeski	242
11.10.2020	Mazowieckie	Powiat białobrzeski	243
12.10.2020	Mazowieckie	Powiat białobrzeski	244
13.10.2020	Mazowieckie	Powiat białobrzeski	246
14.10.2020	Mazowieckie	Powiat białobrzeski	251
15.10.2020	Mazowieckie	Powiat białobrzeski	255
16.10.2020	Mazowieckie	Powiat białobrzeski	259
17.10.2020	Mazowieckie	Powiat białobrzeski	262
18.10.2020	Mazowieckie	Powiat białobrzeski	273
19.10.2020	Mazowieckie	Powiat białobrzeski	276
20.10.2020	Mazowieckie	Powiat białobrzeski	284
21.10.2020	Mazowieckie	Powiat białobrzeski	287
22.10.2020	Mazowieckie	Powiat białobrzeski	289
23.10.2020	Mazowieckie	Powiat białobrzeski	295
24.10.2020	Mazowieckie	Powiat białobrzeski	296
25.10.2020	Mazowieckie	Powiat białobrzeski	302
26.10.2020	Mazowieckie	Powiat białobrzeski	308
27.10.2020	Mazowieckie	Powiat białobrzeski	324
28.10.2020	Mazowieckie	Powiat białobrzeski	349
29.10.2020	Mazowieckie	Powiat białobrzeski	368
30.10.2020	Mazowieckie	Powiat białobrzeski	378
31.10.2020	Mazowieckie	Powiat białobrzeski	386
01.11.2020	Mazowieckie	Powiat białobrzeski	412
02.11.2020	Mazowieckie	Powiat białobrzeski	440
03.11.2020	Mazowieckie	Powiat białobrzeski	447
04.11.2020	Mazowieckie	Powiat białobrzeski	476
05.11.2020	Mazowieckie	Powiat białobrzeski	494
06.11.2020	Mazowieckie	Powiat białobrzeski	520
07.11.2020	Mazowieckie	Powiat białobrzeski	536
08.11.2020	Mazowieckie	Powiat białobrzeski	555
09.11.2020	Mazowieckie	Powiat białobrzeski	568
10.11.2020	Mazowieckie	Powiat białobrzeski	575
11.11.2020	Mazowieckie	Powiat białobrzeski	585
12.11.2020	Mazowieckie	Powiat białobrzeski	604
