id_living_municipality	id_working_municipality	number_of_people	living_municipality	living_voivodeship	working_municipality	working_voivodeship
0201011	0201022	189	Bolesławiec	Dolnośląskie	Bolesławiec	Dolnośląskie
0201011	0201032	56	Bolesławiec	Dolnośląskie	Gromadka	Dolnośląskie
0201011	0201044	65	Bolesławiec	Dolnośląskie	Nowogrodziec - miasto	Dolnośląskie
0201011	0201045	178	Bolesławiec	Dolnośląskie	Nowogrodziec - obszar wiejski	Dolnośląskie
0201011	0201052	93	Bolesławiec	Dolnośląskie	Osiecznica	Dolnośląskie
0201011	0201062	124	Bolesławiec	Dolnośląskie	Warta Bolesławiecka	Dolnośląskie
0201011	0209011	15	Bolesławiec	Dolnośląskie	Chojnów	Dolnośląskie
0201011	0210011	16	Bolesławiec	Dolnośląskie	Lubań	Dolnośląskie
0201011	0211011	33	Bolesławiec	Dolnośląskie	Lubin	Dolnośląskie
0201011	0212034	24	Bolesławiec	Dolnośląskie	Lwówek Śląski - miasto	Dolnośląskie
0201011	0212035	62	Bolesławiec	Dolnośląskie	Lwówek Śląski - obszar wiejski	Dolnośląskie
0201011	0216044	45	Bolesławiec	Dolnośląskie	Polkowice - miasto	Dolnośląskie
0201011	0216045	31	Bolesławiec	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
0201011	0223052	10	Bolesławiec	Dolnośląskie	Kobierzyce	Dolnośląskie
0201011	0225021	29	Bolesławiec	Dolnośląskie	Zgorzelec	Dolnośląskie
0201011	0261011	14	Bolesławiec	Dolnośląskie	Jelenia Góra	Dolnośląskie
0201011	0262011	64	Bolesławiec	Dolnośląskie	Legnica	Dolnośląskie
0201011	0264011	157	Bolesławiec	Dolnośląskie	Wrocław	Dolnośląskie
0201011	0265011	10	Bolesławiec	Dolnośląskie	Wałbrzych	Dolnośląskie
0201011	0804011	17	Bolesławiec	Dolnośląskie	Nowa Sól	Lubuskie
0201011	0811021	10	Bolesławiec	Dolnośląskie	Żary	Lubuskie
0201011	1465011	134	Bolesławiec	Dolnośląskie	Warszawa	Mazowieckie
0201022	0201011	1331	Bolesławiec	Dolnośląskie	Bolesławiec	Dolnośląskie
0201022	0201032	36	Bolesławiec	Dolnośląskie	Gromadka	Dolnośląskie
0201022	0201044	23	Bolesławiec	Dolnośląskie	Nowogrodziec - miasto	Dolnośląskie
0201022	0201045	49	Bolesławiec	Dolnośląskie	Nowogrodziec - obszar wiejski	Dolnośląskie
0201022	0201052	79	Bolesławiec	Dolnośląskie	Osiecznica	Dolnośląskie
