id_living_municipality	id_working_municipality	number_of_people	living_municipality	living_voivodeship	working_municipality	working_voivodeship
0201022	0201062	54	Bolesławiec	Dolnośląskie	Warta Bolesławiecka	Dolnośląskie
0201022	0209022	10	Bolesławiec	Dolnośląskie	Chojnów	Dolnośląskie
0201022	0211011	12	Bolesławiec	Dolnośląskie	Lubin	Dolnośląskie
0201022	0212035	27	Bolesławiec	Dolnośląskie	Lwówek Śląski - obszar wiejski	Dolnośląskie
0201022	0216044	14	Bolesławiec	Dolnośląskie	Polkowice - miasto	Dolnośląskie
0201022	0223052	10	Bolesławiec	Dolnośląskie	Kobierzyce	Dolnośląskie
0201022	0225021	26	Bolesławiec	Dolnośląskie	Zgorzelec	Dolnośląskie
0201022	0261011	14	Bolesławiec	Dolnośląskie	Jelenia Góra	Dolnośląskie
0201022	0262011	25	Bolesławiec	Dolnośląskie	Legnica	Dolnośląskie
0201022	0264011	180	Bolesławiec	Dolnośląskie	Wrocław	Dolnośląskie
0201022	1061011	14	Bolesławiec	Dolnośląskie	Łódź	Łódzkie
0201022	1465011	33	Bolesławiec	Dolnośląskie	Warszawa	Mazowieckie
0201032	0201011	288	Gromadka	Dolnośląskie	Bolesławiec	Dolnośląskie
0201032	0201022	52	Gromadka	Dolnośląskie	Bolesławiec	Dolnośląskie
0201032	0201062	15	Gromadka	Dolnośląskie	Warta Bolesławiecka	Dolnośląskie
0201032	0209011	10	Gromadka	Dolnośląskie	Chojnów	Dolnośląskie
0201032	0211011	27	Gromadka	Dolnośląskie	Lubin	Dolnośląskie
0201032	0216014	26	Gromadka	Dolnośląskie	Chocianów - miasto	Dolnośląskie
0201032	0216044	65	Gromadka	Dolnośląskie	Polkowice - miasto	Dolnośląskie
0201032	0216045	17	Gromadka	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
0201032	0225021	12	Gromadka	Dolnośląskie	Zgorzelec	Dolnośląskie
0201032	0225052	13	Gromadka	Dolnośląskie	Sulików	Dolnośląskie
0201032	0262011	20	Gromadka	Dolnośląskie	Legnica	Dolnośląskie
0201032	0264011	76	Gromadka	Dolnośląskie	Wrocław	Dolnośląskie
0201032	1061011	13	Gromadka	Dolnośląskie	Łódź	Łódzkie
0201032	1465011	14	Gromadka	Dolnośląskie	Warszawa	Mazowieckie
0201032	3022055	12	Gromadka	Dolnośląskie	Rawicz - obszar wiejski	Wielkopolskie
0201044	0201011	166	Nowogrodziec - miasto	Dolnośląskie	Bolesławiec	Dolnośląskie
0201044	0201022	18	Nowogrodziec - miasto	Dolnośląskie	Bolesławiec	Dolnośląskie
0201044	0201045	123	Nowogrodziec - miasto	Dolnośląskie	Nowogrodziec - obszar wiejski	Dolnośląskie
0201044	0201052	12	Nowogrodziec - miasto	Dolnośląskie	Osiecznica	Dolnośląskie
0201044	0210011	28	Nowogrodziec - miasto	Dolnośląskie	Lubań	Dolnośląskie
0201044	0264011	35	Nowogrodziec - miasto	Dolnośląskie	Wrocław	Dolnośląskie
0201044	1465011	14	Nowogrodziec - miasto	Dolnośląskie	Warszawa	Mazowieckie
0201045	0201011	482	Nowogrodziec - obszar wiejski	Dolnośląskie	Bolesławiec	Dolnośląskie
0201045	0201022	38	Nowogrodziec - obszar wiejski	Dolnośląskie	Bolesławiec	Dolnośląskie
0201045	0201044	198	Nowogrodziec - obszar wiejski	Dolnośląskie	Nowogrodziec - miasto	Dolnośląskie
0201045	0201052	44	Nowogrodziec - obszar wiejski	Dolnośląskie	Osiecznica	Dolnośląskie
0201045	0201062	21	Nowogrodziec - obszar wiejski	Dolnośląskie	Warta Bolesławiecka	Dolnośląskie
0201045	0210011	58	Nowogrodziec - obszar wiejski	Dolnośląskie	Lubań	Dolnośląskie
0201045	0210042	11	Nowogrodziec - obszar wiejski	Dolnośląskie	Lubań	Dolnośląskie
0201045	0225021	19	Nowogrodziec - obszar wiejski	Dolnośląskie	Zgorzelec	Dolnośląskie
0201045	0225064	11	Nowogrodziec - obszar wiejski	Dolnośląskie	Węgliniec - miasto	Dolnośląskie
0201045	0261011	11	Nowogrodziec - obszar wiejski	Dolnośląskie	Jelenia Góra	Dolnośląskie
0201045	0262011	15	Nowogrodziec - obszar wiejski	Dolnośląskie	Legnica	Dolnośląskie
0201045	0264011	156	Nowogrodziec - obszar wiejski	Dolnośląskie	Wrocław	Dolnośląskie
0201045	0265011	10	Nowogrodziec - obszar wiejski	Dolnośląskie	Wałbrzych	Dolnośląskie
0201045	1061011	11	Nowogrodziec - obszar wiejski	Dolnośląskie	Łódź	Łódzkie
0201045	1465011	42	Nowogrodziec - obszar wiejski	Dolnośląskie	Warszawa	Mazowieckie
0201045	2477011	12	Nowogrodziec - obszar wiejski	Dolnośląskie	Tychy	Śląskie
0201052	0201011	199	Osiecznica	Dolnośląskie	Bolesławiec	Dolnośląskie
0201052	0201022	30	Osiecznica	Dolnośląskie	Bolesławiec	Dolnośląskie
0201052	0201045	26	Osiecznica	Dolnośląskie	Nowogrodziec - obszar wiejski	Dolnośląskie
0201052	0262011	11	Osiecznica	Dolnośląskie	Legnica	Dolnośląskie
0201052	0264011	47	Osiecznica	Dolnośląskie	Wrocław	Dolnośląskie
0201062	0201011	621	Warta Bolesławiecka	Dolnośląskie	Bolesławiec	Dolnośląskie
0201062	0201022	46	Warta Bolesławiecka	Dolnośląskie	Bolesławiec	Dolnośląskie
0201062	0201032	91	Warta Bolesławiecka	Dolnośląskie	Gromadka	Dolnośląskie
0201062	0201045	10	Warta Bolesławiecka	Dolnośląskie	Nowogrodziec - obszar wiejski	Dolnośląskie
0201062	0201052	21	Warta Bolesławiecka	Dolnośląskie	Osiecznica	Dolnośląskie
0201062	0209011	11	Warta Bolesławiecka	Dolnośląskie	Chojnów	Dolnośląskie
0201062	0209022	16	Warta Bolesławiecka	Dolnośląskie	Chojnów	Dolnośląskie
0201062	0211011	23	Warta Bolesławiecka	Dolnośląskie	Lubin	Dolnośląskie
0201062	0212035	10	Warta Bolesławiecka	Dolnośląskie	Lwówek Śląski - obszar wiejski	Dolnośląskie
0201062	0216044	41	Warta Bolesławiecka	Dolnośląskie	Polkowice - miasto	Dolnośląskie
0201062	0216045	17	Warta Bolesławiecka	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
0201062	0225021	14	Warta Bolesławiecka	Dolnośląskie	Zgorzelec	Dolnośląskie
0201062	0225052	14	Warta Bolesławiecka	Dolnośląskie	Sulików	Dolnośląskie
0201062	0226021	12	Warta Bolesławiecka	Dolnośląskie	Złotoryja	Dolnośląskie
0201062	0262011	20	Warta Bolesławiecka	Dolnośląskie	Legnica	Dolnośląskie
0201062	0264011	88	Warta Bolesławiecka	Dolnośląskie	Wrocław	Dolnośląskie
0201062	1061011	14	Warta Bolesławiecka	Dolnośląskie	Łódź	Łódzkie
0201062	1465011	38	Warta Bolesławiecka	Dolnośląskie	Warszawa	Mazowieckie
0201062	3064011	13	Warta Bolesławiecka	Dolnośląskie	Poznań	Wielkopolskie
0202011	0202021	1641	Bielawa	Dolnośląskie	Dzierżoniów	Dolnośląskie
0202011	0202034	168	Bielawa	Dolnośląskie	Pieszyce - miasto	Dolnośląskie
0202011	0202041	34	Bielawa	Dolnośląskie	Piława Górna	Dolnośląskie
0202011	0202052	72	Bielawa	Dolnośląskie	Dzierżoniów	Dolnośląskie
0202011	0202062	10	Bielawa	Dolnośląskie	Łagiewniki	Dolnośląskie
0202011	0219011	148	Bielawa	Dolnośląskie	Świdnica	Dolnośląskie
0202011	0219072	25	Bielawa	Dolnośląskie	Świdnica	Dolnośląskie
0202011	0221065	11	Bielawa	Dolnośląskie	Mieroszów - obszar wiejski	Dolnośląskie
0202011	0223045	33	Bielawa	Dolnośląskie	Kąty Wrocławskie - obszar wiejski	Dolnośląskie
0202011	0223052	511	Bielawa	Dolnośląskie	Kobierzyce	Dolnośląskie
0202011	0224054	21	Bielawa	Dolnośląskie	Ząbkowice Śląskie - miasto	Dolnośląskie
0202011	0262011	14	Bielawa	Dolnośląskie	Legnica	Dolnośląskie
0202011	0264011	542	Bielawa	Dolnośląskie	Wrocław	Dolnośląskie
0202011	0265011	118	Bielawa	Dolnośląskie	Wałbrzych	Dolnośląskie
0202011	1261011	11	Bielawa	Dolnośląskie	Kraków	Małopolskie
0202011	1438025	17	Bielawa	Dolnośląskie	Mszczonów - obszar wiejski	Mazowieckie
0202011	1465011	52	Bielawa	Dolnośląskie	Warszawa	Mazowieckie
0202021	0202011	427	Dzierżoniów	Dolnośląskie	Bielawa	Dolnośląskie
0202021	0202034	216	Dzierżoniów	Dolnośląskie	Pieszyce - miasto	Dolnośląskie
0202021	0202041	57	Dzierżoniów	Dolnośląskie	Piława Górna	Dolnośląskie
0202021	0202052	116	Dzierżoniów	Dolnośląskie	Dzierżoniów	Dolnośląskie
0202021	0202062	25	Dzierżoniów	Dolnośląskie	Łagiewniki	Dolnośląskie
0202021	0202074	24	Dzierżoniów	Dolnośląskie	Niemcza - miasto	Dolnośląskie
0202021	0202075	12	Dzierżoniów	Dolnośląskie	Niemcza - obszar wiejski	Dolnośląskie
0202021	0217044	16	Dzierżoniów	Dolnośląskie	Strzelin - miasto	Dolnośląskie
0202021	0219011	226	Dzierżoniów	Dolnośląskie	Świdnica	Dolnośląskie
0202021	0219021	11	Dzierżoniów	Dolnośląskie	Świebodzice	Dolnośląskie
0202021	0219072	29	Dzierżoniów	Dolnośląskie	Świdnica	Dolnośląskie
0202021	0221065	11	Dzierżoniów	Dolnośląskie	Mieroszów - obszar wiejski	Dolnośląskie
0202021	0223045	50	Dzierżoniów	Dolnośląskie	Kąty Wrocławskie - obszar wiejski	Dolnośląskie
0202021	0223052	460	Dzierżoniów	Dolnośląskie	Kobierzyce	Dolnośląskie
0202021	0224054	18	Dzierżoniów	Dolnośląskie	Ząbkowice Śląskie - miasto	Dolnośląskie
0202021	0261011	10	Dzierżoniów	Dolnośląskie	Jelenia Góra	Dolnośląskie
0202021	0262011	13	Dzierżoniów	Dolnośląskie	Legnica	Dolnośląskie
0202021	0264011	507	Dzierżoniów	Dolnośląskie	Wrocław	Dolnośląskie
0202021	0265011	43	Dzierżoniów	Dolnośląskie	Wałbrzych	Dolnośląskie
0202021	1261011	13	Dzierżoniów	Dolnośląskie	Kraków	Małopolskie
0202021	1465011	52	Dzierżoniów	Dolnośląskie	Warszawa	Mazowieckie
0202021	1661011	14	Dzierżoniów	Dolnośląskie	Opole	Opolskie
0202034	0202011	151	Pieszyce - miasto	Dolnośląskie	Bielawa	Dolnośląskie
0202034	0202021	549	Pieszyce - miasto	Dolnośląskie	Dzierżoniów	Dolnośląskie
0202034	0202052	21	Pieszyce - miasto	Dolnośląskie	Dzierżoniów	Dolnośląskie
0202034	0219011	54	Pieszyce - miasto	Dolnośląskie	Świdnica	Dolnośląskie
0202034	0219072	13	Pieszyce - miasto	Dolnośląskie	Świdnica	Dolnośląskie
0202034	0223052	59	Pieszyce - miasto	Dolnośląskie	Kobierzyce	Dolnośląskie
0202034	0264011	136	Pieszyce - miasto	Dolnośląskie	Wrocław	Dolnośląskie
0202034	0265011	25	Pieszyce - miasto	Dolnośląskie	Wałbrzych	Dolnośląskie
0202034	1465011	16	Pieszyce - miasto	Dolnośląskie	Warszawa	Mazowieckie
0202035	0202021	32	Pieszyce - obszar wiejski	Dolnośląskie	Dzierżoniów	Dolnośląskie
0202035	0264011	10	Pieszyce - obszar wiejski	Dolnośląskie	Wrocław	Dolnośląskie
0202041	0202011	47	Piława Górna	Dolnośląskie	Bielawa	Dolnośląskie
0202041	0202021	337	Piława Górna	Dolnośląskie	Dzierżoniów	Dolnośląskie
0202041	0202034	19	Piława Górna	Dolnośląskie	Pieszyce - miasto	Dolnośląskie
0202041	0202052	16	Piława Górna	Dolnośląskie	Dzierżoniów	Dolnośląskie
0202041	0202062	11	Piława Górna	Dolnośląskie	Łagiewniki	Dolnośląskie
0202041	0202075	11	Piława Górna	Dolnośląskie	Niemcza - obszar wiejski	Dolnośląskie
0202041	0219011	13	Piława Górna	Dolnośląskie	Świdnica	Dolnośląskie
0202041	0223052	159	Piława Górna	Dolnośląskie	Kobierzyce	Dolnośląskie
0202041	0224054	26	Piława Górna	Dolnośląskie	Ząbkowice Śląskie - miasto	Dolnośląskie
0202041	0226021	13	Piława Górna	Dolnośląskie	Złotoryja	Dolnośląskie
0202041	0264011	137	Piława Górna	Dolnośląskie	Wrocław	Dolnośląskie
0202041	0265011	11	Piława Górna	Dolnośląskie	Wałbrzych	Dolnośląskie
0202052	0202011	171	Dzierżoniów	Dolnośląskie	Bielawa	Dolnośląskie
0202052	0202021	655	Dzierżoniów	Dolnośląskie	Dzierżoniów	Dolnośląskie
0202052	0202034	51	Dzierżoniów	Dolnośląskie	Pieszyce - miasto	Dolnośląskie
0202052	0202041	11	Dzierżoniów	Dolnośląskie	Piława Górna	Dolnośląskie
0202052	0202062	15	Dzierżoniów	Dolnośląskie	Łagiewniki	Dolnośląskie
0202052	0202075	18	Dzierżoniów	Dolnośląskie	Niemcza - obszar wiejski	Dolnośląskie
0202052	0219011	153	Dzierżoniów	Dolnośląskie	Świdnica	Dolnośląskie
0202052	0219072	20	Dzierżoniów	Dolnośląskie	Świdnica	Dolnośląskie
0202052	0223052	73	Dzierżoniów	Dolnośląskie	Kobierzyce	Dolnośląskie
0202052	0264011	199	Dzierżoniów	Dolnośląskie	Wrocław	Dolnośląskie
0202052	0265011	18	Dzierżoniów	Dolnośląskie	Wałbrzych	Dolnośląskie
0202052	1465011	29	Dzierżoniów	Dolnośląskie	Warszawa	Mazowieckie
0202062	0202011	11	Łagiewniki	Dolnośląskie	Bielawa	Dolnośląskie
0202062	0202021	192	Łagiewniki	Dolnośląskie	Dzierżoniów	Dolnośląskie
0202062	0202052	22	Łagiewniki	Dolnośląskie	Dzierżoniów	Dolnośląskie
0202062	0202074	10	Łagiewniki	Dolnośląskie	Niemcza - miasto	Dolnośląskie
0202062	0219011	24	Łagiewniki	Dolnośląskie	Świdnica	Dolnośląskie
0202062	0223032	17	Łagiewniki	Dolnośląskie	Jordanów Śląski	Dolnośląskie
0202062	0223044	10	Łagiewniki	Dolnośląskie	Kąty Wrocławskie - miasto	Dolnośląskie
0202062	0223045	37	Łagiewniki	Dolnośląskie	Kąty Wrocławskie - obszar wiejski	Dolnośląskie
0202062	0223052	326	Łagiewniki	Dolnośląskie	Kobierzyce	Dolnośląskie
0202062	0264011	354	Łagiewniki	Dolnośląskie	Wrocław	Dolnośląskie
0202062	1465011	27	Łagiewniki	Dolnośląskie	Warszawa	Mazowieckie
0202074	0202011	12	Niemcza - miasto	Dolnośląskie	Bielawa	Dolnośląskie
0202074	0202021	61	Niemcza - miasto	Dolnośląskie	Dzierżoniów	Dolnośląskie
0202074	0202041	14	Niemcza - miasto	Dolnośląskie	Piława Górna	Dolnośląskie
0202074	0202062	11	Niemcza - miasto	Dolnośląskie	Łagiewniki	Dolnośląskie
0202074	0202075	12	Niemcza - miasto	Dolnośląskie	Niemcza - obszar wiejski	Dolnośląskie
0202074	0223052	81	Niemcza - miasto	Dolnośląskie	Kobierzyce	Dolnośląskie
0202074	0264011	105	Niemcza - miasto	Dolnośląskie	Wrocław	Dolnośląskie
0202075	0202011	19	Niemcza - obszar wiejski	Dolnośląskie	Bielawa	Dolnośląskie
0202075	0202021	99	Niemcza - obszar wiejski	Dolnośląskie	Dzierżoniów	Dolnośląskie
0202075	0202041	21	Niemcza - obszar wiejski	Dolnośląskie	Piława Górna	Dolnośląskie
0202075	0202052	10	Niemcza - obszar wiejski	Dolnośląskie	Dzierżoniów	Dolnośląskie
0202075	0202062	19	Niemcza - obszar wiejski	Dolnośląskie	Łagiewniki	Dolnośląskie
0202075	0202074	43	Niemcza - obszar wiejski	Dolnośląskie	Niemcza - miasto	Dolnośląskie
0202075	0223052	70	Niemcza - obszar wiejski	Dolnośląskie	Kobierzyce	Dolnośląskie
0202075	0224054	12	Niemcza - obszar wiejski	Dolnośląskie	Ząbkowice Śląskie - miasto	Dolnośląskie
0202075	0264011	78	Niemcza - obszar wiejski	Dolnośląskie	Wrocław	Dolnośląskie
0203011	0203022	164	Głogów	Dolnośląskie	Głogów	Dolnośląskie
0203011	0203032	117	Głogów	Dolnośląskie	Jerzmanowa	Dolnośląskie
0203011	0203042	34	Głogów	Dolnośląskie	Kotla	Dolnośląskie
0203011	0203052	26	Głogów	Dolnośląskie	Pęcław	Dolnośląskie
0203011	0203062	86	Głogów	Dolnośląskie	Żukowice	Dolnośląskie
0203011	0209052	25	Głogów	Dolnośląskie	Legnickie Pole	Dolnośląskie
0203011	0211011	716	Głogów	Dolnośląskie	Lubin	Dolnośląskie
0203011	0211022	28	Głogów	Dolnośląskie	Lubin	Dolnośląskie
0203011	0211032	95	Głogów	Dolnośląskie	Rudna	Dolnośląskie
0203011	0216015	21	Głogów	Dolnośląskie	Chocianów - obszar wiejski	Dolnośląskie
0203011	0216022	19	Głogów	Dolnośląskie	Gaworzyce	Dolnośląskie
0203011	0216032	63	Głogów	Dolnośląskie	Grębocice	Dolnośląskie
0203011	0216044	2607	Głogów	Dolnośląskie	Polkowice - miasto	Dolnośląskie
0203011	0216045	1057	Głogów	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
0203011	0216054	12	Głogów	Dolnośląskie	Przemków - miasto	Dolnośląskie
0203011	0216062	126	Głogów	Dolnośląskie	Radwanice	Dolnośląskie
0203011	0223052	23	Głogów	Dolnośląskie	Kobierzyce	Dolnośląskie
0203011	0226062	20	Głogów	Dolnośląskie	Złotoryja	Dolnośląskie
0203011	0262011	84	Głogów	Dolnośląskie	Legnica	Dolnośląskie
0203011	0264011	465	Głogów	Dolnośląskie	Wrocław	Dolnośląskie
0203011	0265011	22	Głogów	Dolnośląskie	Wałbrzych	Dolnośląskie
0203011	0804011	26	Głogów	Dolnośląskie	Nowa Sól	Lubuskie
0203011	0812014	23	Głogów	Dolnośląskie	Sława - miasto	Lubuskie
0203011	0812015	33	Głogów	Dolnośląskie	Sława - obszar wiejski	Lubuskie
0203011	0812024	17	Głogów	Dolnośląskie	Szlichtyngowa - miasto	Lubuskie
0203011	0812034	31	Głogów	Dolnośląskie	Wschowa - miasto	Lubuskie
0203011	0862011	25	Głogów	Dolnośląskie	Zielona Góra	Lubuskie
0203011	1261011	16	Głogów	Dolnośląskie	Kraków	Małopolskie
0203011	1465011	59	Głogów	Dolnośląskie	Warszawa	Mazowieckie
0203011	2462011	66	Głogów	Dolnośląskie	Bytom	Śląskie
0203011	2469011	23	Głogów	Dolnośląskie	Katowice	Śląskie
0203011	3021164	10	Głogów	Dolnośląskie	Swarzędz - miasto	Wielkopolskie
0203011	3031035	10	Głogów	Dolnośląskie	Krajenka - obszar wiejski	Wielkopolskie
0203011	3063011	46	Głogów	Dolnośląskie	Leszno	Wielkopolskie
0203011	3064011	25	Głogów	Dolnośląskie	Poznań	Wielkopolskie
0203022	0203011	593	Głogów	Dolnośląskie	Głogów	Dolnośląskie
0203022	0203032	20	Głogów	Dolnośląskie	Jerzmanowa	Dolnośląskie
0203022	0211011	92	Głogów	Dolnośląskie	Lubin	Dolnośląskie
0203022	0216032	10	Głogów	Dolnośląskie	Grębocice	Dolnośląskie
0203022	0216044	251	Głogów	Dolnośląskie	Polkowice - miasto	Dolnośląskie
0203022	0216045	85	Głogów	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
0203022	0216062	17	Głogów	Dolnośląskie	Radwanice	Dolnośląskie
0203022	0262011	16	Głogów	Dolnośląskie	Legnica	Dolnośląskie
0203022	0264011	72	Głogów	Dolnośląskie	Wrocław	Dolnośląskie
0203022	0812015	11	Głogów	Dolnośląskie	Sława - obszar wiejski	Lubuskie
0203032	0203011	356	Jerzmanowa	Dolnośląskie	Głogów	Dolnośląskie
0203032	0203022	10	Jerzmanowa	Dolnośląskie	Głogów	Dolnośląskie
0203032	0211011	91	Jerzmanowa	Dolnośląskie	Lubin	Dolnośląskie
0203032	0211032	10	Jerzmanowa	Dolnośląskie	Rudna	Dolnośląskie
0203032	0216044	317	Jerzmanowa	Dolnośląskie	Polkowice - miasto	Dolnośląskie
0203032	0216045	163	Jerzmanowa	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
0203032	0216062	12	Jerzmanowa	Dolnośląskie	Radwanice	Dolnośląskie
0203032	0262011	20	Jerzmanowa	Dolnośląskie	Legnica	Dolnośląskie
0203032	0264011	55	Jerzmanowa	Dolnośląskie	Wrocław	Dolnośląskie
0203032	1465011	10	Jerzmanowa	Dolnośląskie	Warszawa	Mazowieckie
0203042	0203011	358	Kotla	Dolnośląskie	Głogów	Dolnośląskie
0203042	0203022	11	Kotla	Dolnośląskie	Głogów	Dolnośląskie
0203042	0211011	36	Kotla	Dolnośląskie	Lubin	Dolnośląskie
0203042	0216044	86	Kotla	Dolnośląskie	Polkowice - miasto	Dolnośląskie
0203042	0216045	27	Kotla	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
0203042	0262011	31	Kotla	Dolnośląskie	Legnica	Dolnośląskie
0203042	0264011	40	Kotla	Dolnośląskie	Wrocław	Dolnośląskie
0203042	0812014	19	Kotla	Dolnośląskie	Sława - miasto	Lubuskie
0203042	0812015	44	Kotla	Dolnośląskie	Sława - obszar wiejski	Lubuskie
0203042	0862011	10	Kotla	Dolnośląskie	Zielona Góra	Lubuskie
0203052	0203011	156	Pęcław	Dolnośląskie	Głogów	Dolnośląskie
0203052	0203022	12	Pęcław	Dolnośląskie	Głogów	Dolnośląskie
0203052	0211011	15	Pęcław	Dolnośląskie	Lubin	Dolnośląskie
0203052	0216044	58	Pęcław	Dolnośląskie	Polkowice - miasto	Dolnośląskie
0203052	0216045	21	Pęcław	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
0203052	0216062	10	Pęcław	Dolnośląskie	Radwanice	Dolnośląskie
0203052	0262011	12	Pęcław	Dolnośląskie	Legnica	Dolnośląskie
0203052	0264011	22	Pęcław	Dolnośląskie	Wrocław	Dolnośląskie
0203062	0203011	240	Żukowice	Dolnośląskie	Głogów	Dolnośląskie
0203062	0211011	35	Żukowice	Dolnośląskie	Lubin	Dolnośląskie
0203062	0216044	111	Żukowice	Dolnośląskie	Polkowice - miasto	Dolnośląskie
0203062	0216045	25	Żukowice	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
0203062	0216062	12	Żukowice	Dolnośląskie	Radwanice	Dolnośląskie
0203062	0262011	17	Żukowice	Dolnośląskie	Legnica	Dolnośląskie
0203062	0264011	37	Żukowice	Dolnośląskie	Wrocław	Dolnośląskie
0203062	0804011	11	Żukowice	Dolnośląskie	Nowa Sól	Lubuskie
0203062	0804024	18	Żukowice	Dolnośląskie	Bytom Odrzański - miasto	Lubuskie
0204014	0203011	57	Góra - miasto	Dolnośląskie	Głogów	Dolnośląskie
0204014	0204015	75	Góra - miasto	Dolnośląskie	Góra - obszar wiejski	Dolnośląskie
0204014	0204022	13	Góra - miasto	Dolnośląskie	Jemielno	Dolnośląskie
0204014	0204032	35	Góra - miasto	Dolnośląskie	Niechlów	Dolnośląskie
0204014	0204044	15	Góra - miasto	Dolnośląskie	Wąsosz - miasto	Dolnośląskie
0204014	0211011	31	Góra - miasto	Dolnośląskie	Lubin	Dolnośląskie
0204014	0216044	14	Góra - miasto	Dolnośląskie	Polkowice - miasto	Dolnośląskie
0204014	0223052	12	Góra - miasto	Dolnośląskie	Kobierzyce	Dolnośląskie
0204014	0264011	79	Góra - miasto	Dolnośląskie	Wrocław	Dolnośląskie
0204014	0812034	11	Góra - miasto	Dolnośląskie	Wschowa - miasto	Lubuskie
0204014	0862011	67	Góra - miasto	Dolnośląskie	Zielona Góra	Lubuskie
0204014	1465011	45	Góra - miasto	Dolnośląskie	Warszawa	Mazowieckie
0204014	3013044	31	Góra - miasto	Dolnośląskie	Rydzyna - miasto	Wielkopolskie
0204014	3013045	36	Góra - miasto	Dolnośląskie	Rydzyna - obszar wiejski	Wielkopolskie
0204014	3013052	16	Góra - miasto	Dolnośląskie	Święciechowa	Wielkopolskie
0204014	3022054	26	Góra - miasto	Dolnośląskie	Rawicz - miasto	Wielkopolskie
0204014	3022055	15	Góra - miasto	Dolnośląskie	Rawicz - obszar wiejski	Wielkopolskie
0204014	3063011	281	Góra - miasto	Dolnośląskie	Leszno	Wielkopolskie
0204014	3064011	42	Góra - miasto	Dolnośląskie	Poznań	Wielkopolskie
0204015	0203011	19	Góra - obszar wiejski	Dolnośląskie	Głogów	Dolnośląskie
0204015	0204014	357	Góra - obszar wiejski	Dolnośląskie	Góra - miasto	Dolnośląskie
0204015	0204032	33	Góra - obszar wiejski	Dolnośląskie	Niechlów	Dolnośląskie
0204015	0204044	19	Góra - obszar wiejski	Dolnośląskie	Wąsosz - miasto	Dolnośląskie
0204015	0211011	14	Góra - obszar wiejski	Dolnośląskie	Lubin	Dolnośląskie
0204015	0216044	14	Góra - obszar wiejski	Dolnośląskie	Polkowice - miasto	Dolnośląskie
0204015	0264011	90	Góra - obszar wiejski	Dolnośląskie	Wrocław	Dolnośląskie
0204015	0812034	13	Góra - obszar wiejski	Dolnośląskie	Wschowa - miasto	Lubuskie
