Data,Liczba_aktywnych
2020-03-03,0
2020-03-04,1
2020-03-05,1
2020-03-06,5
2020-03-07,6
2020-03-08,11
2020-03-09,17
2020-03-10,22
2020-03-11,31
2020-03-12,50
2020-03-13,66
2020-03-14,101
2020-03-15,122
2020-03-16,173
2020-03-17,232
2020-03-18,281
2020-03-19,349
2020-03-20,419
2020-03-21,530
2020-03-22,626
2020-03-23,740
2020-03-24,890
2020-03-25,1037
2020-03-26,1204
2020-03-27,1372
2020-03-28,1619
2020-03-29,1839
2020-03-30,2023
2020-03-31,2277
2020-04-01,2510
2020-04-02,2888
2020-04-03,3311
2020-04-04,3432
2020-04-05,3874
2020-04-06,4144
2020-04-07,4528
2020-04-08,4825
2020-04-09,5117
2020-04-10,5456
2020-04-11,5773
2020-04-12,6003
2020-04-13,6200
2020-04-14,6321
2020-04-15,6628
2020-04-16,6830
2020-04-17,7177
2020-04-18,7381
2020-04-19,7824
2020-04-20,8017
2020-04-21,8096
2020-04-22,8168
2020-04-23,8255
2020-04-24,8392
2020-04-25,8561
2020-04-26,8754
2020-04-27,8812
2020-04-28,8905
2020-04-29,8929
2020-04-30,8998
2020-05-01,8964
2020-05-02,8951
2020-05-03,9071
2020-05-04,9215
2020-05-05,9417
2020-05-06,9335
2020-05-07,9409
2020-05-08,9404
2020-05-09,9430
2020-05-10,9499
2020-05-11,9700
2020-05-12,9913
2020-05-13,9933
2020-05-14,10036
2020-05-15,10191
2020-05-16,10167
2020-05-17,10153
2020-05-18,10321
2020-05-19,10416
2020-05-20,10593
2020-05-21,10717
2020-05-22,10899
2020-05-23,10957
2020-05-24,11098
2020-05-25,11346
2020-05-26,11028
2020-05-27,11111
2020-05-28,11223
2020-05-29,11410
2020-05-30,11488
2020-05-31,11449
2020-06-01,11636
2020-06-02,11577
2020-06-03,11558
2020-06-04,11704
2020-06-05,11863
2020-06-06,12194
2020-06-07,12551
2020-06-08,12998
2020-06-09,13181
2020-06-10,13225
2020-06-11,13290
2020-06-12,13550
2020-06-13,13676
2020-06-14,13919
2020-06-15,14149
2020-06-16,14269
2020-06-17,14438
2020-06-18,14326
2020-06-19,14279
2020-06-20,14093
2020-06-21,13892
2020-06-22,13792
2020-06-23,13579
2020-06-24,13291
2020-06-25,13044
2020-06-26,12748
2020-06-27,12307
2020-06-28,11920
2020-06-29,11812
2020-06-30,11648
2020-07-01,11506
2020-07-02,11444
2020-07-03,11247
2020-07-04,11081
2020-07-05,10688
2020-07-06,10669
2020-07-07,10647
2020-07-08,10269
2020-07-09,9923
2020-07-10,9606
2020-07-11,9318
2020-07-12,9172
2020-07-13,9099
2020-07-14,9113
2020-07-15,8635
2020-07-16,8522
2020-07-17,8291
2020-07-18,8205
2020-07-19,8189
2020-07-20,8217
2020-07-21,8375
2020-07-22,8381
2020-07-23,8388
2020-07-24,8386
2020-07-25,8539
2020-07-26,8641
2020-07-27,8870
2020-07-28,9032
2020-07-29,9632
2020-07-30,9679
2020-07-31,9985
2020-08-01,10251
2020-08-02,10454
2020-08-03,10856
2020-08-04,11355
2020-08-05,11712
2020-08-06,12099
2020-08-07,12496
2020-08-08,12964
2020-08-09,13293
2020-08-10,13724
2020-08-11,13990
2020-08-12,14235
2020-08-13,14683
2020-08-14,15099
2020-08-15,15368
2020-08-16,15677
2020-08-17,16035
2020-08-18,16337
2020-08-19,16599
2020-08-20,16972
2020-08-21,17314
2020-08-22,17569
2020-08-23,17624
2020-08-24,17902
2020-08-25,18312
2020-08-26,18409
2020-08-27,18583
2020-08-28,18677
2020-08-29,18671
2020-08-30,18645
2020-08-31,18695
2020-09-01,18834
2020-09-02,18574
2020-09-03,18444
2020-09-04,17900
2020-09-05,15928
2020-09-06,14448
2020-09-07,13890
2020-09-08,13481
2020-09-09,12666
2020-09-10,12226
2020-09-11,12031
2020-09-12,11744
2020-09-13,11306
2020-09-14,11230
2020-09-15,11360
2020-09-16,11388
2020-09-17,11594
2020-09-18,11747
2020-09-19,12188
2020-09-20,12646
2020-09-21,13087
2020-09-22,13412
2020-09-23,13769
2020-09-24,14283
2020-09-25,15265
2020-09-26,16231
2020-09-27,16995
2020-09-28,17770
2020-09-29,18525
2020-09-30,19307
2020-10-01,20538
2020-10-02,21851
2020-10-03,23328
2020-10-04,24442
2020-10-05,25870
2020-10-06,27442
2020-10-07,29182
2020-10-08,32242
2020-10-09,35544
2020-10-10,39684
2020-10-11,42511
2020-10-12,45971
2020-10-13,50173
2020-10-14,54740
2020-10-15,61007
2020-10-16,66395
2020-10-17,73544
2020-10-18,79542
2020-10-19,85620
2020-10-20,92862
2020-10-21,99844
2020-10-22,108463
2020-10-23,119054
2020-10-24,128252
2020-10-25,136632
2020-10-26,144145
2020-10-27,156378
2020-10-28,170697
2020-10-29,184789
2020-10-30,200759
2020-10-31,216820
2020-11-01,227524
2020-11-02,235192
2020-11-03,248756
2020-11-04,264102
2020-11-05,282157
2020-11-06,297804
2020-11-07,313495
2020-11-08,329191
2020-11-09,340723
2020-11-10,354557
2020-11-11,367135
2020-11-12,378069
2020-11-13,388470
2020-11-14,398858
2020-11-15,407841
2020-11-16,417275
2020-11-17,417810
2020-11-18,418489
2020-11-19,422824
