Kod,Nazwa,Powierzchnia,Liczba_ludnosci,Gestosc_zaludnienia
1403000,powiat garwoliński,1284.83,108993,84.83
1404000,powiat gostyniński,614.81,45203,73.52
1406000,powiat grójecki,1267.73,98451,77.66
1407000,powiat kozienicki,916.1,60472,66.01
1408000,powiat legionowski,390.76,116775,298.84
1409000,powiat lipski,740.22,34214,46.22
1410000,powiat łosicki,772.45,31023,40.16
1411000,powiat makowski,1064.63,45247,42.5
1412000,powiat miński,1163.72,153824,132.18
1413000,powiat mławski,1181.82,73102,61.86
1415000,powiat ostrołęcki,2093.55,88735,42.38
1417000,powiat otwocki,615.92,124036,201.38
1418000,powiat piaseczyński,621,184951,297.83
1419000,powiat płocki,1796.63,111088,61.83
1420000,powiat płoński,1379.79,87409,63.35
1421000,powiat pruszkowski,246.3,164240,666.83
1422000,powiat przasnyski,1218.62,52824,43.35
1423000,powiat przysuski,801.19,41922,52.32
1424000,powiat pułtuski,827.42,51809,62.62
1425000,powiat radomski,1529.78,152117,99.44
1426000,powiat siedlecki,1603.48,81352,50.73
1427000,powiat sierpecki,852.04,52196,61.26
1428000,powiat sochaczewski,734.8,85105,115.82
1429000,powiat sokołowski,1131.17,54217,47.93
1430000,powiat szydłowiecki,451.81,39864,88.23
1432000,powiat warszawski zachodni,533.79,117007,219.2
1433000,powiat węgrowski,1220.76,66174,54.21
1434000,powiat wołomiński,953.56,245357,257.31
1435000,powiat wyszkowski,876.43,74065,84.51
1436000,powiat zwoleński,571.24,36328,63.59
1437000,powiat żuromiński,806.6,38944,48.28
1438000,powiat żyrardowski,532.54,75848,142.43
1461000,powiat m.ostrołęka,33.46,52262,1561.92
1462000,powiat m.płock,88.04,120000,1363.02
1463000,powiat m.radom,111.8,213029,1905.45
1464000,powiat m.siedlce,31.86,77872,2444.19
1465000,powiat m. st. warszawa,517.24,1777972,3437.42
1602000,powiat głubczycki,672.63,45883,68.21
1603000,powiat kędzierzyńsko-kozielski,625.13,94487,151.15
1604000,powiat kluczborski,851.91,65837,77.28
1605000,powiat krapkowicki,441.8,63942,144.73
1606000,powiat namysłowski,748.18,42688,57.06
1607000,powiat nyski,1223.88,136946,111.89
1608000,powiat oleski,973.38,64602,66.37
1610000,powiat prudnicki,571.55,55524,97.15
1611000,powiat strzelecki,744.27,74665,100.32
1661000,powiat m.opole,148.88,128137,860.67
1801000,powiat bieszczadzki,1139.07,21879,19.21
1802000,powiat brzozowski,539.34,65713,121.84
1803000,powiat dębicki,777.48,135471,174.24
1804000,powiat jarosławski,1028.66,120714,117.35
1805000,powiat jasielski,830.87,113962,137.16
1806000,powiat kolbuszowski,773.17,62476,80.8
1808000,powiat leżajski,583.71,69562,119.17
1809000,powiat lubaczowski,1308.37,55652,42.54
1810000,powiat łańcucki,451.84,80834,178.9
1811000,powiat mielecki,880.5,136673,155.22
1812000,powiat niżański,785.64,66843,85.08
1813000,powiat przemyski,1211.22,74398,61.42
1814000,powiat przeworski,698.02,78458,112.4
1815000,powiat ropczycko-sędziszowski,548.31,74374,135.64
1816000,powiat rzeszowski,1153.33,170486,147.82
1817000,powiat sanocki,1156.43,94758,81.94
1818000,powiat stalowowolski,831.74,106619,128.19
1819000,powiat strzyżowski,503.47,61558,122.27
1820000,powiat tarnobrzeski,521.06,53236,102.17
1821000,powiat leski,834.94,26562,31.81
1861000,powiat m.krosno,43.5,46511,1069.22
1862000,powiat m.przemyśl,46.17,61251,1326.64
1863000,powiat m.rzeszów,120.41,191564,1590.93
1864000,powiat m.tarnobrzeg,85.4,47047,550.9
2001000,powiat augustowski,1659.39,58367,35.17
2002000,powiat białostocki,2976.44,148145,49.77
2004000,powiat grajewski,967.62,47518,49.11
2005000,powiat hajnowski,1623.53,43143,26.57
2006000,powiat kolneński,940.1,38396,40.84
2007000,powiat łomżyński,1354.59,51000,37.65
2008000,powiat moniecki,1381.79,40712,29.46
2009000,powiat sejneński,855.17,20092,23.49
2010000,powiat siemiatycki,1459.46,44689,30.62
2011000,powiat sokólski,2054.5,67466,32.84
2012000,powiat suwalski,1307,35792,27.38
2013000,powiat wysokomazowiecki,1288.91,57248,44.42
2014000,powiat zambrowski,733.12,43816,59.77
2061000,powiat m.białystok,102.13,297459,2912.55
2062000,powiat m.łomża,32.67,63000,1928.37
2063000,powiat m.suwałki,65.51,69827,1065.9
2201000,powiat bytowski,2192.07,79299,36.18
2202000,powiat chojnicki,1364.21,97551,71.51
2203000,powiat człuchowski,1575.27,56370,35.78
2204000,powiat gdański,793.75,116199,146.39
2205000,powiat kartuski,1120.54,136619,121.92
2206000,powiat kościerski,1165.67,72528,62.22
2207000,powiat kwidzyński,834.7,83291,99.79
2208000,powiat lęborski,706.02,66280,93.88
2209000,powiat malborski,494.23,63748,128.98
2211000,powiat pucki,581.18,85726,147.5
2212000,powiat słupski,2304.24,98816,42.88
2213000,powiat starogardzki,1345.34,128004,95.15
2214000,powiat tczewski,697.11,115876,166.22
2215000,powiat wejherowski,1285.25,215908,167.99
2216000,powiat sztumski,730.74,41569,56.89
2261000,powiat m.gdańsk,261.96,466631,1781.31
2262000,powiat m.gdynia,135.14,246309,1822.62
2263000,powiat m.słupsk,43.15,91007,2109.08
2264000,powiat m.sopot,17.28,36046,2086
2401000,powiat będziński,364.13,148762,408.54
2403000,powiat cieszyński,730.29,178139,243.93
2404000,powiat częstochowski,1522.05,134919,88.64
2405000,powiat gliwicki,664.37,115558,173.94
