"data","przebadane_osoby","nowe_przebadne_osoby","wykonane_testy","testy_na_dobe","testy_na_tys","zlecenia_POZ","zlecenia_POZ_na_dobe","osoby_z_pozytywnym","osoby_z_pozytywnym_na_dobe","procent_pozytywnych_testow_ze_wszystkich","procent_osob_z_pozytywnym_ze_wszystkich","procent_osob_z_pozytywnym_ze_wszystkich_na_dobe","procent_nowych_osob_z_pozytywnym_ze_wszystkich_na_dobe","suma_wynikow_negatywnych_i_powtornie_pozytywnych","wyniki_negatywne_i_powtornie_pozytywne"
2020-03-02,NA,NA,"559",NA,0.01,NA,NA,"0","0",0,NA,0,NA,"559",NA
2020-03-03,NA,NA,"584","25",0.02,NA,NA,"1","1",0.0017,NA,0.04,NA,"583","24"
2020-03-04,NA,NA,"676","92",0.02,NA,NA,"1","0",0.0015,NA,0,NA,"675","92"
2020-03-05,NA,NA,"855","179",0.02,NA,NA,"1","0",0.0012,NA,0,NA,"854","179"
2020-03-06,NA,NA,"855","0",0.02,NA,NA,"1","0",0.0012,NA,0,NA,"854","0"
2020-03-07,NA,NA,"1154","299",0.03,NA,NA,"8","7",0.0069,NA,0.0234,NA,"1146","292"
2020-03-08,NA,NA,"1384","230",0.04,NA,NA,"16","8",0.0116,NA,0.0348,NA,"1368","222"
2020-03-09,NA,NA,"1630","246",0.04,NA,NA,"17","1",0.0104,NA,0.0041,NA,"1630","262"
2020-03-10,NA,NA,"2024","394",0.05,NA,NA,"25","8",0.0124,NA,0.0203,NA,"1999","369"
2020-03-11,NA,NA,"2234","210",0.06,NA,NA,"47","22",0.021,NA,0.1048,NA,"2187","188"
2020-03-12,NA,NA,"2889","655",0.08,NA,NA,"58","11",0.0201,NA,0.0168,NA,"2831","644"
2020-03-13,NA,NA,"4414","1525",0.11,NA,NA,"93","35",0.0211,NA,0.023,NA,"4321","1490"
2020-03-14,NA,NA,"5493","1079",0.14,NA,NA,"111","18",0.0202,NA,0.0167,NA,"5382","1061"
2020-03-15,NA,NA,"5493","0",0.14,NA,NA,"111","0",0.0202,NA,0,NA,"5382","0"
2020-03-16,NA,NA,"7899","2406",0.21,NA,NA,"205","94",0.026,NA,0.0391,NA,"7694","2312"
2020-03-17,NA,NA,"9515","1616",0.25,NA,NA,"246","41",0.0259,NA,0.0254,NA,"9269","1575"
2020-03-18,NA,NA,"11196","1681",0.29,NA,NA,"305","59",0.0272,NA,0.0351,NA,"10891","1622"
2020-03-19,NA,NA,"13072","1876",0.34,NA,NA,"378","73",0.0289,NA,0.0389,NA,"12694","1803"
2020-03-20,NA,NA,"15084","2012",0.39,NA,NA,"452","74",0.03,NA,0.0368,NA,"14632","1938"
2020-03-21,NA,NA,"17607","2523",0.46,NA,NA,"563","111",0.032,NA,0.044,NA,"17044","2412"
2020-03-22,NA,NA,"20127","2520",0.52,NA,NA,"649","86",0.0322,NA,0.0341,NA,"19478","2434"
2020-03-23,NA,NA,"22898","2771",0.6,NA,NA,"774","125",0.0338,NA,0.0451,NA,"22124","2646"
2020-03-24,NA,NA,"26244","3346",0.68,NA,NA,"957","183",0.0365,NA,0.0547,NA,"25287","3163"
2020-03-25,NA,NA,"29564","3320",0.77,NA,NA,"1085","128",0.0367,NA,0.0386,NA,"28479","3192"
2020-03-26,NA,NA,"34067","4503",0.89,NA,NA,"1244","159",0.0365,NA,0.0353,NA,"32823","4344"
2020-03-27,NA,NA,"38674","4607",1.01,NA,NA,"1436","192",0.0371,NA,0.0417,NA,"37238","4415"
2020-03-28,NA,NA,"42783","4109",1.11,NA,NA,"1717","281",0.0401,NA,0.0684,NA,"41066","3828"
2020-03-29,NA,NA,"46607","3824",1.21,NA,NA,"1905","188",0.0409,NA,0.0492,NA,"44702","3636"
2020-03-30,NA,NA,"51419","4812",1.34,NA,NA,"2132","227",0.0415,NA,0.0472,NA,"49287","4585"
2020-03-31,NA,NA,"55801","4382",1.45,NA,NA,"2347","215",0.0421,NA,0.0491,NA,"53454","4167"
2020-04-01,NA,NA,"61178","5377",1.59,NA,NA,"2633","286",0.043,NA,0.0532,NA,"58545","5091"
2020-04-02,NA,NA,"66938","5760",1.74,NA,NA,"3149","516",0.047,NA,0.0896,NA,"63789","5244"
2020-04-03,NA,NA,"72901","5963",1.9,NA,NA,"3503","354",0.0481,NA,0.0594,NA,"69398","5609"
2020-04-04,NA,NA,"80757","7856",2.1,NA,NA,"3834","331",0.0475,NA,0.0421,NA,"76923","7525"
2020-04-05,NA,NA,"85467","4710",2.23,NA,NA,"4201","367",0.0492,NA,0.0779,NA,"81266","4343"
2020-04-06,NA,NA,"92215","6748",2.4,NA,NA,"4532","331",0.0491,NA,0.0491,NA,"87683","6417"
2020-04-07,NA,NA,"99284","7069",2.58,NA,NA,"5000","468",0.0504,NA,0.0662,NA,"94284","6601"
2020-04-08,NA,NA,"107597","8313",2.8,NA,NA,"5341","341",0.0496,NA,0.041,NA,"102256","7972"
2020-04-09,NA,NA,"118295","10698",3.08,NA,NA,"5742","401",0.0485,NA,0.0375,NA,"112553","10297"
2020-04-10,NA,NA,"129560","11265",3.37,NA,NA,"6088","346",0.047,NA,0.0307,NA,"123472","10919"
2020-04-11,NA,NA,"138007","8447",3.59,NA,NA,"6674","586",0.0484,NA,0.0694,NA,"131333","7861"
2020-04-12,NA,NA,"143630","5623",3.74,NA,NA,"6932","258",0.0483,NA,0.0459,NA,"136696","5363"
2020-04-13,NA,NA,"148321","4691",3.86,NA,NA,"7049","117",0.0475,NA,0.0249,NA,"141272","4576"
2020-04-14,NA,NA,"156493","8172",4.07,NA,NA,"7408","359",0.0473,NA,0.0439,NA,"149085","7813"
2020-04-15,NA,NA,"169071","12578",4.4,NA,NA,"7771","363",0.046,NA,0.0289,NA,"161300","12215"
2020-04-16,NA,NA,"179654","10583",4.68,NA,NA,"8214","443",0.0457,NA,0.0419,NA,"171440","10140"
2020-04-17,NA,NA,"192960","13306",5.02,NA,NA,"8563","349",0.0444,NA,0.0262,NA,"184397","12957"
2020-04-18,NA,NA,"204246","11286",5.32,NA,NA,"9083","520",0.0445,NA,0.0461,NA,"195163","10766"
2020-04-19,NA,NA,"214236","9990",5.58,NA,NA,"9453","370",0.0441,NA,0.037,NA,"204783","9620"
2020-04-20,NA,NA,"224355","10119",5.84,NA,NA,"9737","284",0.0434,NA,0.0281,NA,"214618","9835"
2020-04-21,NA,NA,"238799","14444",6.22,NA,NA,"10034","297",0.042,NA,0.0206,NA,"228765","14147"
2020-04-22,NA,NA,"250719","11920",6.53,NA,NA,"10346","312",0.0413,NA,0.0262,NA,"240373","11608"
2020-04-23,NA,NA,"265201","14482",6.9,NA,NA,"10759","413",0.0406,NA,0.0285,NA,"254442","14069"
2020-04-24,NA,NA,"278994","13793",7.26,NA,NA,"11067","308",0.0397,NA,0.0223,NA,"267927","13485"
2020-04-25,NA,NA,"290633","11639",7.57,NA,NA,"11395","328",0.0392,NA,0.0282,NA,"279238","11311"
2020-04-26,NA,NA,"297859","7226",7.75,NA,NA,"11761","366",0.0395,NA,0.0507,NA,"286098","6860"
2020-04-27,"281787",NA,"310744","12885",8.09,NA,NA,"12089","328",0.0389,0.0429,0.0255,NA,"298655","12557"
2020-04-28,"294589","12802","324527","13783",8.45,NA,NA,"12415","326",0.0383,0.0421,0.0237,0.0255,"312112","13457"
