"Kod","Nazwa","Gestosc_zaludnienia","Procent_chorych"
1205000,"powiat gorlicki",112.89,0.0175153981522217
1206000,"powiat krakowski",225.23,0.0250013530823215
1261000,"powiat m.kraków",2359.09,0.028688742512019
1207000,"powiat limanowski",138.27,0.0227488728207234
1208000,"powiat miechowski",72.66,0.0272503408836518
1209000,"powiat myślenicki",188.73,0.0299225367635482
1210000,"powiat nowosądecki",139.49,0.0226713418695877
1262000,"powiat m.nowy sącz",1457.03,0.0270334700104892
1211000,"powiat nowotarski",129.84,0.0186310754642104
1212000,"powiat olkuski",181.25,0.0197973847458384
1213000,"powiat oświęcimski",379.05,0.0153834145326109
1214000,"powiat proszowicki",104.91,0.0183810858626473
1215000,"powiat suski",122.87,0.0301940537653552
1216000,"powiat tarnowski",142.8,0.0145259711266558
1263000,"powiat m.tarnów",1506.8,0.0216207294933157
1217000,"powiat tatrzański",144.48,0.0262964810847298
1218000,"powiat wadowicki",247.93,0.0233123087491413
1219000,"powiat wielicki",309.36,0.021844851193755
1401000,"powiat białobrzeski",52.5,0.0188369944263956
1402000,"powiat ciechanowski",84.61,0.0154566744730679
1403000,"powiat garwoliński",84.83,0.0246529593643628
1404000,"powiat gostyniński",73.52,0.0170342676371037
1405000,"powiat grodziski",256.35,0.0135932235814265
1406000,"powiat grójecki",77.66,0.0137936638530843
1407000,"powiat kozienicki",66.01,0.020009260484191
1408000,"powiat legionowski",298.84,0.0190023549561122
1409000,"powiat lipski",46.22,0.023236102180394
1410000,"powiat łosicki",40.16,0.0222737968603939
1411000,"powiat makowski",42.5,0.0135699604393661
1412000,"powiat miński",132.18,0.0199318701893073
1413000,"powiat mławski",61.86,0.00897376268775136
1414000,"powiat nowodworski",114.12,0.0151845732807002
1415000,"powiat ostrołęcki",42.38,0.0155744632895701
1416000,"powiat ostrowski",59.77,0.0136847022615482
1417000,"powiat otwocki",201.38,0.0250088683930472
1418000,"powiat piaseczyński",297.83,0.0173289141448276
1419000,"powiat płocki",61.83,0.0233688607230304
1420000,"powiat płoński",63.35,0.014929812719514
1421000,"powiat pruszkowski",666.83,0.0180893813930833
1422000,"powiat przasnyski",43.35,0.0133840678479479
1423000,"powiat przysuski",52.32,0.0180811984161061
1424000,"powiat pułtuski",62.62,0.0131830376961532
1425000,"powiat radomski",99.44,0.0345983683611957
1426000,"powiat siedlecki",50.73,0.0389541744517652
1427000,"powiat sierpecki",61.26,0.00779753237796
1428000,"powiat sochaczewski",115.82,0.0195170671523412
1429000,"powiat sokołowski",47.93,0.016544626224247
1430000,"powiat szydłowiecki",88.23,0.0142986152919928
1432000,"powiat warszawski zachodni",219.2,0.0164605536420898
1465000,"powiat m. st. warszawa",3437.42,0.0231685313379513
1433000,"powiat węgrowski",54.21,0.0148245534499955
1434000,"powiat wołomiński",257.31,0.0191272309328856
1435000,"powiat wyszkowski",84.51,0.0160264632417471
1436000,"powiat zwoleński",63.59,0.0159931733098436
1437000,"powiat żuromiński",48.28,0.0127105587510271
1438000,"powiat żyrardowski",142.43,0.0129469465246282
1601000,"powiat brzeski",103.06,0.00922736084187206
1602000,"powiat głubczycki",68.21,0.0217291807423229
1603000,"powiat kędzierzyńsko-kozielski",151.15,0.0254849873527575
1604000,"powiat kluczborski",77.28,0.0198520588726704
1605000,"powiat krapkowicki",144.73,0.0218948422007444
1606000,"powiat namysłowski",57.06,0.0277595577211394
1607000,"powiat nyski",111.89,0.0211689278985878
1608000,"powiat oleski",66.37,0.0251385406024581
1609000,"powiat opolski",80.51,0.013860103626943
1661000,"powiat m.opole",860.67,0.017434464674528
1610000,"powiat prudnicki",97.15,0.0286722858583676
1611000,"powiat strzelecki",100.32,0.0316346347016674
1801000,"powiat bieszczadzki",19.21,0.0150829562594268
1802000,"powiat brzozowski",121.84,0.016937287903459
1803000,"powiat dębicki",174.24,0.0179152733795425
1804000,"powiat jarosławski",117.35,0.023659227595805
1805000,"powiat jasielski",137.16,0.015382320422597
1806000,"powiat kolbuszowski",80.8,0.0175427364107817
1807000,"powiat krośnieński",113.19,0.0154429163627306
1861000,"powiat m.krosno",1069.22,0.0176087377179592
1808000,"powiat leżajski",119.17,0.0205572007705356
1809000,"powiat lubaczowski",42.54,0.0148422338819809
1810000,"powiat łańcucki",178.9,0.0237647524556499
1811000,"powiat mielecki",155.22,0.0177503969328251
1812000,"powiat niżański",85.08,0.0111604805290008
1813000,"powiat przemyski",61.42,0.0217344552272911
1862000,"powiat m.przemyśl",1326.64,0.0283913732020702
1814000,"powiat przeworski",112.4,0.0223559101684978
1815000,"powiat ropczycko-sędziszowski",135.64,0.0169548498131067
1816000,"powiat rzeszowski",147.82,0.0226822143753739
1863000,"powiat m.rzeszów",1590.93,0.0295775824267608
1817000,"powiat sanocki",81.94,0.0165474155216446
1818000,"powiat stalowowolski",128.19,0.0117052307750026
1819000,"powiat strzyżowski",122.27,0.019493810715098
1820000,"powiat tarnobrzeski",102.17,0.0130926440754377
1864000,"powiat m.tarnobrzeg",550.9,0.0149425043042064
1821000,"powiat leski",31.81,0.0220615917476094
2001000,"powiat augustowski",35.17,0.0113762913975363
2002000,"powiat białostocki",49.77,0.0169428600357758
2061000,"powiat m.białystok",2912.55,0.0184428778419883
2003000,"powiat bielski",39.61,0.0214716657856843
2004000,"powiat grajewski",49.11,0.0112378467107201
2005000,"powiat hajnowski",26.57,0.0196787427856199
2006000,"powiat kolneński",40.84,0.0105740181268882
2007000,"powiat łomżyński",37.65,0.00927450980392157
2062000,"powiat m.łomża",1928.37,0.0194920634920635
2008000,"powiat moniecki",29.46,0.00989880133621537
2009000,"powiat sejneński",23.49,0.0141847501493132
2010000,"powiat siemiatycki",30.62,0.0115688424444494
2011000,"powiat sokólski",32.84,0.0147481694483147
2012000,"powiat suwalski",27.38,0.0112036209208762
2063000,"powiat m.suwałki",1065.9,0.0189038624027955
2013000,"powiat wysokomazowiecki",44.42,0.0130484907769704
2014000,"powiat zambrowski",59.77,0.0147206499908709
2201000,"powiat bytowski",36.18,0.023304203079484
2202000,"powiat chojnicki",71.51,0.0191079537882749
2203000,"powiat człuchowski",35.78,0.0095086038673053
2204000,"powiat gdański",146.39,0.0190707321061283
2261000,"powiat m.gdańsk",1781.31,0.0137089048948741
2262000,"powiat m.gdynia",1822.62,0.0158256498950505
2205000,"powiat kartuski",121.92,0.0238839400083444
2206000,"powiat kościerski",62.22,0.0196062210456651
2207000,"powiat kwidzyński",99.79,0.0144193250171087
2208000,"powiat lęborski",93.88,0.0167471333735667
2209000,"powiat malborski",128.98,0.0204241701700445
2210000,"powiat nowodworski",53.03,0.0192189335869748
2211000,"powiat pucki",147.5,0.0212887572031822
2212000,"powiat słupski",42.88,0.0126902525906736
2263000,"powiat m.słupsk",2109.08,0.0182073906402804
2264000,"powiat m.sopot",2086,0.0171170171447595
2213000,"powiat starogardzki",95.15,0.0185228586606669
2214000,"powiat tczewski",166.22,0.019546756878042
2215000,"powiat wejherowski",167.99,0.0131861718880264
2216000,"powiat sztumski",56.89,0.013591859318242
2401000,"powiat będziński",408.54,0.0210739301703392
2402000,"powiat bielski",359.76,0.0259818181818182
2461000,"powiat m.bielsko-biała",1375.46,0.0216455777506584
2414000,"powiat bieruńsko-lędziński",377.87,0.0201472556894244
2462000,"powiat m.bytom",2402,0.0173746215414131
2463000,"powiat m.chorzów",3262.15,0.0180017337735397
2403000,"powiat cieszyński",243.93,0.0304312924177187
2404000,"powiat częstochowski",88.64,0.0202714221125268
2464000,"powiat m.częstochowa",1391.85,0.0259928382487899
2465000,"powiat m.dąbrowa górnicza",637.2,0.019524526230885
2405000,"powiat gliwicki",173.94,0.0247754374426695
2466000,"powiat m.gliwice",1343.04,0.0189760074747228
2467000,"powiat m.jastrzębie-zdrój",1044.51,0.0331433444035544
2468000,"powiat m.jaworzno",600.06,0.0152463331258259
2469000,"powiat m.katowice",1788.81,0.0189059794234491
2406000,"powiat kłobucki",95.57,0.0195586642174179
2407000,"powiat lubliniecki",93.15,0.0264515034010941
2408000,"powiat mikołowski",422.02,0.02176410193854
2470000,"powiat m.mysłowice",1136.64,0.0181133188534041
2409000,"powiat myszkowski",148.4,0.0206133382077926
2471000,"powiat m.piekary śląskie",1383.17,0.0184994303694461
2410000,"powiat pszczyński",236.02,0.0266002410028597
2411000,"powiat raciborski",199.56,0.0262733497368979
2472000,"powiat m.ruda śląska",1775.38,0.0322173913043478
2412000,"powiat rybnicki",349.24,0.0322390658609034
2473000,"powiat m.rybnik",934.86,0.0323152794601142
2474000,"powiat m.siemianowice śląskie",2633.49,0.012434106680168
2475000,"powiat m.sosnowiec",2218.71,0.0130768773881882
2476000,"powiat m.świętochłowice",3757.48,0.018015676237703
2413000,"powiat tarnogórski",217.07,0.0194374718414108
2477000,"powiat m.tychy",1562.54,0.0159272789855356
2415000,"powiat wodzisławski",549.66,0.0298890975535479
2478000,"powiat m.zabrze",2156.39,0.0175055083230473
2416000,"powiat zawierciański",118.17,0.0221726868973437
2479000,"powiat m.żory",966.21,0.0277475342641219
2417000,"powiat żywiecki",147.32,0.0271298604675447
2601000,"powiat buski",74.44,0.0120874850814622
2602000,"powiat jędrzejowski",68.48,0.0133602862586551
2603000,"powiat kazimierski",80.18,0.0155386842338483
2604000,"powiat kielecki",93.81,0.0503431516796871
2605000,"powiat konecki",70.76,0.0160078365241543
2606000,"powiat opatowski",57.72,0.00992829564258136
2607000,"powiat ostrowiecki",178.55,0.01202248313311
2608000,"powiat pińczowski",64.08,0.0155076264928319
2609000,"powiat sandomierski",115.07,0.0149152019338331
2610000,"powiat skarżyski",189.2,0.017335632276087
2611000,"powiat starachowicki",172.67,0.0143067373336136
2612000,"powiat staszowski",78.04,0.0105449859353998
2613000,"powiat włoszczowski",49.94,0.00988177166049056
