"","user","weekday","hour","domain","average"
"1","jakub","niedz",1,"stackoverflow.com",0
"2","jakub","niedz",1,"wikipedia.org",0
"3","jakub","niedz",1,"github.com",0
"4","jakub","niedz",1,"pw.edu.pl",0
"5","jakub","niedz",1,"youtube.com",0
"6","jakub","niedz",1,"google.com",0.583333333333333
"7","jakub","niedz",1,"facebook.com",0.145833333333333
"8","jakub","niedz",1,"instagram.com",0
"9","jakub","niedz",2,"stackoverflow.com",0
"10","jakub","niedz",2,"wikipedia.org",0
"11","jakub","niedz",2,"github.com",0
"12","jakub","niedz",2,"pw.edu.pl",0
"13","jakub","niedz",2,"youtube.com",0
"14","jakub","niedz",2,"google.com",0.0208333333333333
"15","jakub","niedz",2,"facebook.com",0
"16","jakub","niedz",2,"instagram.com",0
"17","jakub","niedz",3,"stackoverflow.com",0
"18","jakub","niedz",3,"wikipedia.org",0
"19","jakub","niedz",3,"github.com",0
"20","jakub","niedz",3,"pw.edu.pl",0
"21","jakub","niedz",3,"youtube.com",0
"22","jakub","niedz",3,"google.com",0.0208333333333333
"23","jakub","niedz",3,"facebook.com",0
"24","jakub","niedz",3,"instagram.com",0
"25","jakub","niedz",4,"stackoverflow.com",0
"26","jakub","niedz",4,"wikipedia.org",0
"27","jakub","niedz",4,"github.com",0
"28","jakub","niedz",4,"pw.edu.pl",0
"29","jakub","niedz",4,"youtube.com",0
"30","jakub","niedz",4,"google.com",0.0208333333333333
"31","jakub","niedz",4,"facebook.com",0
"32","jakub","niedz",4,"instagram.com",0
"33","jakub","niedz",5,"stackoverflow.com",0
"34","jakub","niedz",5,"wikipedia.org",0
"35","jakub","niedz",5,"github.com",0
"36","jakub","niedz",5,"pw.edu.pl",0
"37","jakub","niedz",5,"youtube.com",0
"38","jakub","niedz",5,"google.com",0
"39","jakub","niedz",5,"facebook.com",0
"40","jakub","niedz",5,"instagram.com",0
"41","jakub","niedz",6,"stackoverflow.com",0
"42","jakub","niedz",6,"wikipedia.org",0
"43","jakub","niedz",6,"github.com",0
"44","jakub","niedz",6,"pw.edu.pl",0
"45","jakub","niedz",6,"youtube.com",0
"46","jakub","niedz",6,"google.com",0
"47","jakub","niedz",6,"facebook.com",0
"48","jakub","niedz",6,"instagram.com",0
"49","jakub","niedz",7,"stackoverflow.com",0
"50","jakub","niedz",7,"wikipedia.org",0
"51","jakub","niedz",7,"github.com",0
"52","jakub","niedz",7,"pw.edu.pl",0
"53","jakub","niedz",7,"youtube.com",0
"54","jakub","niedz",7,"google.com",0.708333333333333
"55","jakub","niedz",7,"facebook.com",0
"56","jakub","niedz",7,"instagram.com",0
"57","jakub","niedz",8,"stackoverflow.com",0
"58","jakub","niedz",8,"wikipedia.org",0
"59","jakub","niedz",8,"github.com",0
"60","jakub","niedz",8,"pw.edu.pl",0
"61","jakub","niedz",8,"youtube.com",0
"62","jakub","niedz",8,"google.com",0.291666666666667
"63","jakub","niedz",8,"facebook.com",0
"64","jakub","niedz",8,"instagram.com",0
"65","jakub","niedz",9,"stackoverflow.com",0
"66","jakub","niedz",9,"wikipedia.org",0
"67","jakub","niedz",9,"github.com",0
"68","jakub","niedz",9,"pw.edu.pl",0
"69","jakub","niedz",9,"youtube.com",0.25
"70","jakub","niedz",9,"google.com",0.583333333333333
"71","jakub","niedz",9,"facebook.com",0.229166666666667
"72","jakub","niedz",9,"instagram.com",0
"73","jakub","niedz",10,"stackoverflow.com",0
"74","jakub","niedz",10,"wikipedia.org",0
"75","jakub","niedz",10,"github.com",0
"76","jakub","niedz",10,"pw.edu.pl",0.208333333333333
"77","jakub","niedz",10,"youtube.com",0.5625
"78","jakub","niedz",10,"google.com",1.14583333333333
"79","jakub","niedz",10,"facebook.com",0.270833333333333
"80","jakub","niedz",10,"instagram.com",0
"81","jakub","niedz",11,"stackoverflow.com",0
"82","jakub","niedz",11,"wikipedia.org",0
"83","jakub","niedz",11,"github.com",0
"84","jakub","niedz",11,"pw.edu.pl",0.395833333333333
"85","jakub","niedz",11,"youtube.com",0.395833333333333
"86","jakub","niedz",11,"google.com",2.02083333333333
"87","jakub","niedz",11,"facebook.com",0.104166666666667
"88","jakub","niedz",11,"instagram.com",0
"89","jakub","niedz",12,"stackoverflow.com",0
"90","jakub","niedz",12,"wikipedia.org",0.0625
"91","jakub","niedz",12,"github.com",0
"92","jakub","niedz",12,"pw.edu.pl",0.375
"93","jakub","niedz",12,"youtube.com",0.354166666666667
"94","jakub","niedz",12,"google.com",2.70833333333333
"95","jakub","niedz",12,"facebook.com",1.5
"96","jakub","niedz",12,"instagram.com",0
"97","jakub","niedz",13,"stackoverflow.com",0
"98","jakub","niedz",13,"wikipedia.org",0.0625
"99","jakub","niedz",13,"github.com",0
"100","jakub","niedz",13,"pw.edu.pl",0
"101","jakub","niedz",13,"youtube.com",0.625
"102","jakub","niedz",13,"google.com",2.08333333333333
"103","jakub","niedz",13,"facebook.com",0.166666666666667
"104","jakub","niedz",13,"instagram.com",0
"105","jakub","niedz",14,"stackoverflow.com",0
"106","jakub","niedz",14,"wikipedia.org",0.0416666666666667
"107","jakub","niedz",14,"github.com",0
"108","jakub","niedz",14,"pw.edu.pl",0
"109","jakub","niedz",14,"youtube.com",0.354166666666667
"110","jakub","niedz",14,"google.com",1.08333333333333
"111","jakub","niedz",14,"facebook.com",0.0416666666666667
"112","jakub","niedz",14,"instagram.com",0
"113","jakub","niedz",15,"stackoverflow.com",0
"114","jakub","niedz",15,"wikipedia.org",0.0833333333333333
"115","jakub","niedz",15,"github.com",0
"116","jakub","niedz",15,"pw.edu.pl",0
"117","jakub","niedz",15,"youtube.com",1.5
"118","jakub","niedz",15,"google.com",3.02083333333333
"119","jakub","niedz",15,"facebook.com",0.166666666666667
"120","jakub","niedz",15,"instagram.com",0
"121","jakub","niedz",16,"stackoverflow.com",0
"122","jakub","niedz",16,"wikipedia.org",0.125
"123","jakub","niedz",16,"github.com",0
