"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"1","ABW","North America","Aruba",2020-11-29,4833,25,15.571,45,0,0,45267.22,234.157,145.846,421.482,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA,76.29,NA
"2","AFG","Asia","Afghanistan",2020-11-29,45844,228,189.286,1763,11,10.857,1177.651,5.857,4.862,45.288,0.283,0.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,38928341,54.422,18.6,2.581,1.337,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,0.498
"3","AGO","Africa","Angola",2020-11-29,15087,266,96.286,345,5,1.286,459.042,8.093,2.93,10.497,0.152,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,32866268,23.89,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,61.15,0.581
"4","AIA","North America","Anguilla",2020-11-29,4,0,0.143,NA,0,0,266.631,0,9.523,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,15002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.88,NA
"5","ALB","Europe","Albania",2020-11-29,36790,545,656.286,787,16,14.571,12784.071,189.381,228.051,273.473,5.56,5.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.785
"6","AND","Europe","Andorra",2020-11-29,6670,60,66.143,76,0,0,86326.28,776.548,856.052,983.628,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,77265,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.858
"7","ARE","Asia","United Arab Emirates",2020-11-29,166502,1252,1245.286,569,2,3,16834.708,126.587,125.909,57.531,0.202,0.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,16640227,137203,1682.462,13.872,123099,12.446,98.852,0.01,"tests performed",NA,9890400,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.863
"8","ARG","South America","Argentina",2020-11-29,1413362,6098,6741.857,38309,106,201,31271.993,134.924,149.17,847.623,2.345,4.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,76.67,0.825
"9","ARM","Asia","Armenia",2020-11-29,134768,1174,1220.571,2142,21,27.143,45480.04,396.189,411.905,722.859,7.087,9.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
"10","ATG","North America","Antigua and Barbuda",2020-11-29,141,0,0.286,4,0,0,1439.833,0,2.918,40.846,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,97928,231.845,32.1,6.933,4.631,21490.943,NA,191.511,13.17,NA,NA,NA,3.8,77.02,0.78
