"","tygodnie","srednia_zakazen"
"1",1,52
"2",2,359.714285714286
"3",3,3399.42857142857
"4",4,13988.2857142857
"5",5,26796
"6",6,31102
"7",7,29305
"8",8,29138.1428571429
"9",9,27716.5714285714
"10",10,25210.2857142857
"11",11,22620.4285714286
"12",12,22112.2857142857
"13",13,21102
"14",14,21382.4285714286
"15",15,22066.4285714286
"16",16,25799
"17",17,36457.7142857143
"18",18,47031.2857142857
"19",19,58306
"20",20,66254.2857142857
"21",21,66651.8571428571
"22",22,63202.4285714286
"23",23,53939
"24",24,51878.2857142857
"25",25,43848.5714285714
"26",26,41925.2857142857
"27",27,40612
"28",28,34320.2857142857
"29",29,39836.2857142857
"30",30,44833.7142857143
"31",31,43449.4285714286
"32",32,48000.4285714286
"33",33,55400.7142857143
"34",34,67139
"35",35,78519.4285714286
"36",36,104942.428571429
"37",37,149133.285714286
"38",38,169221
"39",39,165316.142857143
