"Kod";"Nazwa";"Miesiące";"Rodzaje obiektów";"Zakres przedmiotowy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"lipiec";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2019";4059520;"osoba";"";
0000000;"POLSKA";"lipiec";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2020";2711895;"osoba";"";
0000000;"POLSKA";"sierpień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2015";3290501;"osoba";"";
0000000;"POLSKA";"sierpień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2016";3673076;"osoba";"";
0000000;"POLSKA";"sierpień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2017";3803479;"osoba";"";
0000000;"POLSKA";"sierpień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2018";4067560;"osoba";"";
0000000;"POLSKA";"sierpień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2019";4319590;"osoba";"";
0000000;"POLSKA";"sierpień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2020";3208081;"osoba";"";
0000000;"POLSKA";"wrzesień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2015";2564382;"osoba";"";
0000000;"POLSKA";"wrzesień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2016";2988738;"osoba";"";
0000000;"POLSKA";"wrzesień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2017";3123243;"osoba";"";
0000000;"POLSKA";"wrzesień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2018";3267168;"osoba";"";
0000000;"POLSKA";"wrzesień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2019";3347843;"osoba";"";
0000000;"POLSKA";"wrzesień";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2020";2194007;"osoba";"";
0000000;"POLSKA";"październik";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2015";2298723;"osoba";"";
0000000;"POLSKA";"październik";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2016";2518407;"osoba";"";
0000000;"POLSKA";"październik";"turystyczne obiekty noclegowe ogółem";"turyści (korzystający) ogółem";"2017";2671256;"osoba";"";
