"","miesiace","rok","liczba_pasazerow"
"1",1,"2015",22.49
"2",2,"2015",21.57
"3",3,"2015",24.29
"4",4,"2015",23.6
"5",5,"2015",24.77
"6",6,"2015",23.28
"7",7,"2015",23.02
"8",8,"2015",22.82
"9",9,"2015",22.22
"10",10,"2015",25.38
"11",11,"2015",24.53
"12",12,"2015",22.32
"13",1,"2016",23.36
"14",2,"2016",23.41
"15",3,"2016",24.72
"16",4,"2016",24.55
"17",5,"2016",25.44
"18",6,"2016",24.38
"19",7,"2016",25.43
"20",8,"2016",24.24
"21",9,"2016",23.32
"22",10,"2016",25.68
"23",11,"2016",24.61
"24",12,"2016",23.4
"25",1,"2017",25.71
"26",2,"2017",23.55
"27",3,"2017",26.48
"28",4,"2017",25.11
"29",5,"2017",26.82
"30",6,"2017",25.8
"31",7,"2017",25.29
"32",8,"2017",24.95
"33",9,"2017",24.14
"34",10,"2017",26.55
"35",11,"2017",24.88
"36",12,"2017",24.28
"37",1,"2018",25.06
"38",2,"2018",23.15
"39",3,"2018",24.39
"40",4,"2018",25.26
"41",5,"2018",26.76
"42",6,"2018",25.97
"43",7,"2018",26.38
"44",8,"2018",26.31
"45",9,"2018",25.91
"46",10,"2018",28.47
"47",11,"2018",27.22
"48",12,"2018",25.41
"49",1,"2019",26.51
"50",2,"2019",25.2
"51",3,"2019",28.15
"52",4,"2019",26.52
"53",5,"2019",28.46
"54",6,"2019",27.35
"55",7,"2019",28.1
"56",8,"2019",28.3
"57",9,"2019",28.82
"58",10,"2019",31.19
"59",11,"2019",29.39
"60",12,"2019",27.89
"61",1,"2020",28.53
"62",2,"2020",27.54
"63",3,"2020",17.75
"64",4,"2020",6.1
"65",5,"2020",9.8
"66",6,"2020",14.55
"67",7,"2020",18.89
"68",8,"2020",20.14
"69",9,"2020",21.6
"70",10,"2020",18.54
"71",11,"2020",NA
"72",12,"2020",NA
