"domain","light_color","medium_color","dark_color"
"stackoverflow.com","#ffc43b","#f48024","#b24e15"
"wikipedia.org","#8d8da5","#63639e","#2d2d39"
"github.com","#e88cd3","#a526b8","#381567"
"pw.edu.pl","#5fd9cd","#0095af","#1c475a"
"youtube.com","#ff5c5c","#f00000","#8f0000"
"google.com","#0000dd","#ffc30b","#dd0000"
"facebook.com","#91c8ff","#1877f2","#0b5ab1"
"instagram.com","#b130ba","#4d5eca","#e8c04a"
