"user","date","edu","ent"
"jakub",2020-01-01,0.166666666666667,14.9833333333333
"jakub",2020-02-01,1.37068965517241,11.698275862069
"jakub",2020-03-01,0.166666666666667,20.1666666666667
"jakub",2020-04-01,0.466666666666667,17.9
"jakub",2020-05-01,1.53225806451613,18.4032258064516
"jakub",2020-06-01,2.65833333333333,14.475
"jakub",2020-07-01,0.330645161290323,5.44354838709677
"jakub",2020-08-01,0.185483870967742,11.9354838709677
"jakub",2020-09-01,1.19166666666667,6.23333333333333
"jakub",2020-10-01,0.604838709677419,11.4516129032258
"jakub",2020-11-01,3.54166666666667,13.1333333333333
"jakub",2020-12-01,2.78225806451613,11.6129032258065
"jakub",2021-01-01,1.15,9.5
"jan",2020-01-01,7.50806451612903,49.008064516129
"jan",2020-02-01,11.1896551724138,49.7844827586207
"jan",2020-03-01,9.26612903225806,62.0564516129032
"jan",2020-04-01,13.1416666666667,68.65
"jan",2020-05-01,11.4516129032258,78.7661290322581
"jan",2020-06-01,14.325,70.4583333333333
"jan",2020-07-01,5.11607142857143,68.7410714285714
"jan",2020-08-01,9.37068965517241,74.9655172413793
"jan",2020-09-01,18.0583333333333,60.6083333333333
"jan",2020-10-01,20.3416666666667,77.1666666666667
"jan",2020-11-01,19.7833333333333,75.7083333333333
"jan",2020-12-01,15.6973684210526,65.9342105263158
"kacper",2020-01-01,5.44354838709677,17.1370967741935
"kacper",2020-02-01,4,14.7857142857143
"kacper",2020-03-01,11.125,31.5089285714286
"kacper",2020-04-01,5.51666666666667,16.8833333333333
"kacper",2020-05-01,7.09677419354839,24.5967741935484
"kacper",2020-06-01,10.6916666666667,25.4
"kacper",2020-07-01,3.90322580645161,16.9435483870968
"kacper",2020-08-01,2.79166666666667,13.4083333333333
"kacper",2020-09-01,2.41666666666667,14.3083333333333
"kacper",2020-10-01,5.51666666666667,14.75
"kacper",2020-11-01,11.2916666666667,28.5583333333333
"kacper",2020-12-01,7.91666666666667,21.5333333333333
