"","user","weekday","domain","average"
"121","kacper",2,"facebook.com",16
"122","kacper",2,"github.com",15.4423076923077
"123","kacper",2,"google.com",41
"124","kacper",2,"instagram.com",0
"125","kacper",2,"pw.edu.pl",14.3076923076923
"126","kacper",2,"stackoverflow.com",1.78846153846154
"127","kacper",2,"wikipedia.org",4.76923076923077
"128","kacper",2,"youtube.com",23.1730769230769
"129","kacper",3,"facebook.com",17.7924528301887
"130","kacper",3,"github.com",9.69811320754717
"131","kacper",3,"google.com",42.2452830188679
"132","kacper",3,"instagram.com",0.0188679245283019
"133","kacper",3,"pw.edu.pl",15.8679245283019
"134","kacper",3,"stackoverflow.com",1.86792452830189
"135","kacper",3,"wikipedia.org",5.71698113207547
"136","kacper",3,"youtube.com",23.4716981132075
"137","kacper",4,"facebook.com",18.6346153846154
"138","kacper",4,"github.com",7.07692307692308
"139","kacper",4,"google.com",31.75
"140","kacper",4,"instagram.com",0
"141","kacper",4,"pw.edu.pl",9.76923076923077
"142","kacper",4,"stackoverflow.com",2.01923076923077
"143","kacper",4,"wikipedia.org",3.71153846153846
"144","kacper",4,"youtube.com",23.3269230769231
"145","kacper",5,"facebook.com",13.8076923076923
"146","kacper",5,"github.com",6.05769230769231
"147","kacper",5,"google.com",34.0384615384615
"148","kacper",5,"instagram.com",0
"149","kacper",5,"pw.edu.pl",7.30769230769231
"150","kacper",5,"stackoverflow.com",1.40384615384615
"151","kacper",5,"wikipedia.org",2.48076923076923
"152","kacper",5,"youtube.com",24.6730769230769
"153","kacper",6,"facebook.com",13.3269230769231
"154","kacper",6,"github.com",7.53846153846154
"155","kacper",6,"google.com",37.3269230769231
"156","kacper",6,"instagram.com",0
"157","kacper",6,"pw.edu.pl",11
"158","kacper",6,"stackoverflow.com",1.67307692307692
"159","kacper",6,"wikipedia.org",4.21153846153846
"160","kacper",6,"youtube.com",25.0961538461538
"161","kacper",7,"facebook.com",18.76
"162","kacper",7,"github.com",4.78
"163","kacper",7,"google.com",37.32
"164","kacper",7,"instagram.com",0.28
"165","kacper",7,"pw.edu.pl",6.2
"166","kacper",7,"stackoverflow.com",1.1
"167","kacper",7,"wikipedia.org",4.14
"168","kacper",7,"youtube.com",31.52
