"","time_usec","domain","count"
"143",2020-01-02,"facebook.com",7
"144",2020-01-02,"instagram.com",0
"145",2020-01-03,"stackoverflow.com",0
"146",2020-01-03,"wikipedia.org",0
"147",2020-01-03,"github.com",0
"148",2020-01-03,"pw.edu.pl",0
"149",2020-01-03,"youtube.com",95
"150",2020-01-03,"google.com",2
"151",2020-01-03,"facebook.com",8
"152",2020-01-03,"instagram.com",0
"153",2020-01-04,"stackoverflow.com",0
"154",2020-01-04,"wikipedia.org",0
"155",2020-01-04,"github.com",0
"156",2020-01-04,"pw.edu.pl",0
"157",2020-01-04,"youtube.com",22
"158",2020-01-04,"google.com",0
"159",2020-01-04,"facebook.com",21
"160",2020-01-04,"instagram.com",0
"161",2020-01-05,"stackoverflow.com",0
"162",2020-01-05,"wikipedia.org",0
"163",2020-01-05,"github.com",0
"164",2020-01-05,"pw.edu.pl",0
"165",2020-01-05,"youtube.com",16
"166",2020-01-05,"google.com",0
"167",2020-01-05,"facebook.com",1
"168",2020-01-05,"instagram.com",0
"169",2020-01-06,"stackoverflow.com",2
"170",2020-01-06,"wikipedia.org",15
"171",2020-01-06,"github.com",0
"172",2020-01-06,"pw.edu.pl",12
"173",2020-01-06,"youtube.com",32
"174",2020-01-06,"google.com",74
"175",2020-01-06,"facebook.com",28
"176",2020-01-06,"instagram.com",0
"177",2020-01-07,"stackoverflow.com",0
"178",2020-01-07,"wikipedia.org",3
"179",2020-01-07,"github.com",0
"180",2020-01-07,"pw.edu.pl",9
"181",2020-01-07,"youtube.com",32
"182",2020-01-07,"google.com",3
"183",2020-01-07,"facebook.com",9
"184",2020-01-07,"instagram.com",0
"185",2020-01-08,"stackoverflow.com",4
"186",2020-01-08,"wikipedia.org",0
"187",2020-01-08,"github.com",0
"188",2020-01-08,"pw.edu.pl",20
"189",2020-01-08,"youtube.com",16
"190",2020-01-08,"google.com",33
"191",2020-01-08,"facebook.com",6
"192",2020-01-08,"instagram.com",0
"193",2020-01-09,"stackoverflow.com",0
"194",2020-01-09,"wikipedia.org",1
"195",2020-01-09,"github.com",0
"196",2020-01-09,"pw.edu.pl",16
"197",2020-01-09,"youtube.com",0
"198",2020-01-09,"google.com",25
"199",2020-01-09,"facebook.com",0
"200",2020-01-09,"instagram.com",0
"201",2020-01-10,"stackoverflow.com",0
"202",2020-01-10,"wikipedia.org",0
"203",2020-01-10,"github.com",0
"204",2020-01-10,"pw.edu.pl",0
"205",2020-01-10,"youtube.com",0
"206",2020-01-10,"google.com",11
"207",2020-01-10,"facebook.com",0
"208",2020-01-10,"instagram.com",0
"209",2020-01-11,"stackoverflow.com",1
"210",2020-01-11,"wikipedia.org",5
"211",2020-01-11,"github.com",0
"212",2020-01-11,"pw.edu.pl",37
"213",2020-01-11,"youtube.com",58
"214",2020-01-11,"google.com",25
"215",2020-01-11,"facebook.com",3
"216",2020-01-11,"instagram.com",0
"217",2020-01-12,"stackoverflow.com",0
"218",2020-01-12,"wikipedia.org",9
"219",2020-01-12,"github.com",0
"220",2020-01-12,"pw.edu.pl",28
"221",2020-01-12,"youtube.com",66
"222",2020-01-12,"google.com",62
"223",2020-01-12,"facebook.com",9
"224",2020-01-12,"instagram.com",0
"225",2020-01-13,"stackoverflow.com",0
"226",2020-01-13,"wikipedia.org",3
"227",2020-01-13,"github.com",7
"228",2020-01-13,"pw.edu.pl",18
"229",2020-01-13,"youtube.com",8
"230",2020-01-13,"google.com",5
"231",2020-01-13,"facebook.com",9
"232",2020-01-13,"instagram.com",0
"233",2020-01-14,"stackoverflow.com",1
"234",2020-01-14,"wikipedia.org",11
"235",2020-01-14,"github.com",0
"236",2020-01-14,"pw.edu.pl",8
"237",2020-01-14,"youtube.com",42
"238",2020-01-14,"google.com",27
"239",2020-01-14,"facebook.com",29
"240",2020-01-14,"instagram.com",0
"241",2020-01-15,"stackoverflow.com",0
"242",2020-01-15,"wikipedia.org",0
"243",2020-01-15,"github.com",0
"244",2020-01-15,"pw.edu.pl",0
"245",2020-01-15,"youtube.com",0
"246",2020-01-15,"google.com",29
"247",2020-01-15,"facebook.com",0
"248",2020-01-15,"instagram.com",0
"249",2020-01-16,"stackoverflow.com",0
"250",2020-01-16,"wikipedia.org",3
"251",2020-01-16,"github.com",53
"252",2020-01-16,"pw.edu.pl",0
"253",2020-01-16,"youtube.com",0
"254",2020-01-16,"google.com",16
"255",2020-01-16,"facebook.com",0
"256",2020-01-16,"instagram.com",0
"257",2020-01-17,"stackoverflow.com",0
"258",2020-01-17,"wikipedia.org",15
"259",2020-01-17,"github.com",0
"260",2020-01-17,"pw.edu.pl",4
"261",2020-01-17,"youtube.com",29
"262",2020-01-17,"google.com",129
"263",2020-01-17,"facebook.com",46
"264",2020-01-17,"instagram.com",0
"265",2020-01-18,"stackoverflow.com",0
"266",2020-01-18,"wikipedia.org",10
"267",2020-01-18,"github.com",0
"268",2020-01-18,"pw.edu.pl",0
"269",2020-01-18,"youtube.com",2
"270",2020-01-18,"google.com",170
"271",2020-01-18,"facebook.com",11
"272",2020-01-18,"instagram.com",0
"273",2020-01-19,"stackoverflow.com",0
"274",2020-01-19,"wikipedia.org",3
"275",2020-01-19,"github.com",0
"276",2020-01-19,"pw.edu.pl",2
"277",2020-01-19,"youtube.com",13
"278",2020-01-19,"google.com",85
"279",2020-01-19,"facebook.com",16
"280",2020-01-19,"instagram.com",0
"281",2020-01-20,"stackoverflow.com",0
"282",2020-01-20,"wikipedia.org",7
"283",2020-01-20,"github.com",0
"284",2020-01-20,"pw.edu.pl",16
"285",2020-01-20,"youtube.com",0
"286",2020-01-20,"google.com",44
"287",2020-01-20,"facebook.com",8
"288",2020-01-20,"instagram.com",0
"289",2020-01-21,"stackoverflow.com",0
"290",2020-01-21,"wikipedia.org",3
"291",2020-01-21,"github.com",0
"292",2020-01-21,"pw.edu.pl",31
"293",2020-01-21,"youtube.com",0
"294",2020-01-21,"google.com",31
"295",2020-01-21,"facebook.com",0
"296",2020-01-21,"instagram.com",0
"297",2020-01-22,"stackoverflow.com",0
"298",2020-01-22,"wikipedia.org",1
"299",2020-01-22,"github.com",0
"300",2020-01-22,"pw.edu.pl",18
"301",2020-01-22,"youtube.com",1
"302",2020-01-22,"google.com",9
"303",2020-01-22,"facebook.com",15
"304",2020-01-22,"instagram.com",0
"305",2020-01-23,"stackoverflow.com",0
"306",2020-01-23,"wikipedia.org",1
"307",2020-01-23,"github.com",20
"308",2020-01-23,"pw.edu.pl",46
"309",2020-01-23,"youtube.com",3
"310",2020-01-23,"google.com",17
"311",2020-01-23,"facebook.com",3
"312",2020-01-23,"instagram.com",0
"313",2020-01-24,"stackoverflow.com",0
"314",2020-01-24,"wikipedia.org",3
"315",2020-01-24,"github.com",8
"316",2020-01-24,"pw.edu.pl",37
"317",2020-01-24,"youtube.com",3
"318",2020-01-24,"google.com",9
"319",2020-01-24,"facebook.com",28
"320",2020-01-24,"instagram.com",0
"321",2020-01-25,"stackoverflow.com",0
"322",2020-01-25,"wikipedia.org",0
"323",2020-01-25,"github.com",0
"324",2020-01-25,"pw.edu.pl",10
"325",2020-01-25,"youtube.com",92
"326",2020-01-25,"google.com",13
"327",2020-01-25,"facebook.com",2
"328",2020-01-25,"instagram.com",0
"329",2020-01-26,"stackoverflow.com",0
"330",2020-01-26,"wikipedia.org",0
"331",2020-01-26,"github.com",0
"332",2020-01-26,"pw.edu.pl",10
"333",2020-01-26,"youtube.com",15
"334",2020-01-26,"google.com",11
"335",2020-01-26,"facebook.com",0
"336",2020-01-26,"instagram.com",0
"337",2020-01-27,"stackoverflow.com",0
"338",2020-01-27,"wikipedia.org",0
"339",2020-01-27,"github.com",2
"340",2020-01-27,"pw.edu.pl",25
"341",2020-01-27,"youtube.com",62
"342",2020-01-27,"google.com",19
"343",2020-01-27,"facebook.com",0
"344",2020-01-27,"instagram.com",0
"345",2020-01-28,"stackoverflow.com",0
"346",2020-01-28,"wikipedia.org",1
"347",2020-01-28,"github.com",0
"348",2020-01-28,"pw.edu.pl",9
"349",2020-01-28,"youtube.com",146
"350",2020-01-28,"google.com",24
"351",2020-01-28,"facebook.com",0
"352",2020-01-28,"instagram.com",0
"353",2020-01-29,"stackoverflow.com",1
"354",2020-01-29,"wikipedia.org",13
"355",2020-01-29,"github.com",19
"356",2020-01-29,"pw.edu.pl",35
"357",2020-01-29,"youtube.com",8
"358",2020-01-29,"google.com",88
"359",2020-01-29,"facebook.com",10
"360",2020-01-29,"instagram.com",0
"361",2020-01-30,"stackoverflow.com",2
"362",2020-01-30,"wikipedia.org",0
"363",2020-01-30,"github.com",17
"364",2020-01-30,"pw.edu.pl",16
"365",2020-01-30,"youtube.com",0
"366",2020-01-30,"google.com",23
"367",2020-01-30,"facebook.com",0
"368",2020-01-30,"instagram.com",0
"369",2020-01-31,"stackoverflow.com",0
"370",2020-01-31,"wikipedia.org",6
"371",2020-01-31,"github.com",4
"372",2020-01-31,"pw.edu.pl",14
"373",2020-01-31,"youtube.com",1
"374",2020-01-31,"google.com",27
"375",2020-01-31,"facebook.com",18
"376",2020-01-31,"instagram.com",0
"377",2020-02-01,"stackoverflow.com",0
"378",2020-02-01,"wikipedia.org",2
"379",2020-02-01,"github.com",0
"380",2020-02-01,"pw.edu.pl",44
"381",2020-02-01,"youtube.com",45
"382",2020-02-01,"google.com",4
"383",2020-02-01,"facebook.com",3
"384",2020-02-01,"instagram.com",0
"385",2020-02-02,"stackoverflow.com",0
"386",2020-02-02,"wikipedia.org",6
"387",2020-02-02,"github.com",0
"388",2020-02-02,"pw.edu.pl",26
"389",2020-02-02,"youtube.com",13
"390",2020-02-02,"google.com",142
"391",2020-02-02,"facebook.com",268
"392",2020-02-02,"instagram.com",0
"393",2020-02-03,"stackoverflow.com",0
"394",2020-02-03,"wikipedia.org",0
"395",2020-02-03,"github.com",0
"396",2020-02-03,"pw.edu.pl",10
"397",2020-02-03,"youtube.com",0
"398",2020-02-03,"google.com",1
"399",2020-02-03,"facebook.com",0
"400",2020-02-03,"instagram.com",0
"401",2020-02-04,"stackoverflow.com",0
"402",2020-02-04,"wikipedia.org",5
"403",2020-02-04,"github.com",0
"404",2020-02-04,"pw.edu.pl",6
"405",2020-02-04,"youtube.com",4
"406",2020-02-04,"google.com",121
"407",2020-02-04,"facebook.com",11
"408",2020-02-04,"instagram.com",0
"409",2020-02-05,"stackoverflow.com",0
"410",2020-02-05,"wikipedia.org",5
"411",2020-02-05,"github.com",0
"412",2020-02-05,"pw.edu.pl",0
"413",2020-02-05,"youtube.com",2
"414",2020-02-05,"google.com",9
"415",2020-02-05,"facebook.com",0
"416",2020-02-05,"instagram.com",0
"417",2020-02-06,"stackoverflow.com",0
"418",2020-02-06,"wikipedia.org",2
"419",2020-02-06,"github.com",0
"420",2020-02-06,"pw.edu.pl",15
"421",2020-02-06,"youtube.com",44
"422",2020-02-06,"google.com",22
"423",2020-02-06,"facebook.com",0
"424",2020-02-06,"instagram.com",0
"425",2020-02-07,"stackoverflow.com",0
"426",2020-02-07,"wikipedia.org",9
"427",2020-02-07,"github.com",0
"428",2020-02-07,"pw.edu.pl",28
"429",2020-02-07,"youtube.com",11
"430",2020-02-07,"google.com",36
"431",2020-02-07,"facebook.com",0
"432",2020-02-07,"instagram.com",0
"433",2020-02-08,"stackoverflow.com",0
"434",2020-02-08,"wikipedia.org",16
"435",2020-02-08,"github.com",0
"436",2020-02-08,"pw.edu.pl",13
"437",2020-02-08,"youtube.com",28
"438",2020-02-08,"google.com",60
"439",2020-02-08,"facebook.com",34
"440",2020-02-08,"instagram.com",0
"441",2020-02-09,"stackoverflow.com",0
"442",2020-02-09,"wikipedia.org",0
"443",2020-02-09,"github.com",0
"444",2020-02-09,"pw.edu.pl",0
"445",2020-02-09,"youtube.com",15
"446",2020-02-09,"google.com",5
"447",2020-02-09,"facebook.com",25
"448",2020-02-09,"instagram.com",0
"449",2020-02-10,"stackoverflow.com",0
"450",2020-02-10,"wikipedia.org",0
"451",2020-02-10,"github.com",0
"452",2020-02-10,"pw.edu.pl",0
"453",2020-02-10,"youtube.com",0
"454",2020-02-10,"google.com",0
"455",2020-02-10,"facebook.com",11
"456",2020-02-10,"instagram.com",0
"457",2020-02-11,"stackoverflow.com",0
"458",2020-02-11,"wikipedia.org",0
"459",2020-02-11,"github.com",0
"460",2020-02-11,"pw.edu.pl",0
"461",2020-02-11,"youtube.com",58
"462",2020-02-11,"google.com",15
"463",2020-02-11,"facebook.com",19
"464",2020-02-11,"instagram.com",0
"465",2020-02-12,"stackoverflow.com",0
"466",2020-02-12,"wikipedia.org",7
"467",2020-02-12,"github.com",0
"468",2020-02-12,"pw.edu.pl",4
"469",2020-02-12,"youtube.com",0
"470",2020-02-12,"google.com",9
"471",2020-02-12,"facebook.com",12
"472",2020-02-12,"instagram.com",0
"473",2020-02-13,"stackoverflow.com",0
"474",2020-02-13,"wikipedia.org",5
"475",2020-02-13,"github.com",0
"476",2020-02-13,"pw.edu.pl",0
"477",2020-02-13,"youtube.com",34
"478",2020-02-13,"google.com",2
"479",2020-02-13,"facebook.com",22
