"","time_usec","domain","count"
"143",2020-01-07,"facebook.com",4
"144",2020-01-07,"instagram.com",0
"145",2020-01-08,"stackoverflow.com",0
"146",2020-01-08,"wikipedia.org",6
"147",2020-01-08,"github.com",0
"148",2020-01-08,"pw.edu.pl",9
"149",2020-01-08,"youtube.com",103
"150",2020-01-08,"google.com",45
"151",2020-01-08,"facebook.com",33
"152",2020-01-08,"instagram.com",0
"153",2020-01-09,"stackoverflow.com",0
"154",2020-01-09,"wikipedia.org",1
"155",2020-01-09,"github.com",0
"156",2020-01-09,"pw.edu.pl",0
"157",2020-01-09,"youtube.com",18
"158",2020-01-09,"google.com",18
"159",2020-01-09,"facebook.com",15
"160",2020-01-09,"instagram.com",0
"161",2020-01-10,"stackoverflow.com",0
"162",2020-01-10,"wikipedia.org",78
"163",2020-01-10,"github.com",0
"164",2020-01-10,"pw.edu.pl",26
"165",2020-01-10,"youtube.com",56
"166",2020-01-10,"google.com",150
"167",2020-01-10,"facebook.com",16
"168",2020-01-10,"instagram.com",0
"169",2020-01-11,"stackoverflow.com",0
"170",2020-01-11,"wikipedia.org",16
"171",2020-01-11,"github.com",0
"172",2020-01-11,"pw.edu.pl",32
"173",2020-01-11,"youtube.com",109
"174",2020-01-11,"google.com",112
"175",2020-01-11,"facebook.com",11
"176",2020-01-11,"instagram.com",0
"177",2020-01-12,"stackoverflow.com",0
"178",2020-01-12,"wikipedia.org",23
"179",2020-01-12,"github.com",0
"180",2020-01-12,"pw.edu.pl",58
"181",2020-01-12,"youtube.com",77
"182",2020-01-12,"google.com",89
"183",2020-01-12,"facebook.com",24
"184",2020-01-12,"instagram.com",0
"185",2020-01-13,"stackoverflow.com",0
"186",2020-01-13,"wikipedia.org",7
"187",2020-01-13,"github.com",0
"188",2020-01-13,"pw.edu.pl",0
"189",2020-01-13,"youtube.com",59
"190",2020-01-13,"google.com",103
"191",2020-01-13,"facebook.com",29
"192",2020-01-13,"instagram.com",0
"193",2020-01-14,"stackoverflow.com",0
"194",2020-01-14,"wikipedia.org",13
"195",2020-01-14,"github.com",0
"196",2020-01-14,"pw.edu.pl",6
"197",2020-01-14,"youtube.com",123
"198",2020-01-14,"google.com",182
"199",2020-01-14,"facebook.com",32
"200",2020-01-14,"instagram.com",0
"201",2020-01-15,"stackoverflow.com",0
"202",2020-01-15,"wikipedia.org",8
"203",2020-01-15,"github.com",34
"204",2020-01-15,"pw.edu.pl",0
"205",2020-01-15,"youtube.com",65
"206",2020-01-15,"google.com",111
"207",2020-01-15,"facebook.com",11
"208",2020-01-15,"instagram.com",0
"209",2020-01-16,"stackoverflow.com",0
"210",2020-01-16,"wikipedia.org",9
"211",2020-01-16,"github.com",0
"212",2020-01-16,"pw.edu.pl",0
"213",2020-01-16,"youtube.com",45
"214",2020-01-16,"google.com",44
"215",2020-01-16,"facebook.com",15
"216",2020-01-16,"instagram.com",0
"217",2020-01-17,"stackoverflow.com",0
"218",2020-01-17,"wikipedia.org",3
"219",2020-01-17,"github.com",0
"220",2020-01-17,"pw.edu.pl",0
"221",2020-01-17,"youtube.com",84
