"","endTime","artistName","trackName","msPlayed","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1","2019-12-10 22:22","The Cinematic Orchestra","Channel 1 Suite - Live at the Barbican",324136,1,0.296,0.535,2,-12.175,0,0.0584,0.488,0.36,0.976,0.113,158.741,"audio_features","7ofBnB6x6fJOlKLxGHNBDl","spotify:track:7ofBnB6x6fJOlKLxGHNBDl","https://api.spotify.com/v1/tracks/7ofBnB6x6fJOlKLxGHNBDl","https://api.spotify.com/v1/audio-analysis/7ofBnB6x6fJOlKLxGHNBDl",335333,4
"2","2019-12-17 12:15","Björk","It's Oh So Quiet",43099,2,0.474,0.136,3,-14.114,1,0.0595,0.631,0,0.0717,0.2,124.412,"audio_features","0OMNQyneWmmZtTQpULYJcl","spotify:track:0OMNQyneWmmZtTQpULYJcl","https://api.spotify.com/v1/tracks/0OMNQyneWmmZtTQpULYJcl","https://api.spotify.com/v1/audio-analysis/0OMNQyneWmmZtTQpULYJcl",217733,3
"3","2019-12-17 12:17","Gotye","Somebody That I Used To Know",75807,3,0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,"audio_features","4wCmqSrbyCgxEXROQE6vtV","spotify:track:4wCmqSrbyCgxEXROQE6vtV","https://api.spotify.com/v1/tracks/4wCmqSrbyCgxEXROQE6vtV","https://api.spotify.com/v1/audio-analysis/4wCmqSrbyCgxEXROQE6vtV",244973,4
"4","2019-12-17 12:19","Greta Van Fleet","Always There",65522,4,0.399,0.881,7,-5.265,1,0.0544,0.252,0.0714,0.0771,0.37,172.634,"audio_features","2xQJwReGvxioWM9jeehAEh","spotify:track:2xQJwReGvxioWM9jeehAEh","https://api.spotify.com/v1/tracks/2xQJwReGvxioWM9jeehAEh","https://api.spotify.com/v1/audio-analysis/2xQJwReGvxioWM9jeehAEh",322000,4
"5","2019-12-17 12:20","Metric","Help I'm Alive",14186,5,0.565,0.877,5,-4.561,0,0.0614,0.00813,0.00251,0.26,0.389,118.484,"audio_features","1z4xjDLLWJgG48Bn8OCxZv","spotify:track:1z4xjDLLWJgG48Bn8OCxZv","https://api.spotify.com/v1/tracks/1z4xjDLLWJgG48Bn8OCxZv","https://api.spotify.com/v1/audio-analysis/1z4xjDLLWJgG48Bn8OCxZv",285920,4
"6","2019-12-17 12:25","Queens of the Stone Age","No One Knows",278746,6,0.507,0.588,0,-4.881,1,0.0641,0.0359,0.000129,0.373,0.637,170.889,"audio_features","6NvRxjfYkkT2SpirAlmsjH","spotify:track:6NvRxjfYkkT2SpirAlmsjH","https://api.spotify.com/v1/tracks/6NvRxjfYkkT2SpirAlmsjH","https://api.spotify.com/v1/audio-analysis/6NvRxjfYkkT2SpirAlmsjH",278707,4
"7","2019-12-17 12:31","Young the Giant","Cough Syrup",247056,7,0.534,0.721,11,-7.307,0,0.0417,0.0343,6.24e-06,0.115,0.225,128.978,"audio_features","1UqhkbzB1kuFwt2iy4h29Q","spotify:track:1UqhkbzB1kuFwt2iy4h29Q","https://api.spotify.com/v1/tracks/1UqhkbzB1kuFwt2iy4h29Q","https://api.spotify.com/v1/audio-analysis/1UqhkbzB1kuFwt2iy4h29Q",249520,3
"8","2019-12-17 12:36","Frank Ocean","Nikes",314075,8,0.543,0.394,8,-9.637,1,0.0864,0.695,0.000239,0.108,0.118,137.811,"audio_features","19YKaevk2bce4odJkP5L22","spotify:track:19YKaevk2bce4odJkP5L22","https://api.spotify.com/v1/tracks/19YKaevk2bce4odJkP5L22","https://api.spotify.com/v1/audio-analysis/19YKaevk2bce4odJkP5L22",314075,4
"9","2019-12-17 12:40","Frank Ocean","Ivy",249191,9,0.567,0.388,9,-9.579,0,0.0384,0.782,0.000309,0.248,0.452,116.362,"audio_features","2ZWlPOoWh0626oTaHrnl2a","spotify:track:2ZWlPOoWh0626oTaHrnl2a","https://api.spotify.com/v1/tracks/2ZWlPOoWh0626oTaHrnl2a","https://api.spotify.com/v1/audio-analysis/2ZWlPOoWh0626oTaHrnl2a",249191,4
"10","2019-12-17 12:43","Frank Ocean","Pink + White",184516,10,0.544,0.552,9,-7.45,1,0.0991,0.67,4.57e-05,0.415,0.554,159.738,"audio_features","3xKsf9qdS1CyvXSMEid6g8","spotify:track:3xKsf9qdS1CyvXSMEid6g8","https://api.spotify.com/v1/tracks/3xKsf9qdS1CyvXSMEid6g8","https://api.spotify.com/v1/audio-analysis/3xKsf9qdS1CyvXSMEid6g8",184516,3
"11","2019-12-17 12:45","Frank Ocean","Be Yourself",86943,11,0.657,0.431,7,-11.147,1,0.541,0.985,0,0.149,0.935,83.509,"audio_features","1IdZvb2XK8NmsovQlV6CPn","spotify:track:1IdZvb2XK8NmsovQlV6CPn","https://api.spotify.com/v1/tracks/1IdZvb2XK8NmsovQlV6CPn","https://api.spotify.com/v1/audio-analysis/1IdZvb2XK8NmsovQlV6CPn",86944,3
"12","2019-12-17 12:49","Frank Ocean","Solo",257380,12,0.444,0.287,5,-10.631,0,0.0375,0.849,2.82e-06,0.161,0.246,124.027,"audio_features","35xSkNIXi504fcEwz9USRB","spotify:track:35xSkNIXi504fcEwz9USRB","https://api.spotify.com/v1/tracks/35xSkNIXi504fcEwz9USRB","https://api.spotify.com/v1/audio-analysis/35xSkNIXi504fcEwz9USRB",257380,4
"13","2019-12-17 12:52","Frank Ocean","Skyline To",184600,13,0.423,0.294,5,-13.673,0,0.0593,0.882,5.43e-06,0.0981,0.401,129.146,"audio_features","4xR3MAscflQ262kMeiKshQ","spotify:track:4xR3MAscflQ262kMeiKshQ","https://api.spotify.com/v1/tracks/4xR3MAscflQ262kMeiKshQ","https://api.spotify.com/v1/audio-analysis/4xR3MAscflQ262kMeiKshQ",184600,4
"14","2019-12-17 12:56","Frank Ocean","Self Control",249667,14,0.572,0.209,8,-10.413,1,0.0313,0.765,0,0.356,0.446,80.069,"audio_features","5GUYJTQap5F3RDQiCOJhrS","spotify:track:5GUYJTQap5F3RDQiCOJhrS","https://api.spotify.com/v1/tracks/5GUYJTQap5F3RDQiCOJhrS","https://api.spotify.com/v1/audio-analysis/5GUYJTQap5F3RDQiCOJhrS",249668,4
