Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
19244699,SDGAIRBOD,COUNTRY,AFG,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,31[ 26–36],31.26035,25.66424,35.67203,,2018-05-28T14:22:44.043+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244708,SDGAIRBOD,COUNTRY,AFG,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,39[ 33–44],38.51239,33.1229,43.64558,,2018-05-28T14:22:44.49+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244711,SDGAIRBOD,COUNTRY,AFG,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,2[ 1–2],1.61168,1.20889,1.96027,,2018-05-28T14:22:44.567+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244714,SDGAIRBOD,COUNTRY,AFG,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,16[ 13–18],15.75488,13.4786,18.04319,,2018-05-28T14:22:44.64+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244717,SDGAIRBOD,COUNTRY,AGO,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,44[ 36–52],44.49823,36.09982,52.16877,,2018-05-28T14:22:44.717+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244726,SDGAIRBOD,COUNTRY,AGO,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,11[ 9–12],10.54435,8.95344,12.21128,,2018-05-28T14:22:45.037+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244729,SDGAIRBOD,COUNTRY,AGO,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,0[ 0–0],0.30365,0.2202,0.37849,,2018-05-28T14:22:45.187+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244732,SDGAIRBOD,COUNTRY,AGO,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,8[ 6–9],7.60902,6.27555,9.04454,,2018-05-28T14:22:45.3+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244735,SDGAIRBOD,COUNTRY,ALB,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,5[ 3–7],5.03065,2.98539,7.46467,,2018-05-28T14:22:45.437+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244744,SDGAIRBOD,COUNTRY,ALB,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,51[ 34–71],51.12652,33.86198,70.75025,,2018-05-28T14:22:45.963+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244747,SDGAIRBOD,COUNTRY,ALB,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,11[ 5–17],10.70549,5.27181,17.30679,,2018-05-28T14:22:46.063+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244750,SDGAIRBOD,COUNTRY,ALB,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,31[ 18–48],30.82976,17.99597,47.7779,,2018-05-28T14:22:46.157+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244771,SDGAIRBOD,COUNTRY,ARE,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,1[ 1–2],1.10363,0.79035,1.50687,,2018-05-28T14:22:46.953+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244780,SDGAIRBOD,COUNTRY,ARE,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,10[ 8–12],9.68642,8.1255,11.72999,,2018-05-28T14:22:47.267+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244783,SDGAIRBOD,COUNTRY,ARE,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,0[ 0–1],0.44838,0.27083,0.67149,,2018-05-28T14:22:47.367+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244786,SDGAIRBOD,COUNTRY,ARE,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,3[ 3–4],3.28521,2.73002,4.04767,,2018-05-28T14:22:47.447+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244789,SDGAIRBOD,COUNTRY,ARG,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,10[ 4–18],10.13754,4.27669,17.73043,,2018-05-28T14:22:47.533+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244798,SDGAIRBOD,COUNTRY,ARG,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,13[ 9–17],13.21722,9.26306,17.49192,,2018-05-28T14:22:47.827+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244801,SDGAIRBOD,COUNTRY,ARG,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,2[ 1–4],2.09549,0.98932,3.61873,,2018-05-28T14:22:47.9+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244804,SDGAIRBOD,COUNTRY,ARG,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,5[ 3–8],4.55154,3.01638,7.69539,,2018-05-28T14:22:48+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244807,SDGAIRBOD,COUNTRY,ARM,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,3[ 2–4],2.96672,2.01834,4.08307,,2018-05-28T14:22:48.093+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244816,SDGAIRBOD,COUNTRY,ARM,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,50[ 36–65],49.88085,36.4659,64.93385,,2018-05-28T14:22:48.397+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244819,SDGAIRBOD,COUNTRY,ARM,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,9[ 5–13],8.56609,4.9051,13.14083,,2018-05-28T14:22:48.49+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244822,SDGAIRBOD,COUNTRY,ARM,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,10[ 7–15],10.11918,7.08617,14.80293,,2018-05-28T14:22:48.577+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244825,SDGAIRBOD,COUNTRY,ATG,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,6[ 3–9],5.77216,3.06414,8.75562,,2018-05-28T14:22:48.663+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244834,SDGAIRBOD,COUNTRY,ATG,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,13[ 10–17],13.2789,9.92782,16.51686,,2018-05-28T14:22:48.937+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244837,SDGAIRBOD,COUNTRY,ATG,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,1[ 0–1],0.50035,0.27369,0.77684,,2018-05-28T14:22:49.02+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244840,SDGAIRBOD,COUNTRY,ATG,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,6[ 4–9],6.25873,4.48565,8.96651,,2018-05-28T14:22:49.107+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244843,SDGAIRBOD,COUNTRY,AUS,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,1[ 0–3],1.15353,0.29711,2.53595,,2018-05-28T14:22:49.197+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244852,SDGAIRBOD,COUNTRY,AUS,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,8[ 5–12],8.09849,4.82173,12.01515,,2018-05-28T14:22:49.433+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244855,SDGAIRBOD,COUNTRY,AUS,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,2[ 1–3],1.54411,0.629,2.92206,,2018-05-28T14:22:49.52+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
19244858,SDGAIRBOD,COUNTRY,AUS,YEAR,2016,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,3[ 1–8],2.85286,1.07512,7.80395,,2018-05-28T14:22:49.61+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
