"","artistName","endTime"
"1","     John Coltrane",2019-04-19
"2","    The Black Keys",2020-01-08
"3","Red Hot Chili P...",2020-01-08
"4","Red Hot Chili P...",2020-01-08
"5","Red Hot Chili P...",2020-01-08
"6","Red Hot Chili P...",2020-01-08
"7","Red Hot Chili P...",2020-01-08
"8","Red Hot Chili P...",2020-01-08
"9","Red Hot Chili P...",2020-01-08
"10","Red Hot Chili P...",2020-01-08
"11","Red Hot Chili P...",2020-01-08
"12","Red Hot Chili P...",2020-01-08
"13","Red Hot Chili P...",2020-01-08
"14","Red Hot Chili P...",2020-01-08
"15","Red Hot Chili P...",2020-01-08
"16","Red Hot Chili P...",2020-01-08
"17","Red Hot Chili P...",2020-01-08
"18","Red Hot Chili P...",2020-01-08
"19","Red Hot Chili P...",2020-01-09
"20","Red Hot Chili P...",2020-01-09
"21","Red Hot Chili P...",2020-01-09
"22","Red Hot Chili P...",2020-01-09
"23","Red Hot Chili P...",2020-01-09
"24","Red Hot Chili P...",2020-01-09
"25","Red Hot Chili P...",2020-01-09
"26","Red Hot Chili P...",2020-01-09
"27","Red Hot Chili P...",2020-01-09
"28","Red Hot Chili P...",2020-01-09
"29","        Pink Floyd",2020-01-09
"30","Red Hot Chili P...",2020-01-09
"31","        Pink Floyd",2020-01-09
"32","    Arctic Monkeys",2020-01-09
"33","    Arctic Monkeys",2020-01-09
"34","    Arctic Monkeys",2020-01-09
"35","    Arctic Monkeys",2020-01-09
"36","    Arctic Monkeys",2020-01-09
"37","    Arctic Monkeys",2020-01-09
"38","    Arctic Monkeys",2020-01-09
"39","    Arctic Monkeys",2020-01-09
"40","    Arctic Monkeys",2020-01-09
"41","    Arctic Monkeys",2020-01-09
"42","    Arctic Monkeys",2020-01-09
"43","    Arctic Monkeys",2020-01-09
"44","    Arctic Monkeys",2020-01-09
"45","    Declan McKenna",2020-01-09
"46"," Cage The Elephant",2020-01-09
"47","     Kings of Leon",2020-01-09
"48","    Arctic Monkeys",2020-01-09
"49","        Pink Floyd",2020-01-09
"50","        Pink Floyd",2020-01-10
"51","        Pink Floyd",2020-01-10
"52","        Pink Floyd",2020-01-10
"53","        Pink Floyd",2020-01-10
"54","        Pink Floyd",2020-01-10
"55","        Pink Floyd",2020-01-10
"56","         The Doors",2020-01-10
"57","       Deep Purple",2020-01-10
"58","      Led Zeppelin",2020-01-10
"59","        Pink Floyd",2020-01-10
"60","        Neil Young",2020-01-10
"61","Jefferson Airplane",2020-01-10
"62","           The Who",2020-01-10
"63","        Pink Floyd",2020-01-10
"64","  Michael Kiwanuka",2020-01-10
"65","          Gorillaz",2020-01-10
"66","          Bitamina",2020-01-10
"67","  Michael Kiwanuka",2020-01-10
"68","             alt-J",2020-01-10
"69","             alt-J",2020-01-11
"70","             alt-J",2020-01-11
"71","          Bitamina",2020-01-11
"72","            Maanam",2020-01-11
"73","             BOKKA",2020-01-11
"74","           Lao Che",2020-01-11
"75","           Sistars",2020-01-11
"76","Pablopavo i Lud...",2020-01-11
"77","             Pezet",2020-01-11
"78","  Zbigniew Wodecki",2020-01-11
"79","     Clock Machine",2020-01-11
"80","        Pink Floyd",2020-01-11
"81","        Pink Floyd",2020-01-11
"82","        Pink Floyd",2020-01-11
"83","        Pink Floyd",2020-01-11
"84","        Pink Floyd",2020-01-11
"85","        Pink Floyd",2020-01-11
"86","        Pink Floyd",2020-01-11
"87","        Pink Floyd",2020-01-11
"88","        Pink Floyd",2020-01-11
"89","        Pink Floyd",2020-01-11
"90","        Pink Floyd",2020-01-11
"91","        Pink Floyd",2020-01-11
"92","The Rolling Stones",2020-01-12
"93","The Velvet Unde...",2020-01-12
"94","      Led Zeppelin",2020-01-12
"95","        Pink Floyd",2020-01-12
"96","        Pink Floyd",2020-01-12
"97","      Lana Del Rey",2020-01-13
"98","         Eden Mary",2020-01-13
"99","          Bitamina",2020-01-13
"100","            Kortez",2020-01-13
"101","      Alice Merton",2020-01-13
"102","          Rosalie.",2020-01-13
"103","       Artur Rojek",2020-01-13
"104","             alt-J",2020-01-13
"105","       Artur Rojek",2020-01-13
"106","       Artur Rojek",2020-01-13
"107","             Pezet",2020-01-13
"108","          schafter",2020-01-13
"109","    Ralph Kaminski",2020-01-13
"110","              Coma",2020-01-13
"111","  Dawid Podsiadło",2020-01-13
"112","           Tęskno",2020-01-13
"113","          Bitamina",2020-01-13
"114","     The Dumplings",2020-01-13
"115","          Rosalie.",2020-01-13
"116","   Patrick the Pan",2020-01-13
"117","             Coals",2020-01-13
"118","          Breakout",2020-01-13
"119","           Voo Voo",2020-01-13
"120","     Clock Machine",2020-01-13
"121","             Kroki",2020-01-13
"122","      Albo Inaczej",2020-01-13
"123","          schafter",2020-01-13
"124","          schafter",2020-01-13
"125","          schafter",2020-01-13
"126","          schafter",2020-01-13
"127","          schafter",2020-01-13
"128","          schafter",2020-01-14
"129","          schafter",2020-01-14
"130","          schafter",2020-01-14
"131","          schafter",2020-01-14
"132","          schafter",2020-01-14
"133","          schafter",2020-01-14
"134","          schafter",2020-01-14
"135","          schafter",2020-01-14
"136","          schafter",2020-01-14
"137","          schafter",2020-01-14
"138","          schafter",2020-01-14
"139","          schafter",2020-01-14
"140","          schafter",2020-01-14
"141","          schafter",2020-01-14
"142","      Lana Del Rey",2020-01-14
"143","      Lana Del Rey",2020-01-14
"144","      Lana Del Rey",2020-01-14
"145","      Lana Del Rey",2020-01-14
"146","      Lana Del Rey",2020-01-14
"147","      Lana Del Rey",2020-01-14
"148","      Lana Del Rey",2020-01-14
"149","      Lana Del Rey",2020-01-14
"150","      Lana Del Rey",2020-01-14
"151","      Lana Del Rey",2020-01-14
"152","      Lana Del Rey",2020-01-14
"153","      Lana Del Rey",2020-01-14
"154","      Lana Del Rey",2020-01-14
"155","      Lana Del Rey",2020-01-14
"156","      Lana Del Rey",2020-01-14
