"","from","to","from_num","to_num","wariant"
"1","Janek","Nick Cave & The Bad Seeds",0,2,"jb"
"2","Janek","Myslovitz",0,3,"jb"
"3","Janek","PRO8L3M",0,4,"jb"
"4","Janek","The Weeknd",0,5,"jb"
"5","Janek","clipping.",0,6,"jb"
"6","Bartek","The Weeknd",1,5,"jb"
"7","Bartek","PRO8L3M",1,4,"jb"
"8","Bartek","clipping.",1,6,"jb"
"9","Bartek","Myslovitz",1,3,"jb"
"10","Bartek","Nick Cave & The Bad Seeds",1,2,"jb"
"11","Bartek","Oliver Tree",1,7,"jb"
"12","Bartek","Joji",1,8,"jb"
"13","Bartek","TUZZA Globale",1,9,"jb"
"14","Bartek","Bedoes",1,10,"jb"
"15","Bartek","Lingua Ignota",1,11,"jb"
"16","Bartek","Dorian Electra",1,12,"jb"
"17","Janek","Tom Waits",0,13,"jb"
"18","Janek","Nicolas Jaar",0,14,"jb"
"19","Janek","The Flaming Lips",0,15,"jb"
"20","Janek","Slowdive",0,16,"jb"
"21","Janek","TOOL",0,17,"jb"
"22","Janek","Radiohead",0,18,"jb"
"23","Szymon","Fleet Foxes",0,2,"sj"
"24","Szymon","Lana Del Rey",0,3,"sj"
"25","Szymon","Nick Cave & The Bad Seeds",0,4,"sj"
"26","Szymon","Massive Attack",0,5,"sj"
"27","Szymon","Radiohead",0,6,"sj"
"28","Janek","Radiohead",1,6,"sj"
"29","Janek","Nick Cave & The Bad Seeds",1,4,"sj"
"30","Janek","Fleet Foxes",1,2,"sj"
"31","Janek","Massive Attack",1,5,"sj"
"32","Janek","Lana Del Rey",1,3,"sj"
"33","Szymon","Kamasi Washington",0,7,"sj"
"34","Szymon","Gorillaz",0,8,"sj"
"35","Szymon","Michael Kiwanuka",0,9,"sj"
"36","Szymon","Pink Floyd",0,10,"sj"
"37","Szymon","Keith Jarrett",0,11,"sj"
"38","Szymon","Łona I Webber",0,12,"sj"
"39","Janek","Tom Waits",1,13,"sj"
"40","Janek","Nicolas Jaar",1,14,"sj"
"41","Janek","The Flaming Lips",1,15,"sj"
"42","Janek","Slowdive",1,16,"sj"
"43","Janek","TOOL",1,17,"sj"
"44","Janek","Morphine",1,18,"sj"
"45","Szymon","Lana Del Rey",0,2,"sb"
"46","Szymon","Nick Cave & The Bad Seeds",0,3,"sb"
"47","Szymon","Michael Kiwanuka",0,4,"sb"
"48","Szymon","Taco Hemingway",0,5,"sb"
"49","Szymon","Kanye West",0,6,"sb"
"50","Bartek","Michael Kiwanuka",1,4,"sb"
"51","Bartek","Lana Del Rey",1,2,"sb"
"52","Bartek","Nick Cave & The Bad Seeds",1,3,"sb"
"53","Bartek","Taco Hemingway",1,5,"sb"
"54","Bartek","Kanye West",1,6,"sb"
"55","Szymon","Fleet Foxes",0,7,"sb"
"56","Szymon","Kamasi Washington",0,8,"sb"
"57","Szymon","Gorillaz",0,9,"sb"
"58","Szymon","Massive Attack",0,10,"sb"
"59","Szymon","Pink Floyd",0,11,"sb"
"60","Szymon","Radiohead",0,12,"sb"
"61","Bartek","Oliver Tree",1,13,"sb"
"62","Bartek","The Weeknd",1,14,"sb"
"63","Bartek","Joji",1,15,"sb"
"64","Bartek","PRO8L3M",1,16,"sb"
"65","Bartek","clipping.",1,17,"sb"
"66","Bartek","TUZZA Globale",1,18,"sb"
