"","week","weekly_time","name"
"121","2020-08-17",15.3852666666667,"Szymon"
"122","2020-08-24",180.462183333333,"Szymon"
"123","2020-08-31",354.441133333333,"Szymon"
"124","2020-09-07",246.212866666667,"Szymon"
"125","2020-09-21",578.2076,"Szymon"
"126","2020-09-28",258.726683333333,"Szymon"
"127","2020-10-05",377.732066666667,"Szymon"
"128","2020-10-12",463.044966666667,"Szymon"
"129","2020-10-19",358.708916666667,"Szymon"
"130","2020-10-26",397.269866666667,"Szymon"
