"","date","pos","artistName","no","color"
"1",2020-01-01,1,NA,NA,NA
"2",2020-01-01,2,NA,NA,NA
"3",2020-01-01,3,NA,NA,NA
"4",2020-01-01,4,NA,NA,NA
"5",2020-01-01,5,NA,NA,NA
"6",2020-01-01,6,NA,NA,NA
"7",2020-01-01,7,NA,NA,NA
"8",2020-01-01,8,NA,NA,NA
"9",2020-01-01,9,NA,NA,NA
"10",2020-01-01,10,NA,NA,NA
"11",2020-01-02,1,NA,NA,NA
"12",2020-01-02,2,NA,NA,NA
"13",2020-01-02,3,NA,NA,NA
"14",2020-01-02,4,NA,NA,NA
"15",2020-01-02,5,NA,NA,NA
"16",2020-01-02,6,NA,NA,NA
"17",2020-01-02,7,NA,NA,NA
"18",2020-01-02,8,NA,NA,NA
"19",2020-01-02,9,NA,NA,NA
"20",2020-01-02,10,NA,NA,NA
"21",2020-01-03,1,NA,NA,NA
"22",2020-01-03,2,NA,NA,NA
"23",2020-01-03,3,NA,NA,NA
"24",2020-01-03,4,NA,NA,NA
"25",2020-01-03,5,NA,NA,NA
"26",2020-01-03,6,NA,NA,NA
"27",2020-01-03,7,NA,NA,NA
"28",2020-01-03,8,NA,NA,NA
"29",2020-01-03,9,NA,NA,NA
"30",2020-01-03,10,NA,NA,NA
"31",2020-01-04,1,NA,NA,NA
"32",2020-01-04,2,NA,NA,NA
"33",2020-01-04,3,NA,NA,NA
"34",2020-01-04,4,NA,NA,NA
"35",2020-01-04,5,NA,NA,NA
"36",2020-01-04,6,NA,NA,NA
"37",2020-01-04,7,NA,NA,NA
"38",2020-01-04,8,NA,NA,NA
"39",2020-01-04,9,NA,NA,NA
"40",2020-01-04,10,NA,NA,NA
"41",2020-01-05,1,NA,NA,NA
"42",2020-01-05,2,NA,NA,NA
"43",2020-01-05,3,NA,NA,NA
"44",2020-01-05,4,NA,NA,NA
"45",2020-01-05,5,NA,NA,NA
"46",2020-01-05,6,NA,NA,NA
"47",2020-01-05,7,NA,NA,NA
"48",2020-01-05,8,NA,NA,NA
"49",2020-01-05,9,NA,NA,NA
"50",2020-01-05,10,NA,NA,NA
"51",2020-01-06,1,NA,NA,NA
"52",2020-01-06,2,NA,NA,NA
"53",2020-01-06,3,NA,NA,NA
"54",2020-01-06,4,NA,NA,NA
"55",2020-01-06,5,NA,NA,NA
"56",2020-01-06,6,NA,NA,NA
"57",2020-01-06,7,NA,NA,NA
"58",2020-01-06,8,NA,NA,NA
"59",2020-01-06,9,NA,NA,NA
"60",2020-01-06,10,NA,NA,NA
"61",2020-01-07,1,NA,NA,NA
"62",2020-01-07,2,NA,NA,NA
"63",2020-01-07,3,NA,NA,NA
"64",2020-01-07,4,NA,NA,NA
"65",2020-01-07,5,NA,NA,NA
"66",2020-01-07,6,NA,NA,NA
"67",2020-01-07,7,NA,NA,NA
"68",2020-01-07,8,NA,NA,NA
"69",2020-01-07,9,NA,NA,NA
"70",2020-01-07,10,NA,NA,NA
"71",2020-01-08,1,"Red Hot Chili P...",16,"#80B1D3"
"72",2020-01-08,2,"    The Black Keys",1,"#FB8072"
"73",2020-01-08,3,NA,NA,NA
"74",2020-01-08,4,NA,NA,NA
"75",2020-01-08,5,NA,NA,NA
"76",2020-01-08,6,NA,NA,NA
"77",2020-01-08,7,NA,NA,NA
"78",2020-01-08,8,NA,NA,NA
"79",2020-01-08,9,NA,NA,NA
"80",2020-01-08,10,NA,NA,NA
"81",2020-01-09,1,"Red Hot Chili P...",27,"#80B1D3"
"82",2020-01-09,2,"    Arctic Monkeys",14,"#FFED6F"
"83",2020-01-09,3,"        Pink Floyd",3,"#D9D9D9"
"84",2020-01-09,4," Cage The Elephant",1,"#BC80BD"
"85",2020-01-09,5,"    Declan McKenna",1,"#B3DE69"
"86",2020-01-09,6,"     Kings of Leon",1,"#FDB462"
"87",2020-01-09,7,"    The Black Keys",1,"#FB8072"
"88",2020-01-09,8,NA,NA,NA
"89",2020-01-09,9,NA,NA,NA
"90",2020-01-09,10,NA,NA,NA
"91",2020-01-10,1,"Red Hot Chili P...",27,"#80B1D3"
"92",2020-01-10,2,"    Arctic Monkeys",14,"#FFED6F"
"93",2020-01-10,3,"        Pink Floyd",11,"#D9D9D9"
"94",2020-01-10,4,"  Michael Kiwanuka",2,"#80B1D3"
"95",2020-01-10,5,"             alt-J",1,"#B3DE69"
"96",2020-01-10,6,"          Bitamina",1,"#FFED6F"
"97",2020-01-10,7," Cage The Elephant",1,"#BC80BD"
"98",2020-01-10,8,"    Declan McKenna",1,"#B3DE69"
"99",2020-01-10,9,"       Deep Purple",1,"#FFFFB3"
"100",2020-01-10,10,"          Gorillaz",1,"#D9D9D9"
"101",2020-01-11,1,"Red Hot Chili P...",27,"#80B1D3"
"102",2020-01-11,2,"        Pink Floyd",23,"#D9D9D9"
"103",2020-01-11,3,"    Arctic Monkeys",14,"#FFED6F"
"104",2020-01-11,4,"             alt-J",3,"#B3DE69"
"105",2020-01-11,5,"          Bitamina",2,"#FFED6F"
"106",2020-01-11,6,"  Michael Kiwanuka",2,"#80B1D3"
"107",2020-01-11,7,"             BOKKA",1,"#FDB462"
"108",2020-01-11,8," Cage The Elephant",1,"#BC80BD"
"109",2020-01-11,9,"     Clock Machine",1,"#FB8072"
"110",2020-01-11,10,"    Declan McKenna",1,"#B3DE69"
"111",2020-01-12,1,"Red Hot Chili P...",27,"#80B1D3"
