"","date","pos","artistName","no","color"
"1",2020-01-01,1,"    The Beach Boys",15,"#CCEBC5"
"2",2020-01-01,2,"    Marek Grechuta",3,"#BC80BD"
"3",2020-01-01,3,"       The Beatles",3,"#FFED6F"
"4",2020-01-01,4,"   Vampire Weekend",3,"#CCEBC5"
"5",2020-01-01,5,"             JAY-Z",2,"#8DD3C7"
"6",2020-01-01,6,"          schafter",2,"#CCEBC5"
"7",2020-01-01,7,"    Anderson .Paak",1,"#FFFFB3"
"8",2020-01-01,8,"Godspeed You! B...",1,"#BEBADA"
"9",2020-01-01,9,"      Lana Del Rey",1,"#FFED6F"
"10",2020-01-01,10,"         Lil Nas X",1,"#D9D9D9"
"11",2020-01-02,1,"         clipping.",17,"#BC80BD"
"12",2020-01-02,2,"    The Beach Boys",15,"#CCEBC5"
"13",2020-01-02,3,"             SAULT",5,"#FFED6F"
"14",2020-01-02,4,"    Marek Grechuta",4,"#BC80BD"
"15",2020-01-02,5,"       The Beatles",3,"#FFED6F"
"16",2020-01-02,6,"              TOOL",3,"#D9D9D9"
"17",2020-01-02,7,"   Vampire Weekend",3,"#CCEBC5"
"18",2020-01-02,8,"       Angel Olsen",2,"#FCCDE5"
"19",2020-01-02,9,"          Jai Paul",2,"#FB8072"
"20",2020-01-02,10,"             JAY-Z",2,"#8DD3C7"
"21",2020-01-03,1,"         clipping.",33,"#BC80BD"
"22",2020-01-03,2,"    The Beach Boys",15,"#CCEBC5"
"23",2020-01-03,3,"     Gesaffelstein",6,"#FDB462"
"24",2020-01-03,4,"             SAULT",6,"#FFED6F"
"25",2020-01-03,5,"    Kendrick Lamar",5,"#FFFFB3"
"26",2020-01-03,6,"             Pezet",5,"#80B1D3"
"27",2020-01-03,7,"    Marek Grechuta",4,"#BC80BD"
"28",2020-01-03,8,"          schafter",4,"#CCEBC5"
"29",2020-01-03,9,"          Jai Paul",3,"#FB8072"
"30",2020-01-03,10,"     Leonard Cohen",3,"#D9D9D9"
"31",2020-01-04,1,"         clipping.",44,"#BC80BD"
"32",2020-01-04,2,"     Leonard Cohen",24,"#D9D9D9"
"33",2020-01-04,3,"    The Beach Boys",15,"#CCEBC5"
"34",2020-01-04,4,"     Gesaffelstein",9,"#FDB462"
"35",2020-01-04,5,"    Massive Attack",9,"#FFFFB3"
"36",2020-01-04,6,"             Pezet",9,"#80B1D3"
"37",2020-01-04,7,"             SAULT",9,"#FFED6F"
"38",2020-01-04,8,"           PRO8L3M",7,"#D9D9D9"
"39",2020-01-04,9,"           Alvvays",6,"#FDB462"
"40",2020-01-04,10,"            Baauer",6,"#B3DE69"
"41",2020-01-05,1,"         clipping.",45,"#BC80BD"
"42",2020-01-05,2,"     Leonard Cohen",33,"#D9D9D9"
"43",2020-01-05,3,"    The Beach Boys",15,"#CCEBC5"
"44",2020-01-05,4,"             SAULT",12,"#FFED6F"
"45",2020-01-05,5,"            Grimes",10,"#80B1D3"
"46",2020-01-05,6,"     Gesaffelstein",9,"#FDB462"
"47",2020-01-05,7,"      Lana Del Rey",9,"#FFED6F"
"48",2020-01-05,8,"    Massive Attack",9,"#FFFFB3"
"49",2020-01-05,9,"             Pezet",9,"#80B1D3"
"50",2020-01-05,10,"           PRO8L3M",7,"#D9D9D9"
"51",2020-01-06,1,"         clipping.",46,"#BC80BD"
"52",2020-01-06,2,"     Leonard Cohen",33,"#D9D9D9"
"53",2020-01-06,3,"     Gesaffelstein",25,"#FDB462"
"54",2020-01-06,4,"    The Beach Boys",15,"#CCEBC5"
"55",2020-01-06,5,"      The National",15,"#FFED6F"
"56",2020-01-06,6,"             SAULT",13,"#FFED6F"
"57",2020-01-06,7,"           PRO8L3M",12,"#D9D9D9"
"58",2020-01-06,8,"            Grimes",10,"#80B1D3"
"59",2020-01-06,9,"    Massive Attack",10,"#FFFFB3"
"60",2020-01-06,10,"      Lana Del Rey",9,"#FFED6F"
"61",2020-01-07,1,"         clipping.",46,"#BC80BD"
"62",2020-01-07,2,"     Leonard Cohen",34,"#D9D9D9"
"63",2020-01-07,3,"Godspeed You! B...",32,"#BEBADA"
"64",2020-01-07,4,"     Gesaffelstein",29,"#FDB462"
"65",2020-01-07,5,"      The National",16,"#FFED6F"
"66",2020-01-07,6,"           PRO8L3M",15,"#D9D9D9"
"67",2020-01-07,7,"    The Beach Boys",15,"#CCEBC5"
"68",2020-01-07,8,"             SAULT",13,"#FFED6F"
"69",2020-01-07,9,"    Massive Attack",11,"#FFFFB3"
"70",2020-01-07,10,"            Baauer",10,"#B3DE69"
"71",2020-01-08,1,"         clipping.",46,"#BC80BD"
"72",2020-01-08,2,"     Leonard Cohen",35,"#D9D9D9"
"73",2020-01-08,3,"Godspeed You! B...",32,"#BEBADA"
"74",2020-01-08,4,"     Gesaffelstein",29,"#FDB462"
"75",2020-01-08,5,"      The National",16,"#FFED6F"
"76",2020-01-08,6,"           PRO8L3M",15,"#D9D9D9"
"77",2020-01-08,7,"    The Beach Boys",15,"#CCEBC5"
"78",2020-01-08,8,"             SAULT",13,"#FFED6F"
"79",2020-01-08,9,"    Massive Attack",11,"#FFFFB3"
"80",2020-01-08,10,"             Pezet",11,"#80B1D3"
"81",2020-01-09,1,"         clipping.",46,"#BC80BD"
"82",2020-01-09,2,"     Leonard Cohen",35,"#D9D9D9"
"83",2020-01-09,3,"Godspeed You! B...",32,"#BEBADA"
"84",2020-01-09,4,"     Gesaffelstein",31,"#FDB462"
"85",2020-01-09,5,"             SAULT",19,"#FFED6F"
"86",2020-01-09,6,"    Massive Attack",17,"#FFFFB3"
"87",2020-01-09,7,"      The National",16,"#FFED6F"
"88",2020-01-09,8,"            Baauer",15,"#B3DE69"
"89",2020-01-09,9,"           PRO8L3M",15,"#D9D9D9"
"90",2020-01-09,10,"    The Beach Boys",15,"#CCEBC5"
"91",2020-01-10,1,"         clipping.",46,"#BC80BD"
"92",2020-01-10,2,"Godspeed You! B...",37,"#BEBADA"
"93",2020-01-10,3,"     Leonard Cohen",35,"#D9D9D9"
"94",2020-01-10,4,"     Gesaffelstein",31,"#FDB462"
"95",2020-01-10,5,"Nick Cave & The...",22,"#FDB462"
"96",2020-01-10,6,"             SAULT",19,"#FFED6F"
"97",2020-01-10,7,"    Massive Attack",18,"#FFFFB3"
"98",2020-01-10,8,"           PRO8L3M",17,"#D9D9D9"
"99",2020-01-10,9,"      The National",17,"#FFED6F"
"100",2020-01-10,10,"            Baauer",15,"#B3DE69"
"101",2020-01-11,1,"         clipping.",46,"#BC80BD"
"102",2020-01-11,2,"Godspeed You! B...",37,"#BEBADA"
"103",2020-01-11,3,"     Leonard Cohen",35,"#D9D9D9"
"104",2020-01-11,4,"     Gesaffelstein",32,"#FDB462"
"105",2020-01-11,5,"Nick Cave & The...",23,"#FDB462"
"106",2020-01-11,6,"           PRO8L3M",22,"#D9D9D9"
"107",2020-01-11,7,"             SAULT",19,"#FFED6F"
"108",2020-01-11,8,"    Massive Attack",18,"#FFFFB3"
"109",2020-01-11,9,"            Baauer",17,"#B3DE69"
"110",2020-01-11,10,"      The National",17,"#FFED6F"
"111",2020-01-12,1,"     Leonard Cohen",47,"#D9D9D9"
"112",2020-01-12,2,"         clipping.",46,"#BC80BD"
"113",2020-01-12,3,"Godspeed You! B...",37,"#BEBADA"
