number-of-people	living-municipality	living-voivodeship	working-municipality	working-voivodeship
189	Bolesławiec	Dolnośląskie	Bolesławiec	Dolnośląskie
56	Bolesławiec	Dolnośląskie	Gromadka	Dolnośląskie
65	Bolesławiec	Dolnośląskie	Nowogrodziec - miasto	Dolnośląskie
178	Bolesławiec	Dolnośląskie	Nowogrodziec - obszar wiejski	Dolnośląskie
93	Bolesławiec	Dolnośląskie	Osiecznica	Dolnośląskie
124	Bolesławiec	Dolnośląskie	Warta Bolesławiecka	Dolnośląskie
15	Bolesławiec	Dolnośląskie	Chojnów	Dolnośląskie
16	Bolesławiec	Dolnośląskie	Lubań	Dolnośląskie
33	Bolesławiec	Dolnośląskie	Lubin	Dolnośląskie
24	Bolesławiec	Dolnośląskie	Lwówek Śląski - miasto	Dolnośląskie
62	Bolesławiec	Dolnośląskie	Lwówek Śląski - obszar wiejski	Dolnośląskie
45	Bolesławiec	Dolnośląskie	Polkowice - miasto	Dolnośląskie
31	Bolesławiec	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
10	Bolesławiec	Dolnośląskie	Kobierzyce	Dolnośląskie
29	Bolesławiec	Dolnośląskie	Zgorzelec	Dolnośląskie
14	Bolesławiec	Dolnośląskie	Jelenia Góra	Dolnośląskie
64	Bolesławiec	Dolnośląskie	Legnica	Dolnośląskie
157	Bolesławiec	Dolnośląskie	Wrocław	Dolnośląskie
10	Bolesławiec	Dolnośląskie	Wałbrzych	Dolnośląskie
17	Bolesławiec	Dolnośląskie	Nowa Sól	Lubuskie
10	Bolesławiec	Dolnośląskie	Żary	Lubuskie
134	Bolesławiec	Dolnośląskie	Warszawa	Mazowieckie
1331	Bolesławiec	Dolnośląskie	Bolesławiec	Dolnośląskie
36	Bolesławiec	Dolnośląskie	Gromadka	Dolnośląskie
23	Bolesławiec	Dolnośląskie	Nowogrodziec - miasto	Dolnośląskie
49	Bolesławiec	Dolnośląskie	Nowogrodziec - obszar wiejski	Dolnośląskie
79	Bolesławiec	Dolnośląskie	Osiecznica	Dolnośląskie
54	Bolesławiec	Dolnośląskie	Warta Bolesławiecka	Dolnośląskie
10	Bolesławiec	Dolnośląskie	Chojnów	Dolnośląskie
12	Bolesławiec	Dolnośląskie	Lubin	Dolnośląskie
27	Bolesławiec	Dolnośląskie	Lwówek Śląski - obszar wiejski	Dolnośląskie
14	Bolesławiec	Dolnośląskie	Polkowice - miasto	Dolnośląskie
10	Bolesławiec	Dolnośląskie	Kobierzyce	Dolnośląskie
26	Bolesławiec	Dolnośląskie	Zgorzelec	Dolnośląskie
14	Bolesławiec	Dolnośląskie	Jelenia Góra	Dolnośląskie
25	Bolesławiec	Dolnośląskie	Legnica	Dolnośląskie
180	Bolesławiec	Dolnośląskie	Wrocław	Dolnośląskie
14	Bolesławiec	Dolnośląskie	Łódź	Łódzkie
33	Bolesławiec	Dolnośląskie	Warszawa	Mazowieckie
288	Gromadka	Dolnośląskie	Bolesławiec	Dolnośląskie
52	Gromadka	Dolnośląskie	Bolesławiec	Dolnośląskie
15	Gromadka	Dolnośląskie	Warta Bolesławiecka	Dolnośląskie
10	Gromadka	Dolnośląskie	Chojnów	Dolnośląskie
27	Gromadka	Dolnośląskie	Lubin	Dolnośląskie
26	Gromadka	Dolnośląskie	Chocianów - miasto	Dolnośląskie
65	Gromadka	Dolnośląskie	Polkowice - miasto	Dolnośląskie
17	Gromadka	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
12	Gromadka	Dolnośląskie	Zgorzelec	Dolnośląskie
13	Gromadka	Dolnośląskie	Sulików	Dolnośląskie
20	Gromadka	Dolnośląskie	Legnica	Dolnośląskie
76	Gromadka	Dolnośląskie	Wrocław	Dolnośląskie
13	Gromadka	Dolnośląskie	Łódź	Łódzkie
14	Gromadka	Dolnośląskie	Warszawa	Mazowieckie
12	Gromadka	Dolnośląskie	Rawicz - obszar wiejski	Wielkopolskie
166	Nowogrodziec - miasto	Dolnośląskie	Bolesławiec	Dolnośląskie
18	Nowogrodziec - miasto	Dolnośląskie	Bolesławiec	Dolnośląskie
123	Nowogrodziec - miasto	Dolnośląskie	Nowogrodziec - obszar wiejski	Dolnośląskie
12	Nowogrodziec - miasto	Dolnośląskie	Osiecznica	Dolnośląskie
28	Nowogrodziec - miasto	Dolnośląskie	Lubań	Dolnośląskie
35	Nowogrodziec - miasto	Dolnośląskie	Wrocław	Dolnośląskie
14	Nowogrodziec - miasto	Dolnośląskie	Warszawa	Mazowieckie
482	Nowogrodziec - obszar wiejski	Dolnośląskie	Bolesławiec	Dolnośląskie
38	Nowogrodziec - obszar wiejski	Dolnośląskie	Bolesławiec	Dolnośląskie
198	Nowogrodziec - obszar wiejski	Dolnośląskie	Nowogrodziec - miasto	Dolnośląskie
44	Nowogrodziec - obszar wiejski	Dolnośląskie	Osiecznica	Dolnośląskie
21	Nowogrodziec - obszar wiejski	Dolnośląskie	Warta Bolesławiecka	Dolnośląskie
58	Nowogrodziec - obszar wiejski	Dolnośląskie	Lubań	Dolnośląskie
11	Nowogrodziec - obszar wiejski	Dolnośląskie	Lubań	Dolnośląskie
19	Nowogrodziec - obszar wiejski	Dolnośląskie	Zgorzelec	Dolnośląskie
11	Nowogrodziec - obszar wiejski	Dolnośląskie	Węgliniec - miasto	Dolnośląskie
11	Nowogrodziec - obszar wiejski	Dolnośląskie	Jelenia Góra	Dolnośląskie
15	Nowogrodziec - obszar wiejski	Dolnośląskie	Legnica	Dolnośląskie
156	Nowogrodziec - obszar wiejski	Dolnośląskie	Wrocław	Dolnośląskie
10	Nowogrodziec - obszar wiejski	Dolnośląskie	Wałbrzych	Dolnośląskie
11	Nowogrodziec - obszar wiejski	Dolnośląskie	Łódź	Łódzkie
42	Nowogrodziec - obszar wiejski	Dolnośląskie	Warszawa	Mazowieckie
12	Nowogrodziec - obszar wiejski	Dolnośląskie	Tychy	Śląskie
199	Osiecznica	Dolnośląskie	Bolesławiec	Dolnośląskie
30	Osiecznica	Dolnośląskie	Bolesławiec	Dolnośląskie
26	Osiecznica	Dolnośląskie	Nowogrodziec - obszar wiejski	Dolnośląskie
11	Osiecznica	Dolnośląskie	Legnica	Dolnośląskie
47	Osiecznica	Dolnośląskie	Wrocław	Dolnośląskie
621	Warta Bolesławiecka	Dolnośląskie	Bolesławiec	Dolnośląskie
46	Warta Bolesławiecka	Dolnośląskie	Bolesławiec	Dolnośląskie
91	Warta Bolesławiecka	Dolnośląskie	Gromadka	Dolnośląskie
10	Warta Bolesławiecka	Dolnośląskie	Nowogrodziec - obszar wiejski	Dolnośląskie
21	Warta Bolesławiecka	Dolnośląskie	Osiecznica	Dolnośląskie
11	Warta Bolesławiecka	Dolnośląskie	Chojnów	Dolnośląskie
16	Warta Bolesławiecka	Dolnośląskie	Chojnów	Dolnośląskie
23	Warta Bolesławiecka	Dolnośląskie	Lubin	Dolnośląskie
10	Warta Bolesławiecka	Dolnośląskie	Lwówek Śląski - obszar wiejski	Dolnośląskie
41	Warta Bolesławiecka	Dolnośląskie	Polkowice - miasto	Dolnośląskie
17	Warta Bolesławiecka	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
14	Warta Bolesławiecka	Dolnośląskie	Zgorzelec	Dolnośląskie
14	Warta Bolesławiecka	Dolnośląskie	Sulików	Dolnośląskie
12	Warta Bolesławiecka	Dolnośląskie	Złotoryja	Dolnośląskie
20	Warta Bolesławiecka	Dolnośląskie	Legnica	Dolnośląskie
88	Warta Bolesławiecka	Dolnośląskie	Wrocław	Dolnośląskie
14	Warta Bolesławiecka	Dolnośląskie	Łódź	Łódzkie
38	Warta Bolesławiecka	Dolnośląskie	Warszawa	Mazowieckie
13	Warta Bolesławiecka	Dolnośląskie	Poznań	Wielkopolskie
1641	Bielawa	Dolnośląskie	Dzierżoniów	Dolnośląskie
168	Bielawa	Dolnośląskie	Pieszyce - miasto	Dolnośląskie
34	Bielawa	Dolnośląskie	Piława Górna	Dolnośląskie
72	Bielawa	Dolnośląskie	Dzierżoniów	Dolnośląskie
10	Bielawa	Dolnośląskie	Łagiewniki	Dolnośląskie
148	Bielawa	Dolnośląskie	Świdnica	Dolnośląskie
25	Bielawa	Dolnośląskie	Świdnica	Dolnośląskie
11	Bielawa	Dolnośląskie	Mieroszów - obszar wiejski	Dolnośląskie
33	Bielawa	Dolnośląskie	Kąty Wrocławskie - obszar wiejski	Dolnośląskie
511	Bielawa	Dolnośląskie	Kobierzyce	Dolnośląskie
21	Bielawa	Dolnośląskie	Ząbkowice Śląskie - miasto	Dolnośląskie
14	Bielawa	Dolnośląskie	Legnica	Dolnośląskie
542	Bielawa	Dolnośląskie	Wrocław	Dolnośląskie
118	Bielawa	Dolnośląskie	Wałbrzych	Dolnośląskie
11	Bielawa	Dolnośląskie	Kraków	Małopolskie
17	Bielawa	Dolnośląskie	Mszczonów - obszar wiejski	Mazowieckie
52	Bielawa	Dolnośląskie	Warszawa	Mazowieckie
427	Dzierżoniów	Dolnośląskie	Bielawa	Dolnośląskie
216	Dzierżoniów	Dolnośląskie	Pieszyce - miasto	Dolnośląskie
57	Dzierżoniów	Dolnośląskie	Piława Górna	Dolnośląskie
116	Dzierżoniów	Dolnośląskie	Dzierżoniów	Dolnośląskie
25	Dzierżoniów	Dolnośląskie	Łagiewniki	Dolnośląskie
24	Dzierżoniów	Dolnośląskie	Niemcza - miasto	Dolnośląskie
12	Dzierżoniów	Dolnośląskie	Niemcza - obszar wiejski	Dolnośląskie
16	Dzierżoniów	Dolnośląskie	Strzelin - miasto	Dolnośląskie
226	Dzierżoniów	Dolnośląskie	Świdnica	Dolnośląskie
11	Dzierżoniów	Dolnośląskie	Świebodzice	Dolnośląskie
29	Dzierżoniów	Dolnośląskie	Świdnica	Dolnośląskie
11	Dzierżoniów	Dolnośląskie	Mieroszów - obszar wiejski	Dolnośląskie
50	Dzierżoniów	Dolnośląskie	Kąty Wrocławskie - obszar wiejski	Dolnośląskie
460	Dzierżoniów	Dolnośląskie	Kobierzyce	Dolnośląskie
18	Dzierżoniów	Dolnośląskie	Ząbkowice Śląskie - miasto	Dolnośląskie
10	Dzierżoniów	Dolnośląskie	Jelenia Góra	Dolnośląskie
13	Dzierżoniów	Dolnośląskie	Legnica	Dolnośląskie
507	Dzierżoniów	Dolnośląskie	Wrocław	Dolnośląskie
43	Dzierżoniów	Dolnośląskie	Wałbrzych	Dolnośląskie
13	Dzierżoniów	Dolnośląskie	Kraków	Małopolskie
52	Dzierżoniów	Dolnośląskie	Warszawa	Mazowieckie
14	Dzierżoniów	Dolnośląskie	Opole	Opolskie
151	Pieszyce - miasto	Dolnośląskie	Bielawa	Dolnośląskie
549	Pieszyce - miasto	Dolnośląskie	Dzierżoniów	Dolnośląskie
21	Pieszyce - miasto	Dolnośląskie	Dzierżoniów	Dolnośląskie
54	Pieszyce - miasto	Dolnośląskie	Świdnica	Dolnośląskie
13	Pieszyce - miasto	Dolnośląskie	Świdnica	Dolnośląskie
59	Pieszyce - miasto	Dolnośląskie	Kobierzyce	Dolnośląskie
136	Pieszyce - miasto	Dolnośląskie	Wrocław	Dolnośląskie
25	Pieszyce - miasto	Dolnośląskie	Wałbrzych	Dolnośląskie
16	Pieszyce - miasto	Dolnośląskie	Warszawa	Mazowieckie
32	Pieszyce - obszar wiejski	Dolnośląskie	Dzierżoniów	Dolnośląskie
10	Pieszyce - obszar wiejski	Dolnośląskie	Wrocław	Dolnośląskie
47	Piława Górna	Dolnośląskie	Bielawa	Dolnośląskie
337	Piława Górna	Dolnośląskie	Dzierżoniów	Dolnośląskie
19	Piława Górna	Dolnośląskie	Pieszyce - miasto	Dolnośląskie
16	Piława Górna	Dolnośląskie	Dzierżoniów	Dolnośląskie
11	Piława Górna	Dolnośląskie	Łagiewniki	Dolnośląskie
11	Piława Górna	Dolnośląskie	Niemcza - obszar wiejski	Dolnośląskie
13	Piława Górna	Dolnośląskie	Świdnica	Dolnośląskie
159	Piława Górna	Dolnośląskie	Kobierzyce	Dolnośląskie
26	Piława Górna	Dolnośląskie	Ząbkowice Śląskie - miasto	Dolnośląskie
13	Piława Górna	Dolnośląskie	Złotoryja	Dolnośląskie
137	Piława Górna	Dolnośląskie	Wrocław	Dolnośląskie
11	Piława Górna	Dolnośląskie	Wałbrzych	Dolnośląskie
171	Dzierżoniów	Dolnośląskie	Bielawa	Dolnośląskie
655	Dzierżoniów	Dolnośląskie	Dzierżoniów	Dolnośląskie
51	Dzierżoniów	Dolnośląskie	Pieszyce - miasto	Dolnośląskie
11	Dzierżoniów	Dolnośląskie	Piława Górna	Dolnośląskie
15	Dzierżoniów	Dolnośląskie	Łagiewniki	Dolnośląskie
18	Dzierżoniów	Dolnośląskie	Niemcza - obszar wiejski	Dolnośląskie
153	Dzierżoniów	Dolnośląskie	Świdnica	Dolnośląskie
20	Dzierżoniów	Dolnośląskie	Świdnica	Dolnośląskie
73	Dzierżoniów	Dolnośląskie	Kobierzyce	Dolnośląskie
199	Dzierżoniów	Dolnośląskie	Wrocław	Dolnośląskie
18	Dzierżoniów	Dolnośląskie	Wałbrzych	Dolnośląskie
29	Dzierżoniów	Dolnośląskie	Warszawa	Mazowieckie
11	Łagiewniki	Dolnośląskie	Bielawa	Dolnośląskie
192	Łagiewniki	Dolnośląskie	Dzierżoniów	Dolnośląskie
22	Łagiewniki	Dolnośląskie	Dzierżoniów	Dolnośląskie
10	Łagiewniki	Dolnośląskie	Niemcza - miasto	Dolnośląskie
24	Łagiewniki	Dolnośląskie	Świdnica	Dolnośląskie
17	Łagiewniki	Dolnośląskie	Jordanów Śląski	Dolnośląskie
10	Łagiewniki	Dolnośląskie	Kąty Wrocławskie - miasto	Dolnośląskie
37	Łagiewniki	Dolnośląskie	Kąty Wrocławskie - obszar wiejski	Dolnośląskie
326	Łagiewniki	Dolnośląskie	Kobierzyce	Dolnośląskie
354	Łagiewniki	Dolnośląskie	Wrocław	Dolnośląskie
27	Łagiewniki	Dolnośląskie	Warszawa	Mazowieckie
12	Niemcza - miasto	Dolnośląskie	Bielawa	Dolnośląskie
61	Niemcza - miasto	Dolnośląskie	Dzierżoniów	Dolnośląskie
14	Niemcza - miasto	Dolnośląskie	Piława Górna	Dolnośląskie
11	Niemcza - miasto	Dolnośląskie	Łagiewniki	Dolnośląskie
12	Niemcza - miasto	Dolnośląskie	Niemcza - obszar wiejski	Dolnośląskie
81	Niemcza - miasto	Dolnośląskie	Kobierzyce	Dolnośląskie
105	Niemcza - miasto	Dolnośląskie	Wrocław	Dolnośląskie
19	Niemcza - obszar wiejski	Dolnośląskie	Bielawa	Dolnośląskie
99	Niemcza - obszar wiejski	Dolnośląskie	Dzierżoniów	Dolnośląskie
21	Niemcza - obszar wiejski	Dolnośląskie	Piława Górna	Dolnośląskie
10	Niemcza - obszar wiejski	Dolnośląskie	Dzierżoniów	Dolnośląskie
19	Niemcza - obszar wiejski	Dolnośląskie	Łagiewniki	Dolnośląskie
43	Niemcza - obszar wiejski	Dolnośląskie	Niemcza - miasto	Dolnośląskie
70	Niemcza - obszar wiejski	Dolnośląskie	Kobierzyce	Dolnośląskie
12	Niemcza - obszar wiejski	Dolnośląskie	Ząbkowice Śląskie - miasto	Dolnośląskie
78	Niemcza - obszar wiejski	Dolnośląskie	Wrocław	Dolnośląskie
164	Głogów	Dolnośląskie	Głogów	Dolnośląskie
117	Głogów	Dolnośląskie	Jerzmanowa	Dolnośląskie
34	Głogów	Dolnośląskie	Kotla	Dolnośląskie
26	Głogów	Dolnośląskie	Pęcław	Dolnośląskie
86	Głogów	Dolnośląskie	Żukowice	Dolnośląskie
25	Głogów	Dolnośląskie	Legnickie Pole	Dolnośląskie
716	Głogów	Dolnośląskie	Lubin	Dolnośląskie
28	Głogów	Dolnośląskie	Lubin	Dolnośląskie
95	Głogów	Dolnośląskie	Rudna	Dolnośląskie
21	Głogów	Dolnośląskie	Chocianów - obszar wiejski	Dolnośląskie
19	Głogów	Dolnośląskie	Gaworzyce	Dolnośląskie
63	Głogów	Dolnośląskie	Grębocice	Dolnośląskie
2607	Głogów	Dolnośląskie	Polkowice - miasto	Dolnośląskie
1057	Głogów	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
12	Głogów	Dolnośląskie	Przemków - miasto	Dolnośląskie
126	Głogów	Dolnośląskie	Radwanice	Dolnośląskie
23	Głogów	Dolnośląskie	Kobierzyce	Dolnośląskie
20	Głogów	Dolnośląskie	Złotoryja	Dolnośląskie
84	Głogów	Dolnośląskie	Legnica	Dolnośląskie
465	Głogów	Dolnośląskie	Wrocław	Dolnośląskie
22	Głogów	Dolnośląskie	Wałbrzych	Dolnośląskie
26	Głogów	Dolnośląskie	Nowa Sól	Lubuskie
23	Głogów	Dolnośląskie	Sława - miasto	Lubuskie
33	Głogów	Dolnośląskie	Sława - obszar wiejski	Lubuskie
17	Głogów	Dolnośląskie	Szlichtyngowa - miasto	Lubuskie
31	Głogów	Dolnośląskie	Wschowa - miasto	Lubuskie
25	Głogów	Dolnośląskie	Zielona Góra	Lubuskie
16	Głogów	Dolnośląskie	Kraków	Małopolskie
59	Głogów	Dolnośląskie	Warszawa	Mazowieckie
66	Głogów	Dolnośląskie	Bytom	Śląskie
23	Głogów	Dolnośląskie	Katowice	Śląskie
10	Głogów	Dolnośląskie	Swarzędz - miasto	Wielkopolskie
10	Głogów	Dolnośląskie	Krajenka - obszar wiejski	Wielkopolskie
46	Głogów	Dolnośląskie	Leszno	Wielkopolskie
25	Głogów	Dolnośląskie	Poznań	Wielkopolskie
593	Głogów	Dolnośląskie	Głogów	Dolnośląskie
20	Głogów	Dolnośląskie	Jerzmanowa	Dolnośląskie
92	Głogów	Dolnośląskie	Lubin	Dolnośląskie
10	Głogów	Dolnośląskie	Grębocice	Dolnośląskie
251	Głogów	Dolnośląskie	Polkowice - miasto	Dolnośląskie
85	Głogów	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
17	Głogów	Dolnośląskie	Radwanice	Dolnośląskie
16	Głogów	Dolnośląskie	Legnica	Dolnośląskie
72	Głogów	Dolnośląskie	Wrocław	Dolnośląskie
11	Głogów	Dolnośląskie	Sława - obszar wiejski	Lubuskie
356	Jerzmanowa	Dolnośląskie	Głogów	Dolnośląskie
10	Jerzmanowa	Dolnośląskie	Głogów	Dolnośląskie
91	Jerzmanowa	Dolnośląskie	Lubin	Dolnośląskie
10	Jerzmanowa	Dolnośląskie	Rudna	Dolnośląskie
317	Jerzmanowa	Dolnośląskie	Polkowice - miasto	Dolnośląskie
163	Jerzmanowa	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
12	Jerzmanowa	Dolnośląskie	Radwanice	Dolnośląskie
20	Jerzmanowa	Dolnośląskie	Legnica	Dolnośląskie
55	Jerzmanowa	Dolnośląskie	Wrocław	Dolnośląskie
10	Jerzmanowa	Dolnośląskie	Warszawa	Mazowieckie
358	Kotla	Dolnośląskie	Głogów	Dolnośląskie
11	Kotla	Dolnośląskie	Głogów	Dolnośląskie
36	Kotla	Dolnośląskie	Lubin	Dolnośląskie
86	Kotla	Dolnośląskie	Polkowice - miasto	Dolnośląskie
27	Kotla	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
31	Kotla	Dolnośląskie	Legnica	Dolnośląskie
40	Kotla	Dolnośląskie	Wrocław	Dolnośląskie
19	Kotla	Dolnośląskie	Sława - miasto	Lubuskie
44	Kotla	Dolnośląskie	Sława - obszar wiejski	Lubuskie
10	Kotla	Dolnośląskie	Zielona Góra	Lubuskie
156	Pęcław	Dolnośląskie	Głogów	Dolnośląskie
12	Pęcław	Dolnośląskie	Głogów	Dolnośląskie
15	Pęcław	Dolnośląskie	Lubin	Dolnośląskie
58	Pęcław	Dolnośląskie	Polkowice - miasto	Dolnośląskie
21	Pęcław	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
10	Pęcław	Dolnośląskie	Radwanice	Dolnośląskie
12	Pęcław	Dolnośląskie	Legnica	Dolnośląskie
22	Pęcław	Dolnośląskie	Wrocław	Dolnośląskie
240	Żukowice	Dolnośląskie	Głogów	Dolnośląskie
35	Żukowice	Dolnośląskie	Lubin	Dolnośląskie
111	Żukowice	Dolnośląskie	Polkowice - miasto	Dolnośląskie
25	Żukowice	Dolnośląskie	Polkowice - obszar wiejski	Dolnośląskie
12	Żukowice	Dolnośląskie	Radwanice	Dolnośląskie
17	Żukowice	Dolnośląskie	Legnica	Dolnośląskie
37	Żukowice	Dolnośląskie	Wrocław	Dolnośląskie
11	Żukowice	Dolnośląskie	Nowa Sól	Lubuskie
18	Żukowice	Dolnośląskie	Bytom Odrzański - miasto	Lubuskie
57	Góra - miasto	Dolnośląskie	Głogów	Dolnośląskie
75	Góra - miasto	Dolnośląskie	Góra - obszar wiejski	Dolnośląskie
13	Góra - miasto	Dolnośląskie	Jemielno	Dolnośląskie
35	Góra - miasto	Dolnośląskie	Niechlów	Dolnośląskie
15	Góra - miasto	Dolnośląskie	Wąsosz - miasto	Dolnośląskie
31	Góra - miasto	Dolnośląskie	Lubin	Dolnośląskie
14	Góra - miasto	Dolnośląskie	Polkowice - miasto	Dolnośląskie
12	Góra - miasto	Dolnośląskie	Kobierzyce	Dolnośląskie
79	Góra - miasto	Dolnośląskie	Wrocław	Dolnośląskie
11	Góra - miasto	Dolnośląskie	Wschowa - miasto	Lubuskie
67	Góra - miasto	Dolnośląskie	Zielona Góra	Lubuskie
45	Góra - miasto	Dolnośląskie	Warszawa	Mazowieckie
31	Góra - miasto	Dolnośląskie	Rydzyna - miasto	Wielkopolskie
36	Góra - miasto	Dolnośląskie	Rydzyna - obszar wiejski	Wielkopolskie
16	Góra - miasto	Dolnośląskie	Święciechowa	Wielkopolskie
26	Góra - miasto	Dolnośląskie	Rawicz - miasto	Wielkopolskie
15	Góra - miasto	Dolnośląskie	Rawicz - obszar wiejski	Wielkopolskie
281	Góra - miasto	Dolnośląskie	Leszno	Wielkopolskie
42	Góra - miasto	Dolnośląskie	Poznań	Wielkopolskie
19	Góra - obszar wiejski	Dolnośląskie	Głogów	Dolnośląskie
357	Góra - obszar wiejski	Dolnośląskie	Góra - miasto	Dolnośląskie
33	Góra - obszar wiejski	Dolnośląskie	Niechlów	Dolnośląskie
19	Góra - obszar wiejski	Dolnośląskie	Wąsosz - miasto	Dolnośląskie
14	Góra - obszar wiejski	Dolnośląskie	Lubin	Dolnośląskie
14	Góra - obszar wiejski	Dolnośląskie	Polkowice - miasto	Dolnośląskie
90	Góra - obszar wiejski	Dolnośląskie	Wrocław	Dolnośląskie
13	Góra - obszar wiejski	Dolnośląskie	Wschowa - miasto	Lubuskie
31	Góra - obszar wiejski	Dolnośląskie	Warszawa	Mazowieckie
11	Góra - obszar wiejski	Dolnośląskie	Bielsko-Biała	Śląskie
32	Góra - obszar wiejski	Dolnośląskie	Rydzyna - miasto	Wielkopolskie
56	Góra - obszar wiejski	Dolnośląskie	Rydzyna - obszar wiejski	Wielkopolskie
19	Góra - obszar wiejski	Dolnośląskie	Święciechowa	Wielkopolskie
11	Góra - obszar wiejski	Dolnośląskie	Rawicz - miasto	Wielkopolskie
27	Góra - obszar wiejski	Dolnośląskie	Rawicz - obszar wiejski	Wielkopolskie
240	Góra - obszar wiejski	Dolnośląskie	Leszno	Wielkopolskie
30	Góra - obszar wiejski	Dolnośląskie	Poznań	Wielkopolskie
10	Jemielno	Dolnośląskie	Głogów	Dolnośląskie
40	Jemielno	Dolnośląskie	Góra - miasto	Dolnośląskie
12	Jemielno	Dolnośląskie	Góra - obszar wiejski	Dolnośląskie
39	Jemielno	Dolnośląskie	Lubin	Dolnośląskie
10	Jemielno	Dolnośląskie	Rudna	Dolnośląskie
21	Jemielno	Dolnośląskie	Polkowice - miasto	Dolnośląskie
11	Jemielno	Dolnośląskie	Wińsko	Dolnośląskie
31	Jemielno	Dolnośląskie	Wrocław	Dolnośląskie
15	Jemielno	Dolnośląskie	Leszno	Wielkopolskie
67	Niechlów	Dolnośląskie	Głogów	Dolnośląskie
101	Niechlów	Dolnośląskie	Góra - miasto	Dolnośląskie
19	Niechlów	Dolnośląskie	Góra - obszar wiejski	Dolnośląskie
17	Niechlów	Dolnośląskie	Lubin	Dolnośląskie
34	Niechlów	Dolnośląskie	Polkowice - miasto	Dolnośląskie
40	Niechlów	Dolnośląskie	Wrocław	Dolnośląskie
16	Niechlów	Dolnośląskie	Szlichtyngowa - miasto	Lubuskie
16	Niechlów	Dolnośląskie	Wschowa - miasto	Lubuskie
119	Niechlów	Dolnośląskie	Leszno	Wielkopolskie
34	Wąsosz - miasto	Dolnośląskie	Góra - miasto	Dolnośląskie
30	Wąsosz - miasto	Dolnośląskie	Wąsosz - obszar wiejski	Dolnośląskie
21	Wąsosz - miasto	Dolnośląskie	Lubin	Dolnośląskie
10	Wąsosz - miasto	Dolnośląskie	Kobierzyce	Dolnośląskie
19	Wąsosz - miasto	Dolnośląskie	Wrocław	Dolnośląskie
35	Wąsosz - miasto	Dolnośląskie	Rawicz - miasto	Wielkopolskie
18	Wąsosz - miasto	Dolnośląskie	Rawicz - obszar wiejski	Wielkopolskie
36	Wąsosz - obszar wiejski	Dolnośląskie	Góra - miasto	Dolnośląskie
133	Wąsosz - obszar wiejski	Dolnośląskie	Wąsosz - miasto	Dolnośląskie
15	Wąsosz - obszar wiejski	Dolnośląskie	Lubin	Dolnośląskie
11	Wąsosz - obszar wiejski	Dolnośląskie	Żmigród - miasto	Dolnośląskie
11	Wąsosz - obszar wiejski	Dolnośląskie	Wińsko	Dolnośląskie
63	Wąsosz - obszar wiejski	Dolnośląskie	Wrocław	Dolnośląskie
11	Wąsosz - obszar wiejski	Dolnośląskie	Zielona Góra	Lubuskie
10	Wąsosz - obszar wiejski	Dolnośląskie	Kleszczewo	Wielkopolskie
44	Wąsosz - obszar wiejski	Dolnośląskie	Rawicz - miasto	Wielkopolskie
44	Wąsosz - obszar wiejski	Dolnośląskie	Rawicz - obszar wiejski	Wielkopolskie
18	Wąsosz - obszar wiejski	Dolnośląskie	Leszno	Wielkopolskie
11	Jawor	Dolnośląskie	Bolków - miasto	Dolnośląskie
179	Jawor	Dolnośląskie	Męcinka	Dolnośląskie
101	Jawor	Dolnośląskie	Mściwojów	Dolnośląskie
104	Jawor	Dolnośląskie	Paszowice	Dolnośląskie
15	Jawor	Dolnośląskie	Wądroże Wielkie	Dolnośląskie
127	Jawor	Dolnośląskie	Legnickie Pole	Dolnośląskie
31	Jawor	Dolnośląskie	Lubin	Dolnośląskie
23	Jawor	Dolnośląskie	Polkowice - miasto	Dolnośląskie
11	Jawor	Dolnośląskie	Świdnica	Dolnośląskie
18	Jawor	Dolnośląskie	Świebodzice	Dolnośląskie
26	Jawor	Dolnośląskie	Dobromierz	Dolnośląskie
43	Jawor	Dolnośląskie	Strzegom - miasto	Dolnośląskie
103	Jawor	Dolnośląskie	Strzegom - obszar wiejski	Dolnośląskie
143	Jawor	Dolnośląskie	Kobierzyce	Dolnośląskie
22	Jawor	Dolnośląskie	Złotoryja	Dolnośląskie
11	Jawor	Dolnośląskie	Jelenia Góra	Dolnośląskie
581	Jawor	Dolnośląskie	Legnica	Dolnośląskie
274	Jawor	Dolnośląskie	Wrocław	Dolnośląskie
43	Jawor	Dolnośląskie	Wałbrzych	Dolnośląskie
56	Jawor	Dolnośląskie	Warszawa	Mazowieckie
11	Jawor	Dolnośląskie	Katowice	Śląskie
19	Jawor	Dolnośląskie	Dopiewo	Wielkopolskie
76	Bolków - miasto	Dolnośląskie	Jawor	Dolnośląskie
53	Bolków - miasto	Dolnośląskie	Bolków - obszar wiejski	Dolnośląskie
58	Bolków - miasto	Dolnośląskie	Janowice Wielkie	Dolnośląskie
15	Bolków - miasto	Dolnośląskie	Kamienna Góra	Dolnośląskie
